         r_bin          count          force            pmf
      0.125000            712   1.074947e+03   9.089808e+01
      0.175000          18696   7.273872e+02   5.452872e+01
      0.225000          26190   6.434570e+02   2.235587e+01
      0.275000          22070   4.064016e+02   2.035792e+00
      0.325000          16003   4.071583e+01   0.000000e+00
      0.375000          30053  -8.899093e+01   4.449546e+00
      0.425000          19023  -4.113235e+02   2.501572e+01
      0.475000           6627  -8.595680e+02   6.799412e+01
      0.525000          10456  -6.685578e+02   1.014220e+02
      0.575000           7522  -6.321712e+02   1.330306e+02
      0.625000          13843  -3.362865e+02   1.498449e+02
      0.675000          13358  -4.052398e+02   1.701069e+02
      0.725000          12397  -3.630936e+02   1.882616e+02
      0.775000          10677  -4.676591e+02   2.116445e+02
      0.825000          20658  -4.197008e+02   2.326296e+02
      0.875000          11621  -5.027528e+02   2.577672e+02
      0.925000          12629  -2.173629e+02   2.686353e+02
      0.975000          17812  -2.330270e+02   2.802867e+02
      1.025000          16190  -2.238386e+02   2.914786e+02
      1.075000          16150  -1.059151e+02   2.967744e+02
      1.125000          10889  -1.734975e+02   3.054493e+02
      1.175000          12831  -1.502254e+02   3.129605e+02
      1.225000          14710  -7.126613e+01   3.165238e+02
      1.275000          12006  -5.529035e+01   3.192883e+02
      1.325000           7123  -9.272437e+01   3.239246e+02
      1.375000          13878  -4.923447e+01   3.263863e+02
      1.425000          16077  -7.841277e+01   3.303069e+02
      1.475000           8234  -1.007852e+02   3.353462e+02
      1.525000           6471   3.150519e+01   3.337709e+02
      1.575000           8345  -2.133020e+01   3.348374e+02
      1.625000          12347  -1.317959e+02   3.414272e+02
      1.675000           4631  -2.170169e+02   3.522781e+02
      1.725000           2606  -1.379193e+02   3.591740e+02
      1.775000           8351   7.615331e+01   3.553664e+02
      1.825000          13259  -1.706216e+01   3.562195e+02
      1.875000           9838  -5.848693e+01   3.591438e+02
      1.925000           6598  -3.199385e-01   3.591598e+02
      1.975000          11790  -1.058986e+02   3.644548e+02
      2.025000          11717  -1.472967e+02   3.718196e+02
      2.075000          13398  -1.706377e+02   3.803515e+02
      2.125000           6740  -2.037495e+02   3.905390e+02
      2.175000           3564  -2.112931e+02   4.011036e+02
      2.225000           7192  -9.868534e+01   4.060379e+02
      2.275000          13873  -1.671344e+02   4.143946e+02
      2.325000           8006  -2.517317e+02   4.269812e+02
      2.375000           1339  -3.435167e+02   4.441570e+02
