          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   2.512455e-01   0.000000e+00              4             74              2              9   1.662660e+01   0.000000e+00   8.677084e-01
           500   2.845696e-01   9.860135e-01              4             69              0              3   1.663634e+01   6.534939e-02   8.747735e-01
          1000   3.327973e-01   1.807267e+00              3             67              0              3   1.660498e+01   1.037925e-01   8.627737e-01
          1500   3.335085e-01   2.802453e+00              1             71              0              7   1.664426e+01   1.261975e-01   8.597285e-01
          2000   3.168866e-01   3.797249e+00              3             72              0              5   1.611522e+01   1.362834e-01   8.372828e-01
          2500   3.056432e-01   4.789113e+00              2             69              0              4   1.648604e+01   1.524830e-01   8.408919e-01
          3000   2.828145e-01   5.573214e+00              2             72              0              5   1.646823e+01   1.538754e-01   8.383624e-01
          3500   3.037745e-01   6.691309e+00              2             70              0              4   1.592855e+01   1.369991e-01   8.392662e-01
          4000   3.214817e-01   7.673076e+00              2             70              0              4   1.670836e+01   1.670398e-01   8.505324e-01
          4500   3.227644e-01   8.668021e+00              2             69              0              7   1.639263e+01   1.574172e-01   8.539980e-01
          5000   3.321708e-01   9.658714e+00              2             66              0              5   1.647260e+01   1.411084e-01   8.596826e-01
          5500   3.170556e-01   1.064955e+01              2             68              0              4   1.624980e+01   1.507792e-01   8.488957e-01
          6000   3.258083e-01   1.163985e+01              2             69              0              4   1.636880e+01   1.603029e-01   8.521694e-01
          6500   3.217737e-01   1.263208e+01              2             66              0              3   1.607813e+01   1.672918e-01   8.679618e-01
          7000   3.530180e-01   1.159899e+01              3             69              0              6   1.591285e+01   1.627357e-01   8.306045e-01
          7500   3.355662e-01   1.460662e+01              3             69              0              6   1.647668e+01   1.692268e-01   8.649576e-01
          8000   3.294487e-01   1.558910e+01              3             74              0              7   1.638649e+01   1.785057e-01   8.573237e-01
          8500   3.209851e-01   1.657710e+01              3             71              0              5   1.616217e+01   1.724455e-01   8.547301e-01
          9000   3.226868e-01   1.757335e+01              2             71              0              7   1.611525e+01   1.997915e-01   8.340743e-01
          9500   3.383160e-01   1.856415e+01              3             71              0              6   1.624064e+01   2.184516e-01   8.357348e-01
         10000   3.422208e-01   1.709723e+01              2             76              1              6   1.631022e+01   1.977927e-01   8.375341e-01
         10500   3.511212e-01   1.804902e+01              1             71              0              4   1.637946e+01   2.063654e-01   8.555508e-01
         11000   3.314082e-01   2.150461e+01              3             72              1              7   1.626512e+01   2.341649e-01   8.317552e-01
         11500   3.423866e-01   2.248270e+01              3             74              1              6   1.633635e+01   2.278282e-01   8.372101e-01
         12000   3.553483e-01   2.086368e+01              3             72              1              6   1.600657e+01   2.226243e-01   8.264900e-01
         12500   3.241805e-01   2.444352e+01              2             74              1              7   1.623781e+01   2.199499e-01   8.324667e-01
         13000   3.351304e-01   2.543400e+01              1             70              0              7   1.627936e+01   2.381376e-01   8.300127e-01
         13500   3.116547e-01   2.642104e+01              3             69              0              3   1.598741e+01   2.234855e-01   8.365375e-01
         14000   3.296732e-01   2.741449e+01              2             71              0              6   1.617826e+01   2.351544e-01   8.412899e-01
         14500   3.255352e-01   2.840016e+01              2             71              1              6   1.624704e+01   2.152899e-01   8.414304e-01
         15000   3.345622e-01   2.939055e+01              2             73              1              5   1.605394e+01   2.288767e-01   8.391026e-01
