         r_bin          count          force            pmf
      0.225000             13   9.482762e+01   3.436743e+00
      0.275000           1358   4.795035e+01   1.039226e+00
      0.325000          18823   2.078451e+01   0.000000e+00
      0.375000           7951  -1.887234e+02   9.436171e+00
      0.425000          11252  -2.753606e+02   2.320420e+01
      0.475000           4726  -4.179033e+02   4.409937e+01
      0.525000          11962  -3.287611e+02   6.053742e+01
      0.575000          16251  -3.621501e+02   7.864493e+01
      0.625000           5242  -4.859027e+02   1.029401e+02
      0.675000           1647  -3.593583e+02   1.209080e+02
      0.725000          12396  -3.105520e+02   1.364356e+02
      0.775000           9705  -2.798128e+02   1.504262e+02
      0.825000           9269  -3.103327e+02   1.659428e+02
      0.875000           9645  -3.567952e+02   1.837826e+02
      0.925000           9266  -2.426626e+02   1.959157e+02
      0.975000          14032  -3.816326e+02   2.149974e+02
      1.025000           2890  -1.564756e+02   2.228212e+02
      1.075000          16455   5.654100e+01   2.199941e+02
      1.125000          19074   2.254515e+01   2.188668e+02
      1.175000          15391   7.266133e+00   2.185035e+02
      1.225000          11456  -1.086460e+02   2.239358e+02
      1.275000          17126  -1.150054e+02   2.296861e+02
      1.325000          12888  -1.559323e+02   2.374827e+02
      1.375000          15293  -7.511638e+01   2.412385e+02
      1.425000          18886  -1.552028e+02   2.489987e+02
      1.475000          17776  -2.100572e+02   2.595015e+02
      1.525000           8975  -1.964871e+02   2.693259e+02
      1.575000          16763  -1.277361e+02   2.757127e+02
      1.625000          13551  -8.339714e+01   2.798826e+02
      1.675000           8362  -6.298435e+01   2.830318e+02
      1.725000          13015  -1.598455e+02   2.910241e+02
      1.775000           3293  -2.233727e+02   3.021927e+02
      1.825000           1942  -3.341374e+02   3.188996e+02
      1.875000           4252  -2.594832e+02   3.318737e+02
      1.925000           5512  -1.951273e+02   3.416301e+02
      1.975000           7081  -1.696621e+02   3.501132e+02
      2.025000          10508   2.714536e+01   3.487559e+02
      2.075000           6978   5.877118e+01   3.458174e+02
      2.125000           7365   6.662146e+01   3.424863e+02
      2.175000          11665  -8.895191e+01   3.469339e+02
      2.225000           6952  -5.369092e+01   3.496184e+02
      2.275000           7107  -9.770162e+01   3.545035e+02
      2.325000          18658  -1.319466e+02   3.611008e+02
      2.375000          19738  -2.978938e+02   3.759955e+02
      2.425000           6335  -4.186282e+02   3.969269e+02
      2.475000             75  -6.798090e+02   4.309174e+02
