          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   2.512455e-01   0.000000e+00              4             74              2              9   1.662660e+01   0.000000e+00   8.677084e-01
           500   2.805048e-01   9.906224e-01              4             70              1              2   1.652646e+01   6.449657e-02   8.744873e-01
          1000   2.902773e-01   1.747422e+00              4             65              0              4   1.667190e+01   1.051761e-01   8.682150e-01
          1500   2.943399e-01   2.711540e+00              3             68              0              6   1.660901e+01   1.125643e-01   8.519723e-01
          2000   2.813619e-01   3.928307e+00              3             64              0              5   1.664746e+01   1.154084e-01   8.563618e-01
          2500   2.870470e-01   4.911716e+00              3             63              0              6   1.652520e+01   1.244968e-01   8.505432e-01
          3000   2.995538e-01   5.899168e+00              3             67              0              4   1.654995e+01   1.324667e-01   8.548932e-01
          3500   3.114677e-01   6.500540e+00              3             66              0              3   1.670366e+01   1.632396e-01   8.443095e-01
          4000   3.084662e-01   7.487236e+00              3             71              0              7   1.659671e+01   1.622374e-01   8.376654e-01
          4500   2.940939e-01   8.733707e+00              3             64              0              7   1.659311e+01   1.758125e-01   8.439681e-01
          5000   3.099588e-01   9.667671e+00              3             65              0              3   1.685207e+01   1.827784e-01   8.482799e-01
          5500   2.799807e-01   1.063871e+01              3             66              0              5   1.662991e+01   1.934811e-01   8.408169e-01
          6000   2.717692e-01   1.163253e+01              2             65              0              4   1.660110e+01   1.860174e-01   8.546957e-01
          6500   2.793327e-01   1.260958e+01              3             70              0              4   1.666583e+01   1.615289e-01   8.550714e-01
          7000   2.888547e-01   1.359826e+01              3             68              0              4   1.674047e+01   1.604255e-01   8.500279e-01
          7500   2.787324e-01   1.458982e+01              2             71              0              6   1.640840e+01   1.749033e-01   8.533733e-01
          8000   2.991209e-01   1.558285e+01              1             69              0              3   1.664118e+01   1.690195e-01   8.620826e-01
          8500   2.929461e-01   1.655477e+01              3             69              0              5   1.662307e+01   1.693110e-01   8.468023e-01
          9000   3.072929e-01   1.685005e+01              2             73              0              7   1.682341e+01   2.044098e-01   8.484690e-01
          9500   3.072097e-01   1.783748e+01              3             74              0              3   1.700568e+01   2.182610e-01   8.414810e-01
         10000   2.938269e-01   1.941904e+01              1             68              0              3   1.657907e+01   2.124405e-01   8.427124e-01
         10500   2.990400e-01   1.974148e+01              2             68              0              4   1.662893e+01   2.323054e-01   8.320183e-01
         11000   3.071196e-01   2.069924e+01              0             70              0              5   1.664050e+01   2.184179e-01   8.347910e-01
         11500   3.285411e-01   2.169605e+01              0             68              0              5   1.627103e+01   2.435648e-01   8.195062e-01
         12000   3.065204e-01   2.317168e+01              1             75              0              4   1.653611e+01   2.505327e-01   8.337988e-01
         12500   3.151257e-01   2.367587e+01              1             74              0              5   1.636390e+01   2.538592e-01   8.158157e-01
         13000   2.975982e-01   2.503536e+01              1             70              0              3   1.658767e+01   2.461931e-01   8.378021e-01
         13500   2.561184e-01   2.086077e+01              2             72              0              3   1.672658e+01   2.339123e-01   8.557538e-01
         14000   2.702552e-01   2.702509e+01              2             78              0              6   1.674768e+01   2.528710e-01   8.521168e-01
         14500   2.524892e-01   2.269706e+01              2             76              0              4   1.648622e+01   2.743677e-01   8.374137e-01
         15000   2.814819e-01   2.899444e+01              2             79              0              7   1.662542e+01   2.739342e-01   8.521704e-01
         15500   2.622561e-01   2.449683e+01              2             79              0              5   1.671404e+01   2.790199e-01   8.490758e-01
         16000   2.569990e-01   2.541026e+01              2             75              0              5   1.687093e+01   2.738130e-01   8.480184e-01
         16500   2.789111e-01   3.191974e+01              3             75              0              6   1.662415e+01   2.584840e-01   8.485668e-01
         17000   2.743023e-01   3.290803e+01              2             72              0              6   1.687629e+01   2.763971e-01   8.513684e-01
         17500   2.893539e-01   3.217460e+01              2             74              0              6   1.667750e+01   2.762229e-01   8.456763e-01
         18000   3.029954e-01   3.311015e+01              1             75              0              4   1.657236e+01   2.975917e-01   8.297267e-01
         18500   2.721300e-01   3.586995e+01              2             74              0              5   1.665710e+01   2.957705e-01   8.325595e-01
         19000   2.832661e-01   3.686578e+01              2             75              0              4   1.668077e+01   3.080013e-01   8.224544e-01
         19500   3.025216e-01   3.579991e+01              2             74              0              5   1.672541e+01   3.141759e-01   8.289004e-01
         20000   3.161663e-01   3.679536e+01              1             72              0              3   1.686820e+01   3.114981e-01   8.445769e-01
         20500   2.923947e-01   3.968994e+01              1             76              0              4   1.659588e+01   3.112715e-01   8.247621e-01
         21000   3.292279e-01   3.873359e+01              1             72              0              4   1.674864e+01   2.978753e-01   8.265300e-01
         21500   3.148868e-01   3.973007e+01              2             71              0              4   1.669988e+01   2.916768e-01   8.231274e-01
         22000   3.213690e-01   4.072698e+01              1             70              0              3   1.685228e+01   2.893504e-01   8.376908e-01
         22500   3.392412e-01   4.171498e+01              1             66              0              3   1.678937e+01   2.851835e-01   8.269042e-01
         23000   3.585203e-01   3.274506e+01              2             69              0              3   1.669587e+01   2.842198e-01   8.269494e-01
