         r_bin          count          force            pmf
      0.275000           5510   1.770581e+03   1.933509e+02
      0.325000          56750   1.556574e+03   1.155222e+02
      0.375000          19641   1.204363e+03   5.530405e+01
      0.425000          77637   8.396693e+02   1.332059e+01
      0.475000          25059   2.664117e+02   0.000000e+00
      0.525000          29606  -2.889558e+01   1.444779e+00
      0.575000          27412  -2.724384e+02   1.506670e+01
      0.625000          30755  -6.047607e+02   4.530473e+01
      0.675000          20086  -9.119164e+02   9.090055e+01
      0.725000          19218  -1.002339e+03   1.410175e+02
      0.775000          20716  -9.625024e+02   1.891426e+02
      0.825000           8324  -9.005638e+02   2.341708e+02
      0.875000          11250  -6.309051e+02   2.657161e+02
      0.925000          26984  -5.756656e+02   2.944993e+02
      0.975000          18408  -6.090858e+02   3.249536e+02
      1.025000           7546  -6.704669e+02   3.584770e+02
      1.075000          17337  -6.160600e+02   3.892800e+02
      1.125000           6656  -6.179740e+02   4.201787e+02
      1.175000           5289  -4.944341e+02   4.449004e+02
      1.225000           3755  -4.496413e+02   4.673825e+02
      1.275000           4904  -2.100388e+02   4.778844e+02
      1.325000           7591  -2.307583e+02   4.894223e+02
      1.375000           6309  -2.359326e+02   5.012189e+02
      1.425000           2547  -1.807072e+02   5.102543e+02
      1.475000           7992  -2.132601e+02   5.209173e+02
      1.525000           7500  -1.866198e+02   5.302483e+02
      1.575000           8797  -2.243214e+02   5.414644e+02
      1.625000           4302  -3.022801e+02   5.565784e+02
      1.675000           3318  -2.832276e+02   5.707398e+02
      1.725000           3575  -2.652992e+02   5.840047e+02
      1.775000           7393  -1.192512e+02   5.899673e+02
      1.825000          12684  -2.002831e+02   5.999814e+02
      1.875000            974  -2.882770e+02   6.143953e+02
      1.925000           4592  -1.656269e+02   6.226766e+02
      1.975000           9956  -1.931962e+02   6.323364e+02
      2.025000           6159  -1.742773e+02   6.410503e+02
      2.075000           6886  -1.673331e+02   6.494170e+02
      2.125000           8200  -2.344441e+02   6.611392e+02
      2.175000           1574  -2.415708e+02   6.732177e+02
      2.225000           2312  -3.118400e+02   6.888097e+02
      2.275000           6063  -4.460451e+01   6.910399e+02
      2.325000           9373  -1.571757e+02   6.988987e+02
      2.375000           3505  -1.834887e+02   7.080732e+02
      2.425000           2100  -1.953156e+02   7.178389e+02
      2.475000           4572  -1.392440e+02   7.248011e+02
      2.525000          10208  -1.302212e+02   7.313122e+02
      2.575000           5684  -2.365450e+02   7.431394e+02
      2.625000            891  -3.373318e+02   7.600060e+02
