          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.900813e-01   0.000000e+00              1             72              2             10   1.937433e+01   0.000000e+00   8.649841e-01
           500   4.716649e-01   9.905797e-01              1             76              2             10   1.892151e+01   6.693894e-02   8.571712e-01
          1000   5.013227e-01   1.848842e+00              2             72              2              8   1.924662e+01   5.835916e-02   8.671659e-01
          1500   4.919677e-01   2.948015e+00              1             74              2              7   1.906162e+01   7.449120e-02   8.587232e-01
          2000   4.883571e-01   3.940004e+00              1             68              1              6   1.916969e+01   7.558506e-02   8.639647e-01
          2500   4.770307e-01   4.927435e+00              1             75              2             10   1.878738e+01   7.132296e-02   8.471221e-01
          3000   4.925865e-01   5.902911e+00              1             72              2              7   1.901407e+01   7.687579e-02   8.604760e-01
          3500   4.938768e-01   6.885597e+00              1             67              2              9   1.903037e+01   7.373357e-02   8.518797e-01
          4000   4.733272e-01   7.881525e+00              1             67              2              8   1.899484e+01   7.597686e-02   8.523062e-01
          4500   5.012922e-01   8.349878e+00              1             65              2             10   1.891684e+01   8.802704e-02   8.578738e-01
          5000   4.851195e-01   9.850287e+00              1             64              2              9   1.897625e+01   7.727563e-02   8.588815e-01
          5500   4.980747e-01   1.019005e+01              1             64              2             10   1.905995e+01   8.119636e-02   8.697671e-01
          6000   5.023286e-01   1.116256e+01              1             65              2              8   1.906824e+01   8.791254e-02   8.699813e-01
          6500   5.074209e-01   1.274031e+01              1             69              2             10   1.889818e+01   9.026984e-02   8.640587e-01
          7000   5.177071e-01   1.312842e+01              0             66              2              9   1.899063e+01   8.253779e-02   8.634353e-01
          7500   5.162933e-01   1.408363e+01              1             63              2              7   1.904039e+01   8.670466e-02   8.629617e-01
          8000   5.009521e-01   1.504774e+01              1             66              2              8   1.889091e+01   1.111292e-01   8.629288e-01
          8500   5.050502e-01   1.603599e+01              1             66              2             10   1.921857e+01   9.037803e-02   8.622133e-01
          9000   4.834764e-01   1.748586e+01              0             69              2              7   1.878493e+01   9.343679e-02   8.493975e-01
          9500   4.896202e-01   1.848085e+01              1             66              2             10   1.903487e+01   8.931469e-02   8.664218e-01
         10000   5.158912e-01   1.886675e+01              1             67              2             10   1.946614e+01   7.607672e-02   8.765695e-01
         10500   4.760338e-01   2.041822e+01              0             65              2             12   1.906347e+01   8.539877e-02   8.614201e-01
         11000   4.761023e-01   2.141312e+01              0             66              2              8   1.876632e+01   9.728339e-02   8.629725e-01
         11500   4.826551e-01   2.241139e+01              1             68              2             10   1.892543e+01   8.733436e-02   8.625810e-01
         12000   4.698631e-01   2.340544e+01              1             69              2              9   1.881099e+01   9.973202e-02   8.531983e-01
         12500   4.625836e-01   2.439513e+01              1             67              2             10   1.836704e+01   9.810894e-02   8.647083e-01
         13000   4.932064e-01   2.538071e+01              0             66              2             10   1.859738e+01   1.011190e-01   8.546362e-01
         13500   4.737061e-01   2.636344e+01              0             70              2             10   1.881439e+01   1.044306e-01   8.663887e-01
         14000   4.728763e-01   2.734306e+01              0             68              2              8   1.869393e+01   1.002215e-01   8.487210e-01
         14500   4.877735e-01   2.832685e+01              1             66              2             10   1.889435e+01   9.018154e-02   8.551039e-01
         15000   4.798622e-01   2.932245e+01              0             69              2             10   1.892682e+01   9.909614e-02   8.583457e-01
         15500   4.808687e-01   3.032009e+01              1             67              2              9   1.867520e+01   8.805350e-02   8.532070e-01
         16000   4.807872e-01   3.131610e+01              1             68              2              8   1.857694e+01   9.176053e-02   8.563928e-01
         16500   4.743209e-01   3.231218e+01              1             71              2              9   1.897903e+01   8.418518e-02   8.556590e-01
         17000   4.709208e-01   3.330886e+01              0             69              2             10   1.862016e+01   9.093934e-02   8.530888e-01
         17500   5.042687e-01   3.222550e+01              0             65              2              8   1.920062e+01   9.048940e-02   8.561229e-01
         18000   4.763746e-01   3.527186e+01              0             64              2             10   1.885446e+01   9.849890e-02   8.474582e-01
         18500   4.960488e-01   3.625812e+01              1             63              3             10   1.852308e+01   9.937262e-02   8.473363e-01
         19000   4.944504e-01   3.724918e+01              0             66              2              9   1.863132e+01   9.413566e-02   8.588066e-01
         19500   4.861134e-01   3.821034e+01              0             68              2             10   1.884179e+01   9.309103e-02   8.545384e-01
         20000   5.028216e-01   3.688435e+01              0             67              2              9   1.932209e+01   9.385257e-02   8.786133e-01
         20500   4.800623e-01   4.013386e+01              1             69              2              9   1.898799e+01   7.924175e-02   8.619099e-01
         21000   5.044720e-01   4.110824e+01              0             64              2             11   1.913643e+01   9.340299e-02   8.617444e-01
         21500   4.679655e-01   4.206655e+01              0             66              2              9   1.868135e+01   1.031414e-01   8.488272e-01
         22000   4.957368e-01   4.056317e+01              0             66              2             10   1.908630e+01   9.476199e-02   8.538901e-01
         22500   4.825256e-01   4.400641e+01              0             70              2              8   1.889536e+01   9.225479e-02   8.508260e-01
         23000   4.845280e-01   4.500051e+01              0             68              2              9   1.872871e+01   9.690405e-02   8.453718e-01
         23500   4.847700e-01   4.337025e+01              0             69              2              7   1.888723e+01   1.000653e-01   8.423906e-01
         24000   4.624586e-01   4.696407e+01              0             68              2             10   1.879627e+01   1.011063e-01   8.439930e-01
         24500   4.815651e-01   4.795605e+01              0             70              2             10   1.895475e+01   9.710474e-02   8.610221e-01
         25000   4.735758e-01   4.895376e+01              0             66              2              9   1.877565e+01   9.676588e-02   8.626118e-01
         25500   4.737398e-01   4.993837e+01              0             69              2              7   1.891615e+01   1.013261e-01   8.433727e-01
         26000   4.917377e-01   5.091132e+01              0             67              2              9   1.883286e+01   8.782700e-02   8.706929e-01
         26500   4.901709e-01   4.876648e+01              0             66              2              8   1.895823e+01   9.283958e-02   8.468376e-01
         27000   4.796905e-01   5.288368e+01              0             66              2              6   1.892425e+01   8.951309e-02   8.661091e-01
         27500   4.926343e-01   5.387600e+01              0             64              2              8   1.887733e+01   8.876682e-02   8.503365e-01
         28000   4.908246e-01   5.486408e+01              0             68              2              7   1.873848e+01   9.864531e-02   8.553809e-01
         28500   4.965503e-01   5.580771e+01              1             67              2             10   1.910941e+01   9.665707e-02   8.579643e-01
         29000   4.919028e-01   5.342367e+01              1             69              2              7   1.898753e+01   1.005121e-01   8.624560e-01
         29500   4.972535e-01   5.768318e+01              0             67              2              7   1.883002e+01   1.057396e-01   8.536377e-01
         30000   4.745092e-01   5.867510e+01              0             69              2              7   1.849565e+01   1.069279e-01   8.509491e-01
         30500   4.879212e-01   5.965292e+01              0             68              2              9   1.886468e+01   9.298924e-02   8.680374e-01
         31000   4.794974e-01   6.064763e+01              0             66              2              9   1.908740e+01   1.003639e-01   8.699309e-01
         31500   4.809572e-01   6.164500e+01              0             67              2              8   1.878054e+01   9.653723e-02   8.470796e-01
         32000   4.864064e-01   6.263716e+01              0             70              2              8   1.868434e+01   1.008823e-01   8.488025e-01
         32500   5.027286e-01   5.990740e+01              0             65              2              8   1.905251e+01   9.776741e-02   8.626044e-01
         33000   5.301359e-01   4.514577e+01              0             61              2              8   1.887447e+01   1.088936e-01   8.491993e-01
         33500   5.246476e-01   6.188479e+01              0             64              2              6   1.894307e+01   1.088521e-01   8.504173e-01
         34000   5.188481e-01   6.288060e+01              0             68              1              8   1.889063e+01   1.177212e-01   8.495701e-01
         34500   5.126740e-01   6.387762e+01              0             70              2              8   1.905700e+01   1.217453e-01   8.524357e-01
         35000   5.213240e-01   6.487467e+01              0             67              2              9   1.926210e+01   1.221023e-01   8.519598e-01
         35500   5.122653e-01   6.586493e+01              0             66              2              9   1.932887e+01   1.081948e-01   8.562827e-01
         36000   4.886922e-01   6.973846e+01              0             65              2              8   1.893791e+01   1.091101e-01   8.592772e-01
         36500   5.284960e-01   6.776799e+01              0             68              2              7   1.952188e+01   1.250788e-01   8.743781e-01
         37000   5.169186e-01   6.876001e+01              0             65              2              9   1.926040e+01   1.305757e-01   8.698619e-01
         37500   5.479991e-01   5.290879e+01              0             62              2              7   1.923032e+01   1.316323e-01   8.620343e-01
         38000   5.580320e-01   5.390144e+01              0             61              2             10   1.945875e+01   1.285521e-01   8.612478e-01
         38500   5.257377e-01   7.159572e+01              0             66              2              9   1.947245e+01   1.345985e-01   8.810919e-01
         39000   5.538568e-01   5.579169e+01              0             61              2              9   1.933566e+01   1.267425e-01   8.744834e-01
         39500   5.078996e-01   7.351155e+01              0             62              2              9   1.916433e+01   1.328419e-01   8.565503e-01
         40000   5.163718e-01   7.450464e+01              0             65              2              6   1.902322e+01   1.225159e-01   8.647489e-01
         40500   5.113820e-01   7.550179e+01              0             66              2              8   1.931281e+01   1.274021e-01   8.571678e-01
         41000   5.128022e-01   7.649944e+01              1             64              3              9   1.907498e+01   1.289946e-01   8.576771e-01
         41500   4.914877e-01   7.892250e+01              0             68              3              9   1.880573e+01   1.489334e-01   8.537736e-01
         42000   4.877087e-01   7.991791e+01              0             69              3              9   1.875966e+01   1.391921e-01   8.434250e-01
         42500   5.101352e-01   7.933747e+01              0             67              2              9   1.902551e+01   1.294140e-01   8.554667e-01
         43000   5.277025e-01   8.032599e+01              0             64              2              7   1.921470e+01   1.298767e-01   8.618214e-01
         43500   5.027609e-01   8.129806e+01              0             65              2              8   1.936823e+01   1.443499e-01   8.700377e-01
         44000   5.131431e-01   8.229422e+01              0             65              2              9   1.919816e+01   1.282342e-01   8.611553e-01
         44500   5.249562e-01   8.329176e+01              0             63              2              8   1.928822e+01   1.214950e-01   8.763099e-01
         45000   5.389018e-01   6.599730e+01              0             63              2              8   1.913908e+01   1.307471e-01   8.673203e-01
         45500   5.383196e-01   6.697661e+01              0             66              2              8   1.942374e+01   1.295243e-01   8.752135e-01
         46000   5.397049e-01   6.795928e+01              0             62              2             11   1.919708e+01   1.217731e-01   8.632344e-01
         46500   5.379694e-01   8.704282e+01              1             64              2              8   1.893744e+01   1.245687e-01   8.628408e-01
         47000   5.569426e-01   6.990091e+01              0             66              2             11   1.931296e+01   1.289439e-01   8.780483e-01
         47500   5.574255e-01   7.089498e+01              0             61              2              9   1.939701e+01   1.346008e-01   8.845793e-01
         48000   5.258560e-01   8.985675e+01              0             66              2              9   1.940367e+01   1.339436e-01   8.786902e-01
         48500   5.240485e-01   9.085112e+01              0             64              3              7   1.931515e+01   1.210761e-01   8.673160e-01
         49000   4.983101e-01   9.103573e+01              0             70              4              9   1.926687e+01   1.174451e-01   8.655578e-01
         49500   4.957272e-01   9.201487e+01              0             66              4              7   1.955583e+01   1.211971e-01   8.781421e-01
         50000   5.196148e-01   9.376521e+01              0             64              2              6   1.936745e+01   1.344052e-01   8.670511e-01
         50500   5.131614e-01   9.476338e+01              0             68              4              6   1.952938e+01   1.430264e-01   8.751143e-01
         51000   4.819837e-01   9.470307e+01              0             72              4              8   1.930821e+01   1.408200e-01   8.665337e-01
         51500   4.914336e-01   9.569155e+01              0             67              4              9   1.908025e+01   1.469084e-01   8.605045e-01
         52000   4.949164e-01   9.668900e+01              1             70              4              7   1.921026e+01   1.502574e-01   8.708055e-01
         52500   5.012302e-01   9.768456e+01              1             69              4              8   1.895346e+01   1.522660e-01   8.602296e-01
         53000   5.019030e-01   9.867581e+01              0             68              4             10   1.882023e+01   1.494519e-01   8.598472e-01
         53500   4.761809e-01   9.967097e+01              0             67              4              7   1.911400e+01   1.546864e-01   8.803279e-01
         54000   4.992642e-01   1.006277e+02              0             68              4              8   1.932426e+01   1.468593e-01   8.702529e-01
         54500   5.026343e-01   1.015927e+02              0             69              3              7   1.933636e+01   1.566521e-01   8.753404e-01
         55000   4.853948e-01   1.025836e+02              0             71              4              8   1.918063e+01   1.476923e-01   8.667567e-01
         55500   4.898663e-01   1.035820e+02              0             71              3              8   1.915097e+01   1.427260e-01   8.699995e-01
         56000   4.982135e-01   1.049024e+02              0             70              3              8   1.920610e+01   1.343218e-01   8.721732e-01
         56500   4.982355e-01   1.058680e+02              0             71              4              9   1.927560e+01   1.422396e-01   8.822156e-01
         57000   4.831314e-01   1.065059e+02              0             70              4              9   1.919226e+01   1.339991e-01   8.691931e-01
         57500   5.004711e-01   1.074912e+02              0             67              3              6   1.935974e+01   1.279590e-01   8.741958e-01
         58000   4.887864e-01   1.084870e+02              0             74              4              7   1.933717e+01   1.123220e-01   8.649322e-01
         58500   4.917696e-01   1.094256e+02              0             71              4             10   1.918136e+01   1.196616e-01   8.740569e-01
         59000   4.876352e-01   1.104098e+02              0             73              4              9   1.914747e+01   1.172414e-01   8.710022e-01
         59500   5.070017e-01   1.113692e+02              0             71              4              9   1.910102e+01   1.136929e-01   8.639659e-01
         60000   4.924917e-01   1.123461e+02              0             70              3             10   1.916959e+01   1.169146e-01   8.619989e-01
         60500   5.140501e-01   1.132597e+02              0             66              3              8   1.935565e+01   1.197652e-01   8.818517e-01
         61000   5.300129e-01   9.074419e+01              0             67              3              7   1.929475e+01   1.211239e-01   8.781504e-01
         61500   5.227450e-01   1.152317e+02              0             68              3              8   1.937222e+01   1.335693e-01   8.844190e-01
         62000   5.099026e-01   1.161946e+02              2             67              3              7   1.962360e+01   1.284521e-01   8.878026e-01
         62500   5.299387e-01   1.171645e+02              0             66              4             10   1.952237e+01   1.350217e-01   8.917094e-01
         63000   5.077605e-01   1.181606e+02              1             65              4              8   1.937696e+01   1.232865e-01   8.785023e-01
         63500   4.788536e-01   9.354592e+01              1             65              4              8   1.931823e+01   1.259364e-01   8.796212e-01
         64000   4.757820e-01   1.195227e+02              1             68              4              7   1.948383e+01   1.194837e-01   8.829756e-01
         64500   4.818209e-01   1.205037e+02              0             67              4              9   1.903393e+01   1.189870e-01   8.723827e-01
         65000   4.844040e-01   1.215001e+02              0             68              3              9   1.915969e+01   1.319449e-01   8.803229e-01
         65500   5.073631e-01   1.224931e+02              0             63              3              6   1.914230e+01   1.347966e-01   8.783094e-01
         66000   4.826201e-01   1.233675e+02              0             66              4              9   1.926196e+01   1.274416e-01   8.694789e-01
         66500   5.095974e-01   1.243785e+02              0             62              3              8   1.942127e+01   1.386576e-01   8.785576e-01
         67000   4.970224e-01   1.253709e+02              0             62              3              9   1.888890e+01   1.257464e-01   8.692578e-01
         67500   4.701817e-01   1.262128e+02              0             65              4              9   1.922036e+01   1.293385e-01   8.702900e-01
         68000   4.922532e-01   1.271983e+02              1             64              3              9   1.891235e+01   1.331940e-01   8.648619e-01
         68500   4.812578e-01   1.281948e+02              1             66              4              8   1.906622e+01   1.371499e-01   8.594508e-01
         69000   4.843352e-01   1.291900e+02              0             66              4              9   1.944317e+01   1.251653e-01   8.732399e-01
         69500   4.984261e-01   1.301881e+02              0             71              4             10   1.934396e+01   1.366662e-01   8.686559e-01
         70000   5.194000e-01   1.306564e+02              0             71              4              8   1.955998e+01   1.253231e-01   8.871159e-01
         70500   5.273790e-01   1.316528e+02              0             68              4             10   1.930880e+01   1.261046e-01   8.755115e-01
         71000   5.610352e-01   1.053040e+02              0             67              4              7   1.957337e+01   1.261123e-01   8.770888e-01
         71500   5.805089e-01   6.758516e+01              0             65              4              9   1.956596e+01   1.297261e-01   8.895635e-01
         72000   5.755355e-01   1.072289e+02              0             65              4              7   1.976999e+01   1.352331e-01   8.923782e-01
         72500   5.996928e-01   6.954583e+01              0             62              4              6   1.962385e+01   1.299224e-01   8.828020e-01
         73000   5.949879e-01   7.054128e+01              0             64              4              7   1.946869e+01   1.385242e-01   8.791461e-01
         73500   6.069345e-01   7.153880e+01              0             62              4              9   1.973369e+01   1.479744e-01   8.765567e-01
         74000   6.182888e-01   3.869055e+01              0             63              4              5   1.977881e+01   1.503819e-01   8.898865e-01
         74500   6.050569e-01   7.349260e+01              1             61              4              7   1.963455e+01   1.427639e-01   8.944606e-01
         75000   6.281380e-01   4.058074e+01              0             55              4              7   1.961173e+01   1.482307e-01   8.864470e-01
         75500   6.151011e-01   4.154522e+01              0             60              3              7   1.976950e+01   1.385708e-01   8.813488e-01
         76000   6.211639e-01   4.250166e+01              0             60              4              7   1.947597e+01   1.392796e-01   8.815291e-01
         76500   5.819631e-01   7.738682e+01              0             63              4              8   1.934886e+01   1.396181e-01   8.795100e-01
         77000   6.032556e-01   4.420700e+01              0             58              4              7   1.925557e+01   1.324265e-01   8.834519e-01
         77500   5.768641e-01   1.164818e+02              0             62              4              8   1.958617e+01   1.310606e-01   8.768023e-01
         78000   5.793146e-01   8.031377e+01              0             60              4              8   1.948699e+01   1.267562e-01   8.664482e-01
         78500   5.934725e-01   8.131068e+01              0             61              4              7   1.935837e+01   1.338644e-01   8.700759e-01
         79000   6.111036e-01   8.229321e+01              0             60              3              8   1.944388e+01   1.281533e-01   8.727320e-01
         79500   6.192261e-01   4.853582e+01              0             58              4              7   1.960652e+01   1.420095e-01   8.838597e-01
