         r_bin          count          force            pmf
      0.425000            458   3.490361e+02   2.620196e+00
      0.475000          14428   5.240392e+01   0.000000e+00
      0.525000          10934  -1.088222e+02   5.441112e+00
      0.575000           7729  -2.509473e+02   1.798848e+01
      0.625000           5671  -3.703586e+02   3.650641e+01
      0.675000           4367  -2.394285e+02   4.847783e+01
      0.725000           9731  -2.778711e+02   6.237139e+01
      0.775000           1700  -3.028011e+02   7.751144e+01
      0.825000           3555  -2.195654e+02   8.848971e+01
      0.875000           3322  -1.451058e+02   9.574500e+01
      0.925000           8358  -5.343886e+01   9.841694e+01
      0.975000          15689  -6.423940e+01   1.016289e+02
      1.025000           3968  -3.247036e+01   1.032524e+02
      1.075000           6081  -7.776624e+01   1.071407e+02
      1.125000          11526  -4.980649e+01   1.096311e+02
      1.175000          12810  -6.858946e+01   1.130605e+02
      1.225000           8891  -1.350394e+02   1.198125e+02
      1.275000           5564  -5.710099e+01   1.226676e+02
      1.325000           8147  -6.153545e+01   1.257443e+02
      1.375000           8733  -2.497820e+01   1.269932e+02
      1.425000           7026  -1.284183e+02   1.334142e+02
      1.475000           4601  -9.421185e+01   1.381247e+02
      1.525000           2043  -2.177303e+02   1.490113e+02
      1.575000           1489  -2.096713e+02   1.594948e+02
      1.625000            728  -1.246062e+02   1.657251e+02
      1.675000            580  -1.153149e+02   1.714909e+02
      1.725000           3790   6.205657e+01   1.683881e+02
      1.775000           6839  -8.029515e+01   1.724028e+02
      1.825000           2047  -1.741003e+02   1.811078e+02
      1.875000           1181   1.000904e+01   1.806074e+02
      1.925000           4220  -9.541557e+01   1.853782e+02
      1.975000           5307  -9.498341e+01   1.901273e+02
      2.025000           3454  -1.597425e+02   1.981144e+02
      2.075000           1394  -1.091603e+02   2.035725e+02
      2.125000           1820  -1.575173e+02   2.114483e+02
      2.175000           1123  -1.065033e+02   2.167735e+02
      2.225000            549  -8.976102e+00   2.172223e+02
      2.275000           1941   1.599480e+01   2.164226e+02
      2.325000           5310  -4.203347e+01   2.185242e+02
      2.375000           5008  -9.684797e+01   2.233666e+02
      2.425000           2432  -1.384173e+02   2.302875e+02
      2.475000           4767   1.836476e+01   2.293693e+02
      2.525000          17723  -1.098752e+02   2.348630e+02
      2.575000           5088  -2.423344e+02   2.469797e+02
      2.625000            378  -4.102024e+02   2.674899e+02
