          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   5.003349e-01   0.000000e+00              0             41              0              1   1.410860e+01   0.000000e+00   9.096300e-01
           500   4.935115e-01   9.594845e-01              0             43              0              1   1.424617e+01   6.157508e-02   9.161813e-01
          1000   4.868826e-01   1.950251e+00              0             44              0              1   1.430147e+01   6.894743e-02   9.171693e-01
          1500   4.934857e-01   2.939656e+00              0             44              0              1   1.434913e+01   8.150122e-02   9.324721e-01
          2000   5.003295e-01   3.767150e+00              0             46              0              1   1.435549e+01   9.062292e-02   9.247879e-01
          2500   4.967452e-01   4.878954e+00              0             43              0              1   1.422181e+01   1.024305e-01   8.945453e-01
          3000   5.122434e-01   5.701359e+00              0             43              0              1   1.415856e+01   7.561479e-02   9.112353e-01
          3500   5.124009e-01   6.678704e+00              0             41              0              1   1.427793e+01   7.204681e-02   9.167940e-01
          4000   4.899962e-01   7.658535e+00              0             43              0              1   1.444128e+01   8.026779e-02   9.271623e-01
          4500   5.012802e-01   8.698270e+00              0             42              0              0   1.431967e+01   7.607026e-02   9.032698e-01
          5000   4.934270e-01   9.679778e+00              0             43              0              1   1.433137e+01   8.661301e-02   9.122790e-01
          5500   5.083911e-01   1.053231e+01              0             37              0              1   1.429712e+01   9.735467e-02   8.994090e-01
          6000   4.951563e-01   1.161775e+01              0             41              0              1   1.417961e+01   1.224071e-01   9.042688e-01
          6500   4.752610e-01   1.260788e+01              0             45              0              1   1.433674e+01   1.116209e-01   9.148863e-01
          7000   4.686636e-01   1.359675e+01              0             44              0              1   1.428202e+01   1.147344e-01   9.078048e-01
          7500   4.539415e-01   1.458737e+01              0             46              0              1   1.426586e+01   1.017100e-01   9.201408e-01
          8000   4.711427e-01   1.558134e+01              0             43              0              1   1.404980e+01   9.194451e-02   9.151348e-01
          8500   4.717408e-01   1.657594e+01              0             39              0              1   1.421683e+01   1.221458e-01   9.380894e-01
          9000   4.738392e-01   1.756292e+01              0             37              0              1   1.418131e+01   1.044912e-01   9.211043e-01
          9500   4.808213e-01   1.854322e+01              0             43              0              1   1.416021e+01   9.225170e-02   9.165448e-01
         10000   4.539476e-01   1.953221e+01              0             44              0              1   1.426139e+01   8.909940e-02   9.226648e-01
         10500   4.757540e-01   2.052337e+01              0             39              0              1   1.429770e+01   1.026506e-01   9.053531e-01
         11000   4.683885e-01   2.151242e+01              0             41              0              0   1.422918e+01   1.004104e-01   9.132186e-01
         11500   4.545596e-01   1.910000e+01              0             45              0              1   1.431572e+01   1.012553e-01   9.138798e-01
         12000   4.634503e-01   2.348949e+01              0             48              0              1   1.402601e+01   1.077720e-01   9.005608e-01
         12500   4.822670e-01   2.448189e+01              0             42              0              1   1.411499e+01   1.015114e-01   9.091139e-01
         13000   4.775933e-01   2.547407e+01              0             45              0              1   1.415117e+01   1.153185e-01   9.455504e-01
         13500   4.729664e-01   2.646578e+01              0             43              0              1   1.421613e+01   1.027409e-01   9.294878e-01
         14000   4.977210e-01   2.524886e+01              0             40              0              1   1.430312e+01   1.183312e-01   9.332240e-01
         14500   5.112730e-01   2.620204e+01              0             40              0              1   1.440303e+01   9.690411e-02   9.291583e-01
         15000   4.910257e-01   2.938584e+01              0             40              0              1   1.423456e+01   1.086850e-01   9.405901e-01
         15500   4.875140e-01   3.034705e+01              0             40              0              1   1.424578e+01   1.157784e-01   9.365425e-01
         16000   4.961894e-01   3.133050e+01              0             39              0              1   1.421588e+01   1.164396e-01   9.252290e-01
         16500   4.887587e-01   3.229089e+01              0             38              0              1   1.421791e+01   1.008195e-01   9.122080e-01
         17000   5.075705e-01   3.093761e+01              0             40              0              1   1.411203e+01   1.014524e-01   8.990432e-01
         17500   4.858378e-01   3.424737e+01              0             38              0              1   1.424292e+01   1.087912e-01   8.985662e-01
         18000   4.932487e-01   3.522022e+01              0             39              0              1   1.427093e+01   1.041896e-01   9.179278e-01
         18500   4.858559e-01   3.621697e+01              0             37              0              1   1.416935e+01   1.038667e-01   9.212982e-01
         19000   5.156534e-01   3.713314e+01              0             38              0              1   1.424240e+01   9.500023e-02   9.176700e-01
         19500   5.066646e-01   3.804180e+01              0             38              0              1   1.433010e+01   1.033138e-01   8.956738e-01
         20000   5.246096e-01   3.661898e+01              0             36              0              1   1.417796e+01   8.889759e-02   9.132289e-01
         20500   5.488558e-01   2.806137e+01              0             36              0              1   1.424651e+01   1.254476e-01   9.044708e-01
         21000   5.523570e-01   2.905263e+01              0             31              0              1   1.436578e+01   1.336797e-01   9.069115e-01
         21500   6.017384e-01   1.831908e+01              0             25              0              1   1.429882e+01   1.421759e-01   9.126419e-01
         22000   5.656345e-01   3.098730e+01              0             31              0              1   1.428050e+01   1.536010e-01   9.125718e-01
         22500   5.665070e-01   3.198458e+01              0             32              0              1   1.433374e+01   1.348266e-01   8.951038e-01
         23000   5.331852e-01   4.188952e+01              0             34              0              1   1.425432e+01   1.157962e-01   9.170195e-01
         23500   5.246153e-01   4.288678e+01              0             29              0              1   1.433619e+01   1.186777e-01   8.903093e-01
         24000   5.206545e-01   4.388363e+01              0             36              0              1   1.407944e+01   1.204159e-01   8.899243e-01
         24500   5.305682e-01   4.488115e+01              0             36              0              1   1.409861e+01   1.181277e-01   8.850490e-01
         25000   5.715068e-01   3.660904e+01              0             26              0              1   1.428249e+01   1.127506e-01   9.079999e-01
         25500   5.533576e-01   3.758020e+01              0             33              0              1   1.434699e+01   1.392103e-01   9.121991e-01
         26000   5.226812e-01   4.768530e+01              0             34              0              1   1.408861e+01   1.315326e-01   8.842173e-01
         26500   5.343005e-01   4.867034e+01              0             32              0              1   1.421997e+01   1.283601e-01   8.962151e-01
         27000   5.251134e-01   4.966211e+01              0             32              0              1   1.425099e+01   1.126674e-01   9.228581e-01
         27500   5.275982e-01   4.117462e+01              0             38              0              1   1.425956e+01   1.147326e-01   9.291471e-01
         28000   5.298922e-01   5.160377e+01              0             36              0              1   1.426201e+01   1.186018e-01   9.089399e-01
         28500   5.447577e-01   4.309861e+01              0             39              0              1   1.406585e+01   1.183298e-01   9.041223e-01
         29000   5.518172e-01   4.408068e+01              0             35              0              1   1.422914e+01   1.074998e-01   9.051389e-01
         29500   5.335159e-01   5.440777e+01              0             38              0              1   1.420350e+01   1.175288e-01   9.129639e-01
         30000   5.534038e-01   4.601059e+01              0             36              0              1   1.424795e+01   1.226812e-01   9.153218e-01
         30500   5.402884e-01   5.628698e+01              0             31              0              1   1.432365e+01   9.853607e-02   9.304044e-01
         31000   5.058424e-01   5.511201e+01              0             39              0              1   1.426707e+01   1.142935e-01   8.892474e-01
         31500   5.467281e-01   4.882162e+01              0             36              0              1   1.409296e+01   1.284356e-01   9.068884e-01
         32000   5.782765e-01   4.979160e+01              0             32              0              1   1.411034e+01   1.316630e-01   8.997986e-01
         32500   5.770383e-01   5.077634e+01              0             27              0              1   1.419926e+01   1.333297e-01   8.899497e-01
         33000   5.962296e-01   3.575601e+01              0             28              0              1   1.428554e+01   1.406510e-01   9.065776e-01
         33500   5.907361e-01   3.672521e+01              0             31              0              0   1.431815e+01   1.383012e-01   8.991582e-01
         34000   5.921410e-01   3.768727e+01              0             30              0              1   1.429980e+01   1.354038e-01   9.199183e-01
         34500   5.905370e-01   3.866374e+01              0             32              0              1   1.417726e+01   1.423278e-01   9.019749e-01
         35000   6.042719e-01   3.964719e+01              0             28              0              0   1.399263e+01   1.375906e-01   8.988185e-01
         35500   6.057494e-01   4.064397e+01              0             31              0              1   1.396938e+01   1.237887e-01   9.122241e-01
         36000   6.067294e-01   4.163170e+01              0             30              0              0   1.413670e+01   1.268525e-01   9.032558e-01
         36500   5.915821e-01   4.260452e+01              0             31              0              1   1.383971e+01   1.038345e-01   8.717440e-01
         37000   6.087448e-01   4.355879e+01              0             31              0              0   1.393672e+01   1.158813e-01   8.818093e-01
         37500   5.880870e-01   6.013016e+01              0             34              0              1   1.422420e+01   1.378122e-01   8.967089e-01
         38000   6.069889e-01   4.553385e+01              0             28              0              1   1.410308e+01   1.370048e-01   8.876355e-01
         38500   6.244920e-01   4.651866e+01              0             32              0              0   1.395302e+01   1.561520e-01   8.983707e-01
         39000   6.405541e-01   4.750705e+01              0             26              0              1   1.403335e+01   1.695136e-01   9.000517e-01
         39500   6.300739e-01   4.846592e+01              0             31              0              1   1.401509e+01   2.228539e-01   8.961181e-01
         40000   6.823377e-01   1.732914e+01              0             27              0              1   1.410678e+01   2.069258e-01   9.179255e-01
         40500   6.947569e-01   1.830543e+01              0             18              0              1   1.401999e+01   2.139346e-01   9.226715e-01
         41000   7.159774e-01   1.928528e+01              0             21              0              1   1.409952e+01   2.252618e-01   9.124404e-01
         41500   7.054902e-01   2.028117e+01              0             23              0              1   1.397879e+01   2.157376e-01   9.259876e-01
         42000   7.220077e-01   2.127144e+01              0             24              0              1   1.403407e+01   2.591596e-01   8.892348e-01
         42500   7.329490e-01   2.223908e+01              0             24              0              1   1.387224e+01   2.526457e-01   8.686077e-01
         43000   7.070658e-01   2.322621e+01              0             29              0              1   1.398252e+01   2.962928e-01   8.652639e-01
         43500   7.385421e-01   2.421623e+01              0             24              0              0   1.385920e+01   2.797133e-01   8.431405e-01
         44000   7.024804e-01   2.518499e+01              0             29              0              1   1.401367e+01   2.756053e-01   8.760539e-01
         44500   6.966622e-01   2.613781e+01              0             27              0              1   1.402176e+01   2.448146e-01   8.811251e-01
         45000   7.203089e-01   2.712513e+01              0             22              0              1   1.404336e+01   2.331354e-01   8.976988e-01
         45500   6.989758e-01   4.164844e+01              0             25              0              1   1.417317e+01   2.112264e-01   9.170933e-01
         46000   6.675827e-01   4.260202e+01              0             33              0              1   1.405334e+01   2.173307e-01   8.959648e-01
         46500   6.900115e-01   4.358418e+01              0             29              0              1   1.418121e+01   1.932136e-01   9.112473e-01
         47000   6.701944e-01   4.455988e+01              0             33              0              1   1.425077e+01   2.025726e-01   9.392768e-01
         47500   6.557159e-01   4.555114e+01              0             30              0              1   1.415681e+01   1.904275e-01   9.113734e-01
         48000   6.546368e-01   4.654228e+01              0             32              0              1   1.433331e+01   2.165841e-01   9.344245e-01
         48500   6.696752e-01   4.753264e+01              0             30              0              1   1.454131e+01   2.098350e-01   9.213360e-01
         49000   7.127046e-01   3.450128e+01              0             24              0              0   1.432782e+01   1.991169e-01   9.480384e-01
         49500   6.953943e-01   4.942374e+01              0             30              0              1   1.432936e+01   2.166531e-01   9.352659e-01
         50000   7.056986e-01   3.646572e+01              0             28              0              1   1.412400e+01   2.101453e-01   9.362064e-01
         50500   7.091258e-01   3.746013e+01              0             33              0              1   1.426172e+01   2.277602e-01   9.360288e-01
         51000   7.216902e-01   3.844910e+01              0             31              0              1   1.427026e+01   2.329383e-01   9.404413e-01
