         r_bin          count          force            pmf
      0.475000             51   4.786668e+02   8.506930e+00
      0.525000           9378   1.701386e+02   0.000000e+00
      0.575000          23956  -6.182093e+01   3.091046e+00
      0.625000           8732  -3.212581e+02   1.915395e+01
      0.675000           5137  -4.521195e+02   4.175992e+01
      0.725000           5075  -4.266271e+02   6.309128e+01
      0.775000           6851  -3.284343e+02   7.951299e+01
      0.825000           9910  -2.726393e+02   9.314496e+01
      0.875000           4887  -3.212223e+02   1.092061e+02
      0.925000           1884  -1.832508e+02   1.183686e+02
      0.975000          14080  -1.044118e+02   1.235892e+02
      1.025000          13379  -2.352445e+02   1.353514e+02
      1.075000           6206  -3.357475e+02   1.521388e+02
      1.125000           3518  -3.654678e+02   1.704122e+02
      1.175000           4147  -2.599745e+02   1.834109e+02
      1.225000          12128  -1.932626e+02   1.930741e+02
      1.275000          12004  -2.840314e+02   2.072756e+02
      1.325000           3296  -4.065822e+02   2.276047e+02
      1.375000           1810  -2.973792e+02   2.424737e+02
      1.425000           6150  -1.407012e+02   2.495088e+02
      1.475000           6867  -2.359537e+02   2.613064e+02
      1.525000           3285  -1.744895e+02   2.700309e+02
      1.575000           3541  -1.769284e+02   2.788773e+02
      1.625000           3565  -1.532664e+02   2.865407e+02
      1.675000           8000  -1.098301e+02   2.920322e+02
      1.725000           3618  -2.381749e+02   3.039409e+02
      1.775000            406  -1.958661e+02   3.137342e+02
      1.825000           2399  -1.097157e+02   3.192200e+02
      1.875000           2459  -1.328504e+02   3.258625e+02
      1.925000            458  -1.696335e+02   3.343442e+02
      1.975000           4708  -4.864591e+01   3.367765e+02
      2.025000           1928  -2.726788e+01   3.381399e+02
      2.075000           3485  -6.465847e+01   3.413728e+02
      2.125000           5152  -1.397531e+02   3.483605e+02
      2.175000           1936  -1.381398e+02   3.552675e+02
      2.225000           6740  -5.804035e+01   3.581695e+02
      2.275000           8496  -1.253542e+02   3.644372e+02
      2.325000           6414   1.436027e+01   3.637192e+02
      2.375000           9883   3.207118e+00   3.635588e+02
      2.425000           8356   6.475056e+01   3.603213e+02
      2.475000           4097   2.020077e+01   3.593112e+02
      2.525000           9129  -9.875982e+00   3.598050e+02
      2.575000           6988  -7.400385e+01   3.635052e+02
      2.625000           5838  -1.511039e+02   3.710604e+02
      2.675000           3573  -2.441737e+02   3.832691e+02
