          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   5.547414e-01   0.000000e+00              0             61              1              5   1.689274e+01   0.000000e+00   8.881187e-01
           500   5.486777e-01   9.675696e-01              1             55              1              6   1.670094e+01   7.832652e-02   8.805997e-01
          1000   5.661538e-01   1.953243e+00              1             52              1              4   1.662325e+01   8.392856e-02   8.910097e-01
          1500   5.545612e-01   2.934851e+00              1             55              1              4   1.684853e+01   9.498467e-02   8.951419e-01
          2000   5.348710e-01   3.835590e+00              3             60              1              5   1.684852e+01   1.035089e-01   8.966198e-01
          2500   5.559668e-01   4.815016e+00              1             52              1              5   1.640039e+01   1.060645e-01   8.882738e-01
          3000   5.764519e-01   5.803449e+00              1             54              1              5   1.660424e+01   9.847391e-02   8.752133e-01
          3500   5.738615e-01   6.793376e+00              1             51              1              4   1.644266e+01   1.181220e-01   8.847098e-01
          4000   5.604717e-01   7.782264e+00              2             56              1              6   1.650587e+01   1.184031e-01   8.974511e-01
          4500   5.536699e-01   8.770195e+00              0             56              1              5   1.656700e+01   1.044022e-01   8.919034e-01
          5000   5.539356e-01   9.748576e+00              2             54              1              6   1.664676e+01   1.143414e-01   8.943506e-01
          5500   5.598550e-01   1.070527e+01              0             52              1              5   1.646841e+01   1.029985e-01   8.944041e-01
          6000   5.583025e-01   1.169210e+01              0             53              1              4   1.663090e+01   1.000453e-01   9.020933e-01
          6500   5.672239e-01   1.268446e+01              0             53              0              4   1.651093e+01   1.221419e-01   8.783946e-01
          7000   5.826183e-01   1.367135e+01              1             51              1              4   1.677133e+01   1.167140e-01   8.865093e-01
          7500   5.767980e-01   1.466862e+01              2             49              1              3   1.697865e+01   1.294163e-01   9.052574e-01
          8000   5.608002e-01   1.566323e+01              1             52              1              3   1.698443e+01   1.158323e-01   8.793674e-01
          8500   5.665794e-01   1.665957e+01              1             55              1              4   1.679816e+01   1.118982e-01   8.816518e-01
          9000   5.790113e-01   1.764255e+01              0             51              1              3   1.721217e+01   1.340911e-01   8.995638e-01
          9500   5.757601e-01   1.863892e+01              0             52              1              5   1.708996e+01   1.488766e-01   8.884007e-01
         10000   5.744655e-01   1.963439e+01              1             49              1              5   1.674018e+01   1.496960e-01   8.925716e-01
         10500   5.834028e-01   2.063144e+01              0             51              1              4   1.697336e+01   1.424396e-01   8.952479e-01
         11000   5.683298e-01   2.162770e+01              0             53              1              6   1.665753e+01   1.519605e-01   8.922241e-01
         11500   5.681879e-01   2.262407e+01              1             50              2              3   1.685684e+01   1.622814e-01   8.943103e-01
         12000   5.472145e-01   2.360406e+01              0             52              1              3   1.716865e+01   1.730346e-01   8.926587e-01
         12500   5.663338e-01   2.458869e+01              1             51              1              3   1.694968e+01   1.655705e-01   8.941858e-01
         13000   5.685044e-01   2.556160e+01              1             49              1              3   1.689755e+01   1.842289e-01   8.885640e-01
         13500   5.748429e-01   2.655817e+01              1             49              1              3   1.704598e+01   1.765588e-01   8.862445e-01
         14000   5.730857e-01   2.755439e+01              1             53              1              4   1.677524e+01   1.710856e-01   8.757428e-01
         14500   5.668403e-01   2.854549e+01              1             50              1              3   1.689411e+01   1.592908e-01   8.811526e-01
         15000   5.610216e-01   2.953743e+01              1             51              1              4   1.722489e+01   1.558008e-01   8.971609e-01
         15500   5.518462e-01   2.836110e+01              1             54              2              4   1.698730e+01   1.585299e-01   8.929500e-01
         16000   5.491585e-01   3.143028e+01              1             51              2              4   1.693094e+01   1.718920e-01   8.770050e-01
         16500   5.544208e-01   3.029063e+01              1             51              2              4   1.683280e+01   1.557600e-01   8.849188e-01
         17000   5.490085e-01   3.127429e+01              2             53              2              3   1.680351e+01   1.630201e-01   8.817118e-01
         17500   5.661209e-01   3.430427e+01              1             49              2              4   1.699350e+01   1.556711e-01   8.902918e-01
         18000   5.528088e-01   3.315483e+01              1             50              2              5   1.689301e+01   1.596241e-01   8.889893e-01
         18500   5.515142e-01   3.625470e+01              1             52              2              5   1.687334e+01   1.840184e-01   8.592197e-01
         19000   5.476094e-01   3.508556e+01              1             51              2              4   1.696482e+01   1.783058e-01   8.957403e-01
         19500   5.509836e-01   3.602866e+01              1             50              2              5   1.687443e+01   1.822608e-01   8.734509e-01
         20000   5.397226e-01   3.702226e+01              1             53              2              5   1.688761e+01   1.797325e-01   8.735831e-01
         20500   5.159056e-01   3.801521e+01              1             53              2              5   1.723266e+01   1.806536e-01   8.969947e-01
         21000   5.241153e-01   3.901174e+01              3             53              2              4   1.686365e+01   1.779160e-01   8.858930e-01
         21500   5.211818e-01   4.000577e+01              1             50              2              4   1.727421e+01   1.714409e-01   8.876672e-01
         22000   5.466722e-01   4.100206e+01              1             52              0              4   1.688679e+01   1.874954e-01   8.660363e-01
         22500   5.649019e-01   4.347606e+01              1             51              0              5   1.729875e+01   1.940514e-01   8.713340e-01
         23000   5.634775e-01   4.446863e+01              2             51              0              6   1.708123e+01   1.976091e-01   8.714854e-01
         23500   5.580788e-01   4.380868e+01              1             52              1              5   1.702220e+01   2.055013e-01   8.808105e-01
         24000   5.621989e-01   4.642794e+01              1             52              1              6   1.704444e+01   2.180038e-01   8.844167e-01
         24500   5.558604e-01   4.742398e+01              2             55              0              4   1.690033e+01   2.078798e-01   8.756234e-01
         25000   5.452632e-01   4.839874e+01              3             52              0              5   1.685468e+01   1.861833e-01   8.865687e-01
         25500   5.670831e-01   4.939179e+01              1             52              0              4   1.697801e+01   1.900616e-01   8.906024e-01
         26000   5.379437e-01   4.845200e+01              1             52              0              5   1.682576e+01   2.163261e-01   8.927337e-01
         26500   5.507221e-01   4.943982e+01              1             51              0              4   1.699958e+01   2.074182e-01   8.847870e-01
         27000   5.432769e-01   5.041620e+01              1             51              1              4   1.681154e+01   2.196473e-01   8.725932e-01
         27500   5.646763e-01   5.317393e+01              2             50              0              3   1.700960e+01   2.234188e-01   8.768931e-01
         28000   5.758422e-01   5.417323e+01              2             50              0              5   1.700387e+01   1.976899e-01   8.997302e-01
         28500   6.109645e-01   4.508736e+01              1             46              0              5   1.705473e+01   2.003878e-01   8.958055e-01
         29000   5.941482e-01   5.607320e+01              2             52              1              4   1.725502e+01   1.952181e-01   8.916588e-01
         29500   6.101028e-01   4.701715e+01              1             48              0              4   1.714507e+01   1.744981e-01   9.064441e-01
         30000   6.059440e-01   4.800455e+01              2             46              0              4   1.697832e+01   1.927137e-01   8.945271e-01
         30500   6.048365e-01   5.878680e+01              2             48              0              4   1.689847e+01   1.772023e-01   8.796141e-01
         31000   5.587153e-01   5.977468e+01              1             49              0              3   1.694731e+01   1.771849e-01   8.819790e-01
         31500   5.804843e-01   6.076902e+01              4             49              0              5   1.722627e+01   1.701781e-01   8.832347e-01
         32000   6.058597e-01   5.171413e+01              2             47              0              4   1.670155e+01   1.627577e-01   8.797271e-01
         32500   5.972896e-01   5.270387e+01              0             47              0              4   1.680969e+01   1.605583e-01   8.860650e-01
         33000   5.827706e-01   6.360286e+01              0             48              0              4   1.687298e+01   1.678162e-01   8.850866e-01
         33500   5.808175e-01   6.459801e+01              1             50              0              5   1.664868e+01   1.517949e-01   8.782860e-01
         34000   5.690827e-01   6.559342e+01              2             51              0              6   1.683727e+01   1.689699e-01   8.797704e-01
