         r_bin          count          force            pmf
      0.675000            637   9.725441e+02   3.981054e+01
      0.725000          21216   5.813535e+02   1.074287e+01
      0.775000          32384   2.032705e+02   5.793430e-01
      0.825000          25734   1.158686e+01   0.000000e+00
      0.875000           6073  -2.889880e+02   1.444940e+01
      0.925000           5035  -7.884840e+02   5.387360e+01
      0.975000          12335  -5.181261e+02   7.977991e+01
      1.025000          25862  -3.874412e+02   9.915197e+01
      1.075000          32738  -4.615992e+02   1.222319e+02
      1.125000          12554  -6.652628e+02   1.554951e+02
      1.175000           2981  -6.177555e+02   1.863828e+02
      1.225000          21927  -1.640828e+02   1.945870e+02
      1.275000          31536  -2.521982e+02   2.071969e+02
      1.325000          22251  -3.445004e+02   2.244219e+02
      1.375000          12193  -4.053432e+02   2.446891e+02
      1.425000          17040  -5.089471e+02   2.701364e+02
      1.475000          13860  -6.348868e+02   3.018808e+02
      1.525000           6787  -6.551293e+02   3.346372e+02
      1.575000           5227  -5.387313e+02   3.615738e+02
      1.625000           5616  -4.002547e+02   3.815865e+02
      1.675000           1806  -1.899364e+02   3.910834e+02
      1.725000           7970  -1.986778e+02   4.010173e+02
      1.775000           5613  -2.138613e+02   4.117103e+02
      1.825000           2480  -2.336585e+02   4.233932e+02
      1.875000           7461  -1.332624e+02   4.300564e+02
      1.925000           8157  -1.675099e+02   4.384319e+02
      1.975000           3735  -1.408781e+02   4.454758e+02
      2.025000           7785  -5.275838e+01   4.481137e+02
      2.075000          11216  -1.625984e+02   4.562436e+02
      2.125000           5852  -2.030862e+01   4.572590e+02
      2.175000          13583  -4.496269e+01   4.595072e+02
      2.225000          11468  -6.748357e+01   4.628813e+02
      2.275000           7181  -7.279625e+01   4.665212e+02
      2.325000           9674  -7.842850e+01   4.704426e+02
      2.375000           5926  -1.069335e+02   4.757893e+02
      2.425000           7213  -9.892572e+01   4.807355e+02
      2.475000           4026  -5.524748e+01   4.834979e+02
      2.525000          10114  -4.854059e+01   4.859250e+02
      2.575000           5217  -6.521748e+01   4.891858e+02
      2.625000           3916  -4.788514e+01   4.915801e+02
      2.675000           5654  -1.047329e+02   4.968167e+02
      2.725000           2706  -5.695669e+01   4.996646e+02
      2.775000           5953   3.375786e+00   4.994958e+02
      2.825000          14262  -1.059533e+02   5.047934e+02
      2.875000           6115  -2.484418e+02   5.172155e+02
      2.925000            131  -4.669979e+02   5.405654e+02
