          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   8.482989e-01   0.000000e+00              3             61              2              7   1.765624e+01   0.000000e+00   9.851472e-01
           500   8.605972e-01   9.748077e-01              2             57              2              7   1.762533e+01   7.101712e-02   9.899215e-01
          1000   8.293747e-01   1.902445e+00              3             62              3              8   1.747121e+01   8.308668e-02   1.006951e+00
          1500   8.470198e-01   2.866542e+00              2             59              2              6   1.794075e+01   7.887071e-02   1.012629e+00
          2000   8.478008e-01   3.801767e+00              2             60              2              7   1.768480e+01   8.301685e-02   1.001227e+00
          2500   8.530466e-01   4.803007e+00              2             61              2              8   1.805826e+01   7.488603e-02   1.012978e+00
          3000   8.371021e-01   5.694264e+00              2             61              2              8   1.772859e+01   8.340505e-02   9.976673e-01
          3500   8.665941e-01   6.746190e+00              2             61              2              9   1.764887e+01   8.712853e-02   9.907576e-01
          4000   8.445148e-01   7.581567e+00              2             64              2              7   1.763657e+01   1.007412e-01   1.006942e+00
          4500   8.358774e-01   8.524216e+00              2             62              2              6   1.761861e+01   1.013373e-01   9.907315e-01
          5000   8.503236e-01   9.597846e+00              2             59              2              8   1.782237e+01   1.078386e-01   9.925174e-01
          5500   8.307973e-01   1.050795e+01              2             62              2              7   1.785282e+01   1.068978e-01   9.690051e-01
          6000   8.396451e-01   1.148877e+01              2             63              2              9   1.783100e+01   1.140369e-01   9.965172e-01
          6500   8.476265e-01   1.247685e+01              2             63              2              9   1.802606e+01   1.071646e-01   9.961240e-01
          7000   8.312411e-01   1.345364e+01              2             60              2              9   1.802184e+01   1.172248e-01   1.001660e+00
          7500   8.241180e-01   1.444885e+01              2             61              2             10   1.793259e+01   1.196747e-01   9.830676e-01
          8000   8.430268e-01   1.543391e+01              3             61              2              9   1.784665e+01   1.112252e-01   1.001456e+00
          8500   8.434190e-01   1.641204e+01              2             62              2              9   1.792352e+01   1.172499e-01   9.956857e-01
          9000   8.601389e-01   1.689863e+01              2             61              2              6   1.804391e+01   1.253956e-01   1.002918e+00
          9500   8.640369e-01   1.787914e+01              2             63              2              8   1.803352e+01   1.246862e-01   1.007666e+00
         10000   8.512683e-01   1.885854e+01              2             61              2              7   1.770767e+01   1.325327e-01   9.740969e-01
         10500   8.366151e-01   2.024603e+01              2             59              2              8   1.766593e+01   1.319652e-01   9.881513e-01
         11000   8.242338e-01   2.123796e+01              3             62              2              5   1.782053e+01   1.640386e-01   9.973858e-01
         11500   8.344274e-01   2.222946e+01              4             60              2              8   1.768486e+01   1.600807e-01   9.861662e-01
         12000   8.338590e-01   2.322472e+01              2             60              2              6   1.778539e+01   1.547794e-01   9.866816e-01
         12500   8.356097e-01   2.420701e+01              2             57              2              8   1.785700e+01   1.539690e-01   9.925107e-01
         13000   8.377498e-01   2.520047e+01              4             59              2              7   1.785213e+01   1.605939e-01   9.910552e-01
         13500   8.285494e-01   2.619431e+01              3             61              2              9   1.781628e+01   1.618491e-01   9.907062e-01
         14000   8.115299e-01   2.718046e+01              4             60              2              8   1.787253e+01   1.632053e-01   9.813840e-01
         14500   8.222495e-01   2.817754e+01              4             61              2              7   1.801959e+01   1.624364e-01   1.009111e+00
         15000   8.087861e-01   2.917232e+01              4             63              2              8   1.766496e+01   1.552146e-01   9.842588e-01
         15500   8.058130e-01   3.016281e+01              3             60              2              6   1.776141e+01   1.703292e-01   9.827317e-01
         16000   8.044692e-01   2.614401e+01              4             59              2             11   1.792057e+01   1.698765e-01   9.809038e-01
         16500   8.157523e-01   3.211966e+01              4             60              2             10   1.788029e+01   1.576605e-01   9.702422e-01
         17000   8.141114e-01   3.307177e+01              4             61              2              7   1.780557e+01   1.635161e-01   9.582567e-01
         17500   8.111673e-01   3.406880e+01              4             61              2              9   1.759000e+01   1.550455e-01   9.791755e-01
         18000   8.271348e-01   3.506077e+01              4             60              2             10   1.769159e+01   1.527225e-01   9.777142e-01
         18500   8.173002e-01   3.605381e+01              5             62              2             10   1.769798e+01   1.443159e-01   9.762163e-01
         19000   8.416122e-01   3.704614e+01              4             61              2              9   1.781185e+01   1.557237e-01   9.899267e-01
         19500   8.214431e-01   3.802284e+01              2             63              2              8   1.774436e+01   1.585173e-01   9.944420e-01
         20000   8.142176e-01   3.901097e+01              3             63              2              8   1.766122e+01   1.341129e-01   9.903927e-01
         20500   8.278264e-01   3.999016e+01              4             60              2             10   1.751925e+01   1.408666e-01   9.968932e-01
         21000   8.310814e-01   4.098243e+01              3             60              2              7   1.780531e+01   1.446969e-01   9.963693e-01
         21500   8.179580e-01   4.197303e+01              4             61              2             11   1.748065e+01   1.397364e-01   9.890323e-01
         22000   8.203147e-01   4.296612e+01              4             59              2             10   1.752031e+01   1.766979e-01   9.814244e-01
         22500   8.173632e-01   4.395209e+01              3             64              2             11   1.742706e+01   1.648070e-01   9.832410e-01
         23000   8.238754e-01   4.494731e+01              4             64              2             11   1.721404e+01   1.578766e-01   9.706765e-01
         23500   8.278584e-01   4.593687e+01              3             61              2              8   1.752491e+01   1.691084e-01   9.695370e-01
         24000   8.263361e-01   4.692987e+01              4             63              2              9   1.751056e+01   1.534453e-01   9.752710e-01
