         r_bin          count          force            pmf
      0.225000            137   1.813809e+03   2.255146e+02
      0.275000          17939   1.538290e+03   1.486001e+02
      0.325000          75707   1.201411e+03   8.852957e+01
      0.375000          26525   1.045926e+03   3.623328e+01
      0.425000          27910   6.234792e+02   5.059318e+00
      0.475000          60752   1.011864e+02   0.000000e+00
      0.525000          23633  -3.107318e+02   1.553659e+01
      0.575000          22716  -6.549122e+02   4.828220e+01
      0.625000          68092  -8.782530e+02   9.219485e+01
      0.675000          17396  -1.235387e+03   1.539642e+02
      0.725000          23320  -1.391668e+03   2.235476e+02
      0.775000          16493  -1.315118e+03   2.893035e+02
      0.825000          12502  -1.057403e+03   3.421737e+02
      0.875000           7604  -8.244960e+02   3.833985e+02
      0.925000           9742  -5.824048e+02   4.125187e+02
      0.975000           7752  -4.849278e+02   4.367651e+02
      1.025000          12241  -3.423593e+02   4.538831e+02
      1.075000           8644  -3.959844e+02   4.736823e+02
      1.125000           6043  -3.079584e+02   4.890802e+02
      1.175000          11573  -3.106883e+02   5.046146e+02
      1.225000          11997  -3.451510e+02   5.218722e+02
      1.275000           7283  -3.716458e+02   5.404545e+02
      1.325000          11185  -2.547559e+02   5.531923e+02
      1.375000          20879  -3.548077e+02   5.709326e+02
      1.425000          10354  -4.119862e+02   5.915319e+02
      1.475000          13961  -5.401253e+02   6.185382e+02
      1.525000           8696  -5.439305e+02   6.457347e+02
      1.575000           4548  -4.275067e+02   6.671101e+02
      1.625000          10754  -3.869758e+02   6.864589e+02
      1.675000           6115  -3.743198e+02   7.051748e+02
      1.725000           1380  -3.029097e+02   7.203203e+02
      1.775000           3050  -2.470637e+02   7.326735e+02
      1.825000          10537  -6.005997e+01   7.356765e+02
      1.875000          12028  -7.288484e+01   7.393208e+02
      1.925000           7827  -5.443487e+01   7.420425e+02
      1.975000          12812  -5.543568e+01   7.448143e+02
      2.025000           9023  -6.481072e+01   7.480548e+02
      2.075000           5107  -7.239843e+01   7.516747e+02
      2.125000           8623  -7.103208e+01   7.552263e+02
      2.175000           6971  -1.484424e+02   7.626485e+02
      2.225000           8129  -5.159451e+01   7.652282e+02
      2.275000           5754  -3.313262e+01   7.668848e+02
      2.325000           6842  -2.651929e+01   7.682108e+02
      2.375000           8836   1.494951e+01   7.674633e+02
      2.425000           5921  -3.762267e+01   7.693444e+02
      2.475000           7694  -6.430529e+01   7.725597e+02
      2.525000           7968  -1.542719e+02   7.802733e+02
      2.575000           3020  -2.138641e+02   7.909665e+02
      2.625000             85  -4.834210e+02   8.151376e+02
