          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.800093e-01   0.000000e+00              4             57              0             10   1.303193e+01   0.000000e+00   7.808498e-01
           500   4.826116e-01   9.929734e-01              5             55              0              8   1.321214e+01   6.101758e-02   7.866251e-01
          1000   4.744622e-01   1.985596e+00              4             58              0              8   1.316145e+01   6.787277e-02   7.920177e-01
          1500   4.957392e-01   2.747175e+00              4             57              0             10   1.332855e+01   8.319112e-02   8.003402e-01
          2000   5.000915e-01   3.697898e+00              4             57              0              8   1.324079e+01   9.045947e-02   8.084411e-01
          2500   4.829073e-01   4.909873e+00              4             57              0              8   1.329707e+01   9.738829e-02   8.135609e-01
          3000   4.976691e-01   5.885998e+00              4             56              0              8   1.340064e+01   9.766547e-02   8.079198e-01
          3500   4.915527e-01   6.867493e+00              4             56              0              7   1.345810e+01   1.088061e-01   8.344600e-01
          4000   4.774371e-01   7.847321e+00              4             57              0              8   1.328646e+01   9.105058e-02   8.087221e-01
          4500   4.929546e-01   8.827038e+00              4             57              0              9   1.332536e+01   8.915373e-02   8.166610e-01
          5000   4.983415e-01   9.803375e+00              4             56              0             10   1.334316e+01   1.035570e-01   8.343810e-01
          5500   4.997568e-01   1.076300e+01              4             56              0             10   1.330513e+01   1.018454e-01   8.217577e-01
          6000   4.987894e-01   1.174849e+01              4             57              0              8   1.323051e+01   9.487995e-02   8.090691e-01
          6500   4.964628e-01   1.272930e+01              4             55              0             11   1.338173e+01   8.910250e-02   8.163935e-01
          7000   5.111095e-01   1.318773e+01              4             56              0              8   1.329785e+01   1.006069e-01   8.259269e-01
          7500   5.032920e-01   1.416098e+01              4             56              0             10   1.337096e+01   9.565557e-02   8.159675e-01
          8000   5.012422e-01   1.513312e+01              4             56              0             11   1.372595e+01   1.087134e-01   8.219902e-01
          8500   5.219583e-01   1.610747e+01              4             55              0              9   1.339558e+01   1.127641e-01   8.298364e-01
          9000   4.992339e-01   1.750352e+01              4             57              0             10   1.342146e+01   1.211543e-01   8.261100e-01
          9500   5.120701e-01   1.808105e+01              4             56              0              8   1.333620e+01   1.199768e-01   8.201795e-01
         10000   5.111034e-01   1.907393e+01              4             56              0             10   1.353464e+01   1.265926e-01   8.318074e-01
         10500   5.117467e-01   2.006713e+01              4             55              0             10   1.364850e+01   1.180613e-01   8.346191e-01
         11000   5.012128e-01   2.103951e+01              4             57              0              9   1.344394e+01   1.062479e-01   8.259166e-01
         11500   5.016319e-01   2.216174e+01              4             58              0             11   1.345311e+01   1.016051e-01   8.205706e-01
         12000   4.888345e-01   2.314560e+01              4             57              0             10   1.353138e+01   9.885278e-02   8.073043e-01
         12500   4.931784e-01   2.413896e+01              4             57              0             10   1.366245e+01   9.394524e-02   8.067826e-01
         13000   5.101030e-01   2.478414e+01              4             56              0             10   1.332137e+01   1.022205e-01   8.076981e-01
         13500   5.117545e-01   2.576960e+01              4             55              0              7   1.329870e+01   9.742406e-02   8.094482e-01
         14000   4.915690e-01   2.704029e+01              4             56              0              8   1.343400e+01   1.099371e-01   8.228607e-01
         14500   4.879654e-01   2.802557e+01              4             57              0             10   1.340940e+01   9.308700e-02   8.107441e-01
         15000   4.973789e-01   2.860096e+01              4             57              0              8   1.319699e+01   1.118875e-01   8.140004e-01
         15500   5.172189e-01   2.955866e+01              4             56              0              9   1.327066e+01   1.097188e-01   8.242407e-01
         16000   4.919967e-01   3.092509e+01              4             56              0             10   1.320417e+01   9.656812e-02   8.035837e-01
         16500   5.201317e-01   3.149281e+01              4             54              0              9   1.349020e+01   1.069973e-01   8.130013e-01
         17000   4.999090e-01   3.245192e+01              4             56              0             11   1.337658e+01   1.200389e-01   8.113473e-01
         17500   4.977141e-01   3.375437e+01              4             55              0             10   1.331355e+01   1.249168e-01   8.158667e-01
         18000   4.922554e-01   3.435540e+01              4             55              0             10   1.330467e+01   1.279999e-01   8.108562e-01
         18500   4.937362e-01   3.572329e+01              4             58              0             11   1.322067e+01   1.012444e-01   8.013910e-01
         19000   4.972661e-01   3.671237e+01              4             55              0             10   1.319036e+01   1.095188e-01   8.086039e-01
         19500   4.779845e-01   3.770864e+01              4             56              0             10   1.336369e+01   1.017835e-01   8.071845e-01
         20000   4.683085e-01   3.870204e+01              4             56              0              9   1.325083e+01   1.049795e-01   8.056862e-01
         20500   4.565436e-01   3.182566e+01              4             57              0             11   1.297424e+01   8.844543e-02   7.803306e-01
         21000   4.708448e-01   4.068360e+01              4             55              0              8   1.318298e+01   9.934019e-02   8.060813e-01
         21500   4.510089e-01   3.368220e+01              4             56              0             11   1.300681e+01   1.224018e-01   7.824182e-01
         22000   4.639448e-01   4.264367e+01              4             56              0             10   1.302004e+01   1.321591e-01   7.910265e-01
         22500   4.660791e-01   4.362234e+01              4             55              0             12   1.316987e+01   1.284670e-01   7.907626e-01
         23000   4.879887e-01   4.461956e+01              4             55              0              9   1.323704e+01   9.720491e-02   8.033103e-01
         23500   4.811699e-01   4.561537e+01              4             57              0             11   1.320694e+01   1.107347e-01   8.207386e-01
         24000   4.740346e-01   4.661076e+01              4             57              0              8   1.325556e+01   1.066582e-01   8.121359e-01
         24500   4.742717e-01   4.760732e+01              4             56              0             10   1.328258e+01   1.053975e-01   8.042153e-01
         25000   4.639454e-01   4.860062e+01              4             57              0             10   1.311885e+01   1.259713e-01   8.054724e-01
         25500   4.823968e-01   4.959343e+01              4             57              0             10   1.312099e+01   1.023960e-01   8.069601e-01
         26000   4.969718e-01   5.057929e+01              4             57              0              8   1.327160e+01   1.210511e-01   8.213576e-01
         26500   4.830704e-01   5.155838e+01              4             57              0              7   1.326227e+01   1.065455e-01   8.120581e-01
         27000   4.728962e-01   5.255581e+01              4             57              0              8   1.329762e+01   1.063383e-01   8.084717e-01
         27500   4.774427e-01   5.353820e+01              4             58              0             11   1.313687e+01   1.063852e-01   8.065534e-01
         28000   4.932027e-01   5.451820e+01              4             56              0             12   1.334787e+01   1.034600e-01   8.214492e-01
         28500   4.898713e-01   5.288819e+01              4             56              0             11   1.340407e+01   1.017687e-01   8.215618e-01
         29000   4.839036e-01   5.649227e+01              4             57              0              9   1.348037e+01   8.219805e-02   8.214312e-01
         29500   4.693739e-01   5.748979e+01              4             57              0             12   1.337864e+01   9.543550e-02   8.070115e-01
         30000   4.928530e-01   5.848413e+01              4             57              0             11   1.315300e+01   1.008973e-01   8.138708e-01
         30500   4.872707e-01   5.946520e+01              4             58              0             13   1.347290e+01   9.869283e-02   8.168486e-01
         31000   4.837225e-01   6.045027e+01              4             58              0             10   1.351623e+01   1.004252e-01   8.151110e-01
         31500   4.896198e-01   6.142152e+01              4             58              0             12   1.330320e+01   9.610668e-02   8.176720e-01
         32000   4.746824e-01   6.239581e+01              4             58              0             10   1.331678e+01   9.268408e-02   8.018251e-01
         32500   4.677101e-01   6.338096e+01              4             58              0             10   1.340136e+01   1.003528e-01   8.124547e-01
         33000   4.915449e-01   6.437426e+01              4             57              0             11   1.316016e+01   1.036016e-01   8.119727e-01
         33500   4.873827e-01   6.537120e+01              4             58              0             10   1.332604e+01   9.457427e-02   8.065100e-01
         34000   4.740223e-01   6.636882e+01              4             57              0             10   1.327617e+01   1.072407e-01   7.986475e-01
         34500   4.649323e-01   6.735607e+01              4             58              0             11   1.327606e+01   1.060498e-01   7.940661e-01
         35000   4.711874e-01   6.832541e+01              4             55              0             11   1.309837e+01   9.821811e-02   8.005983e-01
         35500   4.643906e-01   6.931002e+01              4             57              0             11   1.307059e+01   8.328133e-02   7.898537e-01
         36000   4.718008e-01   7.030739e+01              4             59              0              9   1.332036e+01   9.063860e-02   8.059525e-01
         36500   4.689447e-01   7.130075e+01              3             59              0              7   1.335886e+01   9.890928e-02   8.025875e-01
         37000   4.762414e-01   7.229291e+01              5             58              0              9   1.327630e+01   7.758177e-02   7.961051e-01
         37500   4.731084e-01   7.327935e+01              4             60              0             13   1.325839e+01   8.429585e-02   8.000737e-01
         38000   4.734393e-01   7.427565e+01              4             56              0             10   1.301981e+01   9.695306e-02   8.021714e-01
         38500   4.689640e-01   7.527136e+01              5             57              0             12   1.313807e+01   8.655394e-02   8.052954e-01
         39000   4.652575e-01   7.626645e+01              4             59              0              8   1.307949e+01   1.030988e-01   7.981113e-01
         39500   4.645947e-01   7.725979e+01              4             59              0              9   1.303926e+01   1.045029e-01   8.049291e-01
         40000   4.748165e-01   7.824271e+01              4             59              0             10   1.308851e+01   1.264236e-01   8.096567e-01
         40500   4.702207e-01   7.924042e+01              4             61              0             11   1.316165e+01   1.284034e-01   8.073143e-01
