         r_bin          count          force            pmf
      0.275000           4586   1.176364e+03   1.011175e+02
      0.325000          51395   9.130722e+02   5.546393e+01
      0.375000          34501   6.464581e+02   2.314103e+01
      0.425000          36949   4.628206e+02   0.000000e+00
      0.475000          34973  -4.239198e+01   2.119599e+00
      0.525000          28733  -3.982285e+02   2.203102e+01
      0.575000          24256  -4.788758e+02   4.597481e+01
      0.625000          22516  -4.899958e+02   7.047460e+01
      0.675000          31272  -7.083463e+02   1.058919e+02
      0.725000          17618  -1.054291e+03   1.586065e+02
      0.775000          11018  -1.023947e+03   2.098038e+02
      0.825000           9588  -7.392179e+02   2.467647e+02
      0.875000          15962  -6.327137e+02   2.784004e+02
      0.925000          10950  -5.182661e+02   3.043137e+02
      0.975000          11896  -3.868614e+02   3.236568e+02
      1.025000          21453  -2.036092e+02   3.338372e+02
      1.075000          26574  -3.318630e+02   3.504304e+02
      1.125000          10490  -4.064048e+02   3.707506e+02
      1.175000          23695  -2.800424e+02   3.847528e+02
      1.225000          25537  -2.269022e+02   3.960979e+02
      1.275000          26561  -2.613804e+02   4.091669e+02
      1.325000          19691  -2.088874e+02   4.196112e+02
      1.375000          15933  -2.043405e+02   4.298283e+02
      1.425000          22653  -2.491892e+02   4.422877e+02
      1.475000          27427  -3.573002e+02   4.601527e+02
      1.525000           3515  -4.634267e+02   4.833241e+02
      1.575000           2390  -6.763184e+02   5.171400e+02
      1.625000           8285  -3.759138e+02   5.359357e+02
      1.675000          22608  -3.457055e+02   5.532210e+02
      1.725000           5370  -4.002901e+02   5.732355e+02
      1.775000            925  -4.119160e+02   5.938313e+02
      1.825000           7218  -2.381555e+02   6.057390e+02
      1.875000           8510  -2.925705e+02   6.203676e+02
      1.925000           9871  -2.387930e+02   6.323072e+02
      1.975000           6130  -2.937094e+02   6.469927e+02
      2.025000           6554  -2.977023e+02   6.618778e+02
      2.075000           4214  -2.308605e+02   6.734208e+02
      2.125000           5664  -2.424097e+02   6.855413e+02
      2.175000           4035  -2.263930e+02   6.968610e+02
      2.225000           3262  -1.724968e+02   7.054858e+02
      2.275000           7685  -1.043273e+02   7.107022e+02
      2.325000          10863  -7.748265e+01   7.145763e+02
      2.375000          11752  -1.678827e+02   7.229704e+02
      2.425000           7493  -2.219529e+02   7.340681e+02
      2.475000           4706  -1.706032e+02   7.425982e+02
      2.525000           5948  -1.812344e+02   7.516600e+02
      2.575000           3978  -3.360083e+02   7.684604e+02
      2.625000            397  -3.591241e+02   7.864166e+02
