          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.650204e-01   0.000000e+00              3             95              1             13   2.268221e+01   0.000000e+00   9.588490e-01
           500   4.745159e-01   9.973800e-01              2             90              1             15   2.363131e+01   8.346097e-02   9.832940e-01
          1000   4.761688e-01   1.992504e+00              3             90              1             12   2.345298e+01   9.235165e-02   9.675571e-01
          1500   4.775377e-01   2.988243e+00              1             89              1             12   2.297810e+01   9.898587e-02   9.707071e-01
          2000   4.696865e-01   3.986442e+00              3             89              1             13   2.319868e+01   9.379669e-02   9.787069e-01
          2500   4.893269e-01   4.979496e+00              1             87              1             14   2.303823e+01   9.106410e-02   9.718171e-01
          3000   4.949440e-01   5.959310e+00              3             92              1             13   2.374232e+01   1.087522e-01   9.883946e-01
          3500   4.953667e-01   6.917902e+00              4             91              1             10   2.330247e+01   1.164705e-01   9.856786e-01
          4000   4.704370e-01   7.906993e+00              4             91              1             13   2.340899e+01   1.143850e-01   9.774717e-01
          4500   4.840459e-01   8.901213e+00              2             90              1             14   2.328667e+01   1.017810e-01   9.710310e-01
          5000   4.847987e-01   9.896678e+00              2             91              1             12   2.359361e+01   1.196353e-01   9.854450e-01
          5500   5.069853e-01   1.000634e+01              2             91              1             13   2.369802e+01   1.337039e-01   9.904541e-01
          6000   4.970402e-01   1.096965e+01              3             92              1             11   2.342418e+01   1.279233e-01   9.838928e-01
          6500   4.919793e-01   1.191319e+01              3             97              1             17   2.345143e+01   1.270628e-01   9.840817e-01
          7000   4.849844e-01   1.380991e+01              1             92              1             12   2.320781e+01   1.266263e-01   9.724423e-01
          7500   5.117711e-01   1.379978e+01              3             93              1             14   2.341967e+01   1.214662e-01   9.832856e-01
          8000   5.071190e-01   1.477749e+01              1             94              1             16   2.329794e+01   1.238336e-01   9.812350e-01
          8500   4.819248e-01   1.669059e+01              3             99              1             16   2.316659e+01   1.395851e-01   9.960677e-01
          9000   4.820482e-01   1.768335e+01              3             97              1             17   2.314267e+01   1.292253e-01   9.856898e-01
