         r_bin          count          force            pmf
      0.175000            153   1.087671e+03   2.964443e+01
      0.225000          15138   5.019500e+02   4.546934e+00
      0.275000          43143   9.093869e+01   0.000000e+00
      0.325000          18922  -1.818661e+02   9.093303e+00
      0.375000           3039  -8.061251e+02   4.939956e+01
      0.425000           3776  -7.479070e+02   8.679491e+01
      0.475000           4627  -4.492304e+02   1.092564e+02
      0.525000           8648  -3.373968e+02   1.261263e+02
      0.575000           2426  -3.045941e+02   1.413560e+02
      0.625000           2813  -1.764040e+02   1.501762e+02
      0.675000           4594  -1.539010e+02   1.578712e+02
      0.725000           6626  -1.426480e+02   1.650036e+02
      0.775000           3788  -1.846332e+02   1.742353e+02
      0.825000           5282  -1.810536e+02   1.832880e+02
      0.875000           3904  -1.805128e+02   1.923136e+02
      0.925000           7729  -1.798495e+02   2.013061e+02
      0.975000           5884  -2.199777e+02   2.123050e+02
      1.025000           2824  -2.453537e+02   2.245727e+02
      1.075000           2445  -1.730199e+02   2.332236e+02
      1.125000           3520  -1.495051e+02   2.406989e+02
      1.175000           3542  -1.567184e+02   2.485348e+02
      1.225000           5587  -7.064630e+01   2.520671e+02
      1.275000           9044  -1.433334e+02   2.592338e+02
      1.325000           3439  -2.306765e+02   2.707676e+02
      1.375000           4795  -1.685143e+02   2.791933e+02
      1.425000           6797  -2.082161e+02   2.896042e+02
      1.475000           4237  -2.137824e+02   3.002933e+02
      1.525000           5353  -1.478746e+02   3.076870e+02
      1.575000           6567  -1.826567e+02   3.168198e+02
      1.625000           5855  -2.102092e+02   3.273303e+02
      1.675000           2920  -2.303459e+02   3.388476e+02
      1.725000           5297  -1.377956e+02   3.457374e+02
      1.775000           6216  -1.882203e+02   3.551484e+02
      1.825000           4518  -1.851739e+02   3.644071e+02
      1.875000           2940  -1.984828e+02   3.743312e+02
      1.925000           5942  -4.682680e+01   3.766726e+02
      1.975000          12904  -1.028200e+02   3.818136e+02
      2.025000           7086  -1.729584e+02   3.904615e+02
      2.075000           2895  -4.283667e+01   3.926033e+02
      2.125000           8733  -3.418320e+01   3.943125e+02
      2.175000           6296  -8.966210e+01   3.987956e+02
      2.225000           5007  -4.460063e+01   4.010256e+02
      2.275000           8673  -6.954816e+01   4.045030e+02
      2.325000          14548  -1.382570e+02   4.114159e+02
      2.375000          10891  -2.650511e+02   4.246684e+02
      2.425000           3837  -4.090067e+02   4.451188e+02
