          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   2.821622e-01   0.000000e+00              3             30              0              4   8.001349e+00   0.000000e+00   5.699941e-01
           500   2.934348e-01   9.805942e-01              3             30              0              6   8.153596e+00   5.452145e-02   5.872106e-01
          1000   3.034950e-01   1.945245e+00              3             32              0              6   8.068873e+00   5.147171e-02   5.805425e-01
          1500   2.979272e-01   2.907935e+00              3             32              0              5   8.073164e+00   5.209278e-02   5.807055e-01
          2000   2.945301e-01   3.867167e+00              3             32              0              4   7.981704e+00   5.413472e-02   5.641788e-01
          2500   3.065860e-01   4.823203e+00              4             30              0              5   7.795435e+00   7.439764e-02   5.410286e-01
          3000   3.082207e-01   5.776813e+00              3             29              0              3   7.965816e+00   6.871858e-02   5.524199e-01
          3500   2.675762e-01   6.781744e+00              3             29              0              4   7.939033e+00   4.925653e-02   5.555390e-01
          4000   2.777814e-01   7.779800e+00              3             31              0              6   7.955497e+00   5.789041e-02   5.594781e-01
          4500   2.800748e-01   8.772367e+00              3             32              0              7   8.056072e+00   5.786912e-02   5.719353e-01
          5000   2.784399e-01   9.764677e+00              4             32              0              7   8.066081e+00   5.867032e-02   5.829954e-01
          5500   3.411043e-01   7.752297e+00              2             31              0              3   8.073223e+00   4.749132e-02   5.764604e-01
          6000   3.234351e-01   1.126365e+01              3             29              0              5   8.222017e+00   6.667834e-02   5.874000e-01
          6500   3.373020e-01   1.223434e+01              3             29              0              4   8.041665e+00   4.704184e-02   5.744637e-01
          7000   3.432020e-01   1.322501e+01              2             29              0              3   8.073049e+00   5.507301e-02   5.883923e-01
          7500   3.478289e-01   1.419863e+01              1             31              0              4   8.126087e+00   6.236840e-02   5.775396e-01
          8000   3.289253e-01   1.518636e+01              3             30              0              2   8.075338e+00   5.524750e-02   5.747172e-01
          8500   3.227156e-01   1.616738e+01              1             31              0              3   8.083826e+00   6.809831e-02   5.768258e-01
          9000   3.352702e-01   1.716414e+01              3             28              0              3   8.230063e+00   8.480771e-02   5.806735e-01
          9500   3.250350e-01   1.813734e+01              2             31              0              2   8.058006e+00   9.724553e-02   5.664656e-01
         10000   3.490235e-01   1.592989e+01              2             27              0              2   8.080607e+00   6.914088e-02   5.663448e-01
         10500   3.664297e-01   1.688403e+01              3             27              0              2   8.157063e+00   7.721031e-02   5.773401e-01
         11000   3.321271e-01   2.106779e+01              3             29              0              3   7.989299e+00   7.926489e-02   5.711841e-01
         11500   3.122982e-01   2.205656e+01              3             28              0              3   7.955899e+00   9.264454e-02   5.518711e-01
         12000   3.068028e-01   2.304155e+01              3             29              0              3   8.043583e+00   7.264349e-02   5.701750e-01
