         r_bin          count          force            pmf
      0.575000           2780   2.052613e+02   0.000000e+00
      0.625000          12777  -7.158436e+00   3.579218e-01
      0.675000           4760  -1.498521e+02   7.850529e+00
      0.725000          14116  -1.854049e+02   1.712077e+01
      0.775000           6549  -2.985191e+02   3.204673e+01
      0.825000           4543  -3.845719e+02   5.127533e+01
      0.875000           6407  -2.929497e+02   6.592281e+01
      0.925000           3798  -2.718092e+02   7.951327e+01
      0.975000          15729  -8.215013e+01   8.362078e+01
      1.025000          18514   2.336646e+01   8.245245e+01
      1.075000          15165  -1.380167e+00   8.252146e+01
      1.125000          12043  -3.770654e+01   8.440679e+01
      1.175000          12976  -7.071133e+01   8.794236e+01
      1.225000          14440  -5.252703e+01   9.056871e+01
      1.275000          17233  -5.570952e+01   9.335418e+01
      1.325000          12512  -3.907107e+01   9.530774e+01
      1.375000          15367  -3.491757e+00   9.548233e+01
      1.425000          16238  -7.935563e+01   9.945011e+01
      1.475000          11478  -9.804175e+01   1.043522e+02
      1.525000          13278  -1.223679e+02   1.104706e+02
      1.575000          10012  -2.070263e+02   1.208219e+02
      1.625000           9730  -1.536459e+02   1.285042e+02
      1.675000          11632  -1.814329e+02   1.375759e+02
      1.725000           9583  -1.360107e+02   1.443764e+02
      1.775000          18906  -1.035099e+02   1.495519e+02
      1.825000          18873  -1.401364e+02   1.565587e+02
      1.875000          10929  -2.210039e+02   1.676089e+02
      1.925000           8761  -1.386485e+02   1.745413e+02
      1.975000          14865  -1.794743e+02   1.835150e+02
      2.025000          10227  -9.311818e+01   1.881709e+02
      2.075000           4717  -8.497765e+01   1.924198e+02
      2.125000          20311  -1.381261e+02   1.993261e+02
      2.175000           9577  -2.452433e+02   2.115883e+02
      2.225000           9857  -1.980121e+02   2.214889e+02
      2.275000           4473  -2.809005e+02   2.355339e+02
      2.325000           2459  -2.947500e+02   2.502714e+02
      2.375000           6326  -2.372911e+02   2.621360e+02
      2.425000           3491  -2.602928e+02   2.751506e+02
      2.475000            744  -2.075618e+02   2.855287e+02
      2.525000           2905  -3.225541e+01   2.871415e+02
      2.575000           8653  -9.479418e+00   2.876155e+02
      2.625000          14974  -1.155447e+02   2.933927e+02
      2.675000           6664  -2.752370e+02   3.071545e+02
      2.725000           1802  -3.621725e+02   3.252632e+02
      2.775000             26  -6.388389e+02   3.572051e+02
