          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   6.363347e-01   0.000000e+00              0             49              5              2   1.995305e+01   0.000000e+00   1.016826e+00
           500   6.431134e-01   9.744846e-01              0             47              4              4   2.016947e+01   8.437295e-02   1.040296e+00
          1000   6.505673e-01   1.941198e+00              0             50              4              4   1.983356e+01   1.005725e-01   1.045382e+00
          1500   6.325773e-01   2.918480e+00              0             49              4              4   1.986914e+01   1.061278e-01   1.021604e+00
          2000   6.373373e-01   3.913541e+00              0             44              5              4   1.994425e+01   9.092095e-02   1.036931e+00
          2500   6.237268e-01   4.909879e+00              0             46              5              3   1.978786e+01   9.298817e-02   1.039566e+00
          3000   6.297252e-01   5.896112e+00              0             44              5              3   1.959557e+01   8.763015e-02   1.031098e+00
          3500   6.121466e-01   6.870983e+00              0             43              4              3   1.954609e+01   1.025022e-01   1.031014e+00
          4000   6.010584e-01   7.860921e+00              0             41              5              2   1.962051e+01   1.177710e-01   1.051434e+00
          4500   5.666798e-01   7.780720e+00              0             48              4              3   1.951327e+01   1.243607e-01   1.033200e+00
          5000   5.833078e-01   8.770531e+00              0             50              5              2   1.974529e+01   1.375494e-01   1.060005e+00
          5500   6.212012e-01   1.067300e+01              0             44              5              4   1.974165e+01   1.329108e-01   1.065241e+00
          6000   6.271036e-01   1.166863e+01              0             44              5              2   1.970984e+01   1.545927e-01   1.084396e+00
          6500   6.420359e-01   1.265820e+01              0             41              6              3   1.953459e+01   1.591041e-01   1.075385e+00
          7000   6.688167e-01   1.206768e+01              0             40              3              4   1.957408e+01   1.750869e-01   1.067740e+00
          7500   7.059543e-01   9.435079e+00              0             41              4              3   1.946978e+01   1.547851e-01   1.084036e+00
          8000   7.007592e-01   1.042267e+01              0             39              4              3   1.917712e+01   1.482840e-01   1.053744e+00
          8500   7.067668e-01   1.140807e+01              0             38              3              3   1.970677e+01   1.701798e-01   1.085020e+00
          9000   7.185747e-01   1.238722e+01              0             35              5              3   1.956482e+01   1.889877e-01   1.075653e+00
          9500   7.056835e-01   1.337054e+01              0             36              5              3   1.950625e+01   1.620662e-01   1.053806e+00
         10000   6.776382e-01   1.767539e+01              0             39              5              2   1.947688e+01   1.538509e-01   1.055158e+00
         10500   6.937222e-01   1.866204e+01              0             38              4              3   1.962399e+01   1.661659e-01   1.060026e+00
         11000   6.771578e-01   1.965218e+01              0             38              4              3   1.922722e+01   1.606298e-01   1.062608e+00
         11500   6.433466e-01   2.063071e+01              0             43              4              3   1.972526e+01   1.647827e-01   1.058123e+00
         12000   6.362874e-01   2.156706e+01              0             44              4              3   1.989875e+01   1.791785e-01   1.092509e+00
         12500   6.645267e-01   2.251924e+01              0             41              4              3   1.979100e+01   1.813256e-01   1.093202e+00
         13000   6.495737e-01   2.349408e+01              0             42              3              4   1.980784e+01   2.061002e-01   1.115453e+00
         13500   6.483735e-01   2.444101e+01              0             46              4              3   1.962220e+01   1.762606e-01   1.081978e+00
         14000   6.483397e-01   2.518381e+01              0             46              4              2   1.972112e+01   1.870683e-01   1.108260e+00
         14500   6.418922e-01   2.614868e+01              0             40              4              3   1.962677e+01   1.784062e-01   1.097872e+00
         15000   6.485450e-01   2.713822e+01              0             39              5              3   1.942882e+01   1.381145e-01   1.042678e+00
         15500   6.747011e-01   2.828211e+01              0             39              5              3   1.955708e+01   1.267352e-01   1.024669e+00
         16000   6.828418e-01   2.927476e+01              0             41              4              2   1.957746e+01   1.204548e-01   1.031966e+00
