         r_bin          count          force            pmf
      0.275000           1171   2.892002e+02   2.390729e+00
      0.325000          12118   4.781458e+01   0.000000e+00
      0.375000          12432  -9.949435e+01   4.974718e+00
      0.425000           2789  -3.400588e+02   2.197766e+01
      0.475000           2154  -1.960919e+02   3.178225e+01
      0.525000          15382  -8.886588e+01   3.622554e+01
      0.575000          16089  -2.016707e+02   4.630908e+01
      0.625000           4003  -2.524409e+02   5.893113e+01
      0.675000           4019  -2.065254e+02   6.925740e+01
      0.725000          12267  -2.362640e+02   8.107059e+01
      0.775000          14614  -2.023892e+02   9.119005e+01
      0.825000           7642  -3.494442e+02   1.086623e+02
      0.875000           4359  -4.349561e+02   1.304101e+02
      0.925000           2275  -3.167184e+02   1.462460e+02
      0.975000           8323  -2.127794e+02   1.568849e+02
      1.025000           4484  -3.038112e+02   1.720755e+02
      1.075000           3593  -1.653412e+02   1.803426e+02
      1.125000           4594  -2.270373e+02   1.916944e+02
      1.175000           1788  -1.833264e+02   2.008608e+02
      1.225000           3352  -9.415544e+01   2.055685e+02
      1.275000           4593  -1.602199e+02   2.135795e+02
      1.325000           2108  -1.220455e+02   2.196818e+02
      1.375000           2014  -1.352334e+02   2.264435e+02
      1.425000           3395  -5.942982e+01   2.294150e+02
      1.475000           6807  -9.410656e+01   2.341203e+02
      1.525000           8436  -1.545243e+02   2.418465e+02
      1.575000            777  -2.823348e+02   2.559632e+02
      1.625000           3696  -1.479373e+00   2.560372e+02
      1.675000           6165  -1.228183e+01   2.566513e+02
      1.725000           5520  -4.929273e+01   2.591159e+02
      1.775000           7429   4.974852e+01   2.566285e+02
      1.825000           9902  -1.325870e+01   2.572914e+02
      1.875000           7396  -5.808188e+01   2.601955e+02
      1.925000           4440   4.133205e+01   2.581289e+02
      1.975000           9110  -2.601822e+01   2.594298e+02
      2.025000           7040  -7.299360e+01   2.630795e+02
      2.075000           7642  -5.311847e+01   2.657355e+02
      2.125000           8050  -1.122601e+02   2.713485e+02
      2.175000           6763  -2.441511e+01   2.725692e+02
      2.225000           6830  -1.553271e+02   2.803356e+02
      2.275000           3297  -5.761328e+01   2.832162e+02
      2.325000           6027  -1.195969e+02   2.891961e+02
      2.375000           3040  -1.672199e+02   2.975571e+02
      2.425000            175  -3.224346e+02   3.136788e+02
