          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   3.369136e-01   0.000000e+00              1             78              2              5   1.762163e+01   0.000000e+00   8.414351e-01
           500   3.503978e-01   9.768275e-01              1             74              2              7   1.795241e+01   9.520136e-02   8.417246e-01
          1000   3.528478e-01   1.938675e+00              2             75              1              6   1.835250e+01   1.249449e-01   8.438251e-01
          1500   3.578816e-01   2.863382e+00              0             70              1              7   1.873650e+01   1.432654e-01   8.518864e-01
          2000   3.685328e-01   3.848688e+00              0             64              1              4   1.876051e+01   1.510102e-01   8.615790e-01
          2500   3.654486e-01   4.829306e+00              1             61              1              4   1.835862e+01   1.418497e-01   8.528186e-01
          3000   3.495114e-01   5.792035e+00              1             66              1              6   1.845368e+01   1.625814e-01   8.475669e-01
          3500   3.450008e-01   6.721245e+00              2             67              1              4   1.882849e+01   1.617480e-01   8.708262e-01
          4000   3.512690e-01   7.686415e+00              2             70              1              5   1.899238e+01   1.832673e-01   8.760480e-01
          4500   3.283880e-01   8.622261e+00              2             71              1              5   1.811923e+01   1.812309e-01   8.694603e-01
          5000   3.703137e-01   9.608800e+00              1             72              0              3   1.842232e+01   1.778119e-01   8.770988e-01
          5500   3.716184e-01   1.059983e+01              1             71              0              3   1.822931e+01   1.712947e-01   8.711524e-01
          6000   3.564029e-01   1.158976e+01              2             72              0              2   1.846723e+01   1.720933e-01   8.656074e-01
          6500   3.503109e-01   1.236991e+01              1             71              0              4   1.835172e+01   1.815004e-01   8.782790e-01
          7000   3.529419e-01   1.355899e+01              1             71              0              4   1.856646e+01   1.790249e-01   8.932733e-01
          7500   3.479955e-01   1.426638e+01              1             70              0              3   1.826098e+01   1.774314e-01   8.825132e-01
          8000   3.542739e-01   1.548243e+01              1             71              0              4   1.818524e+01   1.807717e-01   8.777455e-01
          8500   3.525812e-01   1.643129e+01              2             72              0              5   1.814292e+01   1.798737e-01   8.758851e-01
          9000   3.730546e-01   1.742167e+01              1             68              0              5   1.877500e+01   1.750776e-01   8.775648e-01
          9500   3.650426e-01   1.840532e+01              2             70              0              3   1.878959e+01   1.727678e-01   8.829038e-01
         10000   3.644746e-01   1.940071e+01              1             67              0              5   1.850350e+01   1.796503e-01   8.782656e-01
         10500   3.756728e-01   2.038944e+01              2             66              0              6   1.833622e+01   1.737913e-01   8.637176e-01
         11000   3.517777e-01   2.137465e+01              2             71              0              5   1.859001e+01   1.808565e-01   8.818463e-01
         11500   3.662344e-01   2.236525e+01              2             69              0              6   1.867862e+01   1.946197e-01   8.671879e-01
         12000   3.777413e-01   2.335900e+01              1             69              0              6   1.814706e+01   1.973151e-01   8.627824e-01
         12500   3.648656e-01   2.434884e+01              2             67              0              5   1.855000e+01   2.005904e-01   8.570224e-01
         13000   3.737290e-01   2.534423e+01              1             66              0              4   1.883156e+01   1.978443e-01   8.794849e-01
         13500   3.387436e-01   2.536508e+01              2             68              0              6   1.881893e+01   1.897839e-01   8.871285e-01
         14000   3.310578e-01   2.635193e+01              1             64              0              5   1.847309e+01   2.119203e-01   8.805422e-01
         14500   3.653376e-01   2.817871e+01              2             69              0              4   1.866347e+01   2.125528e-01   8.836016e-01
         15000   3.240312e-01   2.828622e+01              2             72              0              4   1.851976e+01   2.025940e-01   8.594417e-01
         15500   3.540460e-01   3.003376e+01              1             72              0              4   1.818633e+01   2.077211e-01   8.642715e-01
         16000   3.420665e-01   3.023772e+01              1             74              0              2   1.818800e+01   2.149751e-01   8.787020e-01
         16500   3.518505e-01   3.121530e+01              2             71              0              5   1.825419e+01   2.049755e-01   8.676981e-01
         17000   3.588970e-01   3.292374e+01              2             63              0              5   1.797567e+01   2.114778e-01   8.648407e-01
         17500   3.710124e-01   3.390512e+01              2             68              0              6   1.770719e+01   2.088480e-01   8.601186e-01
         18000   3.669729e-01   3.489803e+01              2             63              0              5   1.815341e+01   2.149643e-01   8.717025e-01
         18500   3.735755e-01   3.589082e+01              2             62              0              5   1.788739e+01   2.285276e-01   8.559723e-01
         19000   3.711242e-01   3.688362e+01              2             64              0              5   1.775593e+01   2.198073e-01   8.610519e-01
         19500   3.725326e-01   3.787954e+01              2             63              0              6   1.775551e+01   2.107461e-01   8.463298e-01
         20000   3.973407e-01   3.181983e+01              2             61              0              4   1.798297e+01   2.330599e-01   8.526579e-01
         20500   3.673956e-01   3.980213e+01              2             66              0              6   1.806395e+01   2.372801e-01   8.544555e-01
         21000   3.623296e-01   4.079392e+01              2             67              0              8   1.818486e+01   2.378366e-01   8.593560e-01
         21500   3.842471e-01   4.178272e+01              1             59              0              3   1.833052e+01   2.408687e-01   8.709380e-01
         22000   3.657842e-01   4.278000e+01              2             63              0              5   1.828004e+01   2.402548e-01   8.643676e-01
         22500   3.520713e-01   4.159581e+01              2             62              0              5   1.857989e+01   2.348797e-01   8.730881e-01
         23000   3.617832e-01   4.473823e+01              2             68              0              4   1.815370e+01   2.423152e-01   8.771960e-01
         23500   3.585642e-01   4.573257e+01              2             65              0              5   1.850967e+01   2.473781e-01   8.858550e-01
         24000   3.765784e-01   4.672998e+01              2             64              0              2   1.826677e+01   2.391286e-01   8.752825e-01
