         r_bin          count          force            pmf
      0.475000           4223   1.111410e+03   6.528959e+01
      0.525000          41133   7.972840e+02   2.542539e+01
      0.575000          25671   5.052581e+02   1.624789e-01
      0.625000          36799   3.249579e+00   0.000000e+00
      0.675000          19692  -2.358584e+02   1.179292e+01
      0.725000          11854  -4.409626e+02   3.384105e+01
      0.775000          18439  -4.310052e+02   5.539131e+01
      0.825000          10391  -3.722273e+02   7.400268e+01
      0.875000          19464  -2.932380e+02   8.866458e+01
      0.925000          12740  -3.578315e+02   1.065562e+02
      0.975000           5059  -3.356074e+02   1.233365e+02
      1.025000           2262  -4.238277e+02   1.445279e+02
      1.075000           4122  -3.087124e+02   1.599635e+02
      1.125000           4971  -1.820085e+02   1.690639e+02
      1.175000           9898  -1.826192e+02   1.781949e+02
      1.225000            993  -2.874545e+02   1.925676e+02
      1.275000           1433  -1.212023e+02   1.986277e+02
      1.325000           4275  -1.663244e+02   2.069440e+02
      1.375000           3578  -1.306321e+02   2.134756e+02
      1.425000           2014  -1.257696e+02   2.197641e+02
      1.475000           4528  -3.609670e+01   2.215689e+02
      1.525000           5943  -1.597478e+02   2.295563e+02
      1.575000           1730  -1.218745e+02   2.356500e+02
      1.625000           2425  -1.368883e+02   2.424944e+02
      1.675000           1809  -1.063468e+02   2.478118e+02
      1.725000           4387  -9.290466e+01   2.524570e+02
      1.775000           6330  -9.908942e+01   2.574115e+02
      1.825000           4646  -1.435463e+02   2.645888e+02
      1.875000           2467  -2.112310e+02   2.751503e+02
      1.925000            883  -1.817315e+02   2.842369e+02
      1.975000            362  -6.783030e+01   2.876284e+02
      2.025000           1835  -6.108170e+01   2.906825e+02
      2.075000           2850  -1.015773e+01   2.911904e+02
      2.125000           5768  -6.360589e+01   2.943707e+02
      2.175000           1230  -1.555454e+02   3.021480e+02
      2.225000            648  -1.151468e+02   3.079053e+02
      2.275000           2436  -3.687057e+01   3.097488e+02
      2.325000           4363  -7.457263e+01   3.134775e+02
      2.375000           6484   5.979356e+01   3.104878e+02
      2.425000           4652   6.634296e+01   3.071706e+02
      2.475000           8328   3.510716e+00   3.069951e+02
      2.525000           9278  -7.959256e+01   3.109747e+02
      2.575000           9054   7.330347e+01   3.073095e+02
      2.625000          12493  -4.013372e+01   3.093162e+02
      2.675000          23684  -2.071474e+02   3.196736e+02
      2.725000          13645  -3.867970e+02   3.390135e+02
      2.775000           5158  -5.858464e+02   3.683058e+02
      2.825000           1573  -5.496675e+02   3.957891e+02
