          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   6.038347e-01   0.000000e+00              1             64              0              2   1.591040e+01   0.000000e+00   7.282113e-01
           500   6.035615e-01   9.287877e-01              1             64              0              3   1.583195e+01   5.989979e-02   7.212780e-01
          1000   6.224654e-01   1.981307e+00              1             62              0              1   1.550307e+01   6.339417e-02   7.208452e-01
          1500   6.323274e-01   2.974680e+00              1             67              0              3   1.623273e+01   7.640816e-02   7.388224e-01
          2000   6.468259e-01   3.955769e+00              1             63              0              3   1.583164e+01   6.671416e-02   7.275738e-01
          2500   6.393891e-01   4.945638e+00              1             64              0              3   1.602134e+01   7.989905e-02   7.328024e-01
          3000   6.060569e-01   5.941551e+00              1             67              0              1   1.592980e+01   7.064892e-02   7.299912e-01
          3500   6.234530e-01   6.936631e+00              1             65              0              3   1.583250e+01   8.256340e-02   7.229965e-01
          4000   6.000674e-01   7.084456e+00              1             66              0              4   1.588592e+01   1.002576e-01   7.298985e-01
          4500   6.239783e-01   8.900649e+00              1             63              0              3   1.544963e+01   8.551432e-02   7.244354e-01
          5000   6.067471e-01   9.863192e+00              1             66              0              2   1.551140e+01   8.995399e-02   7.203642e-01
          5500   6.272564e-01   1.085595e+01              1             65              0              4   1.554774e+01   8.148599e-02   7.132081e-01
          6000   6.351927e-01   1.184691e+01              1             67              0              3   1.554919e+01   8.307773e-02   7.154148e-01
          6500   6.245652e-01   1.284259e+01              1             63              0              3   1.576513e+01   8.398482e-02   7.277926e-01
          7000   5.825319e-01   1.256968e+01              1             67              0              3   1.582077e+01   8.274755e-02   7.315542e-01
          7500   6.244050e-01   1.477133e+01              1             65              0              3   1.580398e+01   8.731043e-02   7.300720e-01
          8000   6.274962e-01   1.576700e+01              1             63              0              3   1.604680e+01   9.682551e-02   7.389022e-01
          8500   6.157304e-01   1.676074e+01              1             68              0              3   1.609328e+01   9.083936e-02   7.374826e-01
          9000   6.063090e-01   1.775244e+01              1             66              0              3   1.562414e+01   7.562888e-02   7.206686e-01
          9500   6.124123e-01   1.872982e+01              0             67              0              3   1.561885e+01   8.081312e-02   7.172878e-01
         10000   6.057089e-01   1.972304e+01              1             71              0              2   1.577886e+01   9.178831e-02   7.427907e-01
         10500   6.485397e-01   1.775006e+01              1             67              0              4   1.585851e+01   8.477729e-02   7.432892e-01
         11000   6.424215e-01   2.169411e+01              1             56              0              0   1.546844e+01   1.018541e-01   7.330622e-01
         11500   6.023061e-01   2.267422e+01              1             61              0              2   1.545661e+01   1.022890e-01   7.364161e-01
         12000   5.909284e-01   2.158190e+01              1             67              0              2   1.565919e+01   8.478876e-02   7.246253e-01
         12500   6.179214e-01   2.462807e+01              1             59              0              2   1.539844e+01   9.584292e-02   7.193257e-01
         13000   5.980870e-01   2.346933e+01              1             61              0              3   1.568032e+01   1.015702e-01   7.294776e-01
         13500   6.009243e-01   2.654746e+01              1             61              0              3   1.544310e+01   1.139186e-01   7.325647e-01
         14000   6.009277e-01   2.751123e+01              1             58              0              2   1.555986e+01   1.003552e-01   7.367939e-01
         14500   6.143372e-01   2.849829e+01              1             60              0              2   1.546424e+01   1.118841e-01   7.305038e-01
         15000   6.137262e-01   2.949434e+01              1             60              0              3   1.549349e+01   1.183681e-01   7.323580e-01
         15500   6.058125e-01   2.818852e+01              1             62              0              2   1.537875e+01   1.133377e-01   7.290048e-01
         16000   6.069963e-01   3.143697e+01              1             60              0              2   1.579318e+01   1.327125e-01   7.396585e-01
         16500   6.062347e-01   3.238986e+01              1             59              0              2   1.524919e+01   1.254727e-01   7.295786e-01
         17000   6.154270e-01   3.337216e+01              0             59              0              3   1.539675e+01   1.180356e-01   7.273915e-01
