         r_bin          count          force            pmf
      0.375000           7273   8.954390e+02   3.157086e+01
      0.425000          28712   4.690052e+02   8.120597e+00
      0.475000          36401   1.008940e+02   3.075898e+00
      0.525000          21855  -7.684267e+01   6.918032e+00
      0.575000          13719   3.599817e+01   5.118123e+00
      0.625000          44149   1.023625e+02   0.000000e+00
      0.675000          60578  -3.332504e+02   1.666252e+01
      0.725000          25063  -5.241536e+02   4.287020e+01
      0.775000          35132  -3.662329e+02   6.118185e+01
      0.825000          31428  -2.398540e+02   7.317454e+01
      0.875000          43045  -2.652481e+02   8.643695e+01
      0.925000          27811  -2.022284e+02   9.654837e+01
      0.975000          30763  -2.451282e+02   1.088048e+02
      1.025000          14864  -3.256291e+02   1.250862e+02
      1.075000          21655  -3.636998e+02   1.432712e+02
      1.125000          26652  -4.509148e+02   1.658170e+02
      1.175000          12520  -3.466291e+02   1.831484e+02
      1.225000          22483  -4.602058e+02   2.061587e+02
      1.275000          22322  -5.082853e+02   2.315730e+02
      1.325000           4394  -5.700098e+02   2.600735e+02
      1.375000           2133  -6.902050e+02   2.945837e+02
      1.425000           1019  -4.815005e+02   3.186587e+02
      1.475000           3322  -1.138816e+02   3.243528e+02
      1.525000          10448  -1.367193e+02   3.311888e+02
      1.575000           5074  -1.716300e+02   3.397703e+02
      1.625000           7845  -1.855755e+02   3.490491e+02
      1.675000           5069  -2.235476e+02   3.602264e+02
      1.725000           5189  -2.245082e+02   3.714518e+02
      1.775000           4733  -2.248291e+02   3.826933e+02
      1.825000           5646  -2.255651e+02   3.939716e+02
      1.875000           4156  -9.963107e+01   3.989531e+02
      1.925000          12164  -1.549222e+02   4.066992e+02
      1.975000           7214  -1.115915e+02   4.122788e+02
      2.025000           7156  -1.611106e+02   4.203343e+02
      2.075000           7865  -9.988172e+01   4.253284e+02
      2.125000           7484  -1.192798e+02   4.312924e+02
      2.175000           5538  -2.381797e+02   4.432014e+02
      2.225000           5708  -1.129047e+02   4.488466e+02
      2.275000           6993  -9.057553e+01   4.533754e+02
      2.325000           5430  -5.330242e+01   4.560405e+02
      2.375000           6367  -3.534112e+01   4.578076e+02
      2.425000           8556  -1.181632e+02   4.637157e+02
      2.475000           6945  -1.248924e+02   4.699604e+02
      2.525000           9933  -1.983937e+02   4.798800e+02
      2.575000           4313  -2.556687e+02   4.926635e+02
      2.625000             81  -5.637563e+02   5.208513e+02
