          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.832774e-01   0.000000e+00              1             58              1              4   1.536559e+01   0.000000e+00   8.928282e-01
           500   4.851662e-01   9.959627e-01              0             59              1              4   1.584607e+01   9.304271e-02   9.123519e-01
          1000   4.816519e-01   1.993520e+00              2             60              1              5   1.555896e+01   1.086098e-01   8.877848e-01
          1500   4.895471e-01   2.989442e+00              1             59              1              6   1.557883e+01   1.354194e-01   9.077539e-01
          2000   4.926794e-01   3.969304e+00              0             59              1              5   1.551652e+01   1.318636e-01   9.046104e-01
          2500   5.052668e-01   4.636735e+00              0             56              1              3   1.547130e+01   1.478845e-01   9.016248e-01
          3000   4.868989e-01   5.887856e+00              0             59              1              7   1.552394e+01   1.565457e-01   9.206620e-01
          3500   4.990212e-01   6.862594e+00              0             57              1              3   1.545914e+01   1.712740e-01   9.241289e-01
          4000   4.871491e-01   7.833383e+00              1             59              1              5   1.554300e+01   1.647335e-01   9.227774e-01
          4500   4.690331e-01   8.824642e+00              3             61              1              6   1.556541e+01   1.799089e-01   9.090718e-01
          5000   4.804651e-01   9.810702e+00              0             61              1              5   1.551416e+01   1.582216e-01   9.053501e-01
          5500   4.924076e-01   1.080365e+01              2             62              1              6   1.546103e+01   1.604235e-01   9.030534e-01
          6000   4.573326e-01   9.876612e+00              2             58              1              4   1.544501e+01   1.696759e-01   8.875244e-01
          6500   4.717093e-01   1.278339e+01              2             60              1              6   1.533621e+01   1.795252e-01   9.018565e-01
          7000   4.764741e-01   1.377610e+01              1             60              1              4   1.559281e+01   1.696215e-01   9.057864e-01
          7500   4.611906e-01   1.476334e+01              0             57              1              5   1.515681e+01   1.579158e-01   8.758594e-01
          8000   4.570221e-01   1.575623e+01              2             58              1              6   1.516570e+01   1.508587e-01   8.897122e-01
          8500   4.400806e-01   1.454539e+01              1             60              1              5   1.559300e+01   1.536366e-01   8.833662e-01
          9000   5.002500e-01   1.590700e+01              3             59              2              7   1.563944e+01   1.500050e-01   9.078429e-01
          9500   4.872180e-01   1.866311e+01              1             59              2              4   1.566801e+01   1.391405e-01   8.792049e-01
         10000   4.888210e-01   1.965464e+01              0             58              2              5   1.600590e+01   1.489888e-01   9.182392e-01
         10500   4.763174e-01   2.064707e+01              3             57              2              6   1.589702e+01   1.550272e-01   8.899859e-01
         11000   4.874788e-01   2.163070e+01              2             56              2              7   1.604591e+01   1.643326e-01   9.147570e-01
         11500   4.946501e-01   2.262063e+01              0             60              2              7   1.614832e+01   1.390117e-01   9.080617e-01
         12000   4.980488e-01   2.356344e+01              0             58              2              5   1.604243e+01   1.528099e-01   9.134270e-01
         12500   4.953210e-01   2.455255e+01              0             60              2              6   1.609106e+01   1.453085e-01   9.022844e-01
         13000   4.778948e-01   2.553581e+01              2             57              1              7   1.596790e+01   1.466537e-01   8.930516e-01
         13500   5.173458e-01   2.423933e+01              0             56              1              6   1.584973e+01   1.541346e-01   9.233510e-01
         14000   4.981846e-01   2.744352e+01              1             57              1              6   1.575763e+01   1.565348e-01   9.198127e-01
         14500   4.758510e-01   2.842581e+01              1             55              2              5   1.623799e+01   1.571735e-01   9.102467e-01
         15000   5.013901e-01   2.697974e+01              2             54              2              6   1.632715e+01   1.639504e-01   9.219918e-01
         15500   4.834081e-01   3.039668e+01              1             59              2              9   1.584100e+01   1.529940e-01   9.082550e-01
         16000   5.146646e-01   2.884337e+01              0             57              2              5   1.591891e+01   1.431777e-01   9.025208e-01
         16500   4.881597e-01   3.233893e+01              0             60              2              5   1.598949e+01   1.485090e-01   9.003007e-01
         17000   4.809405e-01   3.333513e+01              0             59              2              8   1.582286e+01   1.483954e-01   9.095237e-01
         17500   5.202037e-01   3.168310e+01              1             58              1              6   1.578401e+01   1.578873e-01   9.040347e-01
         18000   5.109363e-01   3.267898e+01              0             57              1              7   1.581787e+01   1.652912e-01   9.199636e-01
         18500   5.007718e-01   3.608811e+01              1             58              2              5   1.562106e+01   1.634444e-01   8.885080e-01
         19000   4.946355e-01   3.706852e+01              1             59              2              4   1.581089e+01   1.512969e-01   8.988774e-01
         19500   5.123354e-01   3.559829e+01              1             59              2              7   1.588281e+01   1.601938e-01   9.049878e-01
         20000   5.157469e-01   3.659492e+01              3             60              1              3   1.561649e+01   1.507789e-01   8.890678e-01
         20500   5.279621e-01   3.759298e+01              2             56              2              6   1.592585e+01   1.467871e-01   8.896202e-01
         21000   4.928134e-01   4.069793e+01              2             60              2              6   1.599177e+01   1.519045e-01   8.994250e-01
         21500   4.808688e-01   4.165341e+01              2             61              2              7   1.591502e+01   1.670491e-01   8.958688e-01
         22000   5.151742e-01   4.049406e+01              1             58              1              6   1.585608e+01   1.521168e-01   8.898722e-01
         22500   5.167837e-01   4.148425e+01              4             59              2              6   1.608770e+01   1.434323e-01   9.111875e-01
         23000   4.988703e-01   4.446208e+01              2             60              2              5   1.584952e+01   1.621081e-01   8.858183e-01
         23500   4.938476e-01   4.341108e+01              1             58              2              4   1.584994e+01   1.505663e-01   9.073276e-01
         24000   5.012002e-01   4.637665e+01              1             56              1              5   1.595810e+01   1.576449e-01   9.049870e-01
         24500   5.158823e-01   4.534643e+01              2             57              1              5   1.582285e+01   1.555850e-01   8.986776e-01
         25000   4.979306e-01   4.631152e+01              1             59              1              3   1.612508e+01   1.574347e-01   9.021237e-01
         25500   5.011576e-01   4.723252e+01              3             57              1              6   1.574567e+01   1.501108e-01   8.998767e-01
         26000   5.075027e-01   4.817050e+01              1             57              1              5   1.563128e+01   1.353385e-01   8.920213e-01
         26500   5.047188e-01   4.913345e+01              1             58              1              3   1.571757e+01   1.444916e-01   8.959089e-01
         27000   4.781693e-01   5.217134e+01              3             60              2              8   1.574488e+01   1.512057e-01   9.011317e-01
         27500   5.083885e-01   5.103511e+01              2             57              1              4   1.590782e+01   1.491350e-01   9.097180e-01
         28000   4.921378e-01   5.410020e+01              2             61              1              6   1.577679e+01   1.528558e-01   8.923645e-01
         28500   5.104064e-01   5.290724e+01              1             57              1              6   1.592288e+01   1.500562e-01   8.957668e-01
         29000   4.949046e-01   5.600037e+01              0             60              1              5   1.586567e+01   1.580886e-01   8.887474e-01
         29500   5.148537e-01   5.486594e+01              2             58              1              5   1.582832e+01   1.635478e-01   8.894015e-01
         30000   4.791825e-01   5.792601e+01              1             59              1              5   1.546528e+01   1.684423e-01   8.670822e-01
         30500   4.874617e-01   5.891769e+01              1             57              0              4   1.552717e+01   1.564098e-01   8.772168e-01
         31000   5.029432e-01   5.761307e+01              2             60              1              6   1.563439e+01   1.601255e-01   8.750348e-01
         31500   5.252357e-01   5.860058e+01              1             58              1              6   1.589244e+01   1.357685e-01   8.992293e-01
         32000   4.918066e-01   6.169727e+01              0             60              1              5   1.551193e+01   1.481614e-01   8.892554e-01
         32500   4.926258e-01   6.266721e+01              2             62              0              5   1.581334e+01   1.349353e-01   8.893909e-01
         33000   4.709865e-01   6.366093e+01              1             59              0              3   1.599540e+01   1.507877e-01   8.907959e-01
         33500   4.692768e-01   6.463841e+01              0             60              0              6   1.603139e+01   1.323901e-01   9.059261e-01
