         r_bin          count          force            pmf
      0.375000            491   1.093789e+03   3.436027e+01
      0.425000           9200   6.109485e+02   3.812840e+00
      0.475000          53112   7.625680e+01   0.000000e+00
      0.525000          15222  -3.361122e+02   1.680561e+01
      0.575000           4908  -7.687410e+02   5.524266e+01
      0.625000          13253  -2.813879e+02   6.931205e+01
      0.675000          27354  -1.858465e+02   7.860438e+01
      0.725000          24733  -3.435165e+02   9.578020e+01
      0.775000          23262  -3.874494e+02   1.151527e+02
      0.825000          13334  -5.572133e+02   1.430133e+02
      0.875000           1833  -7.581774e+02   1.809222e+02
      0.925000           6043  -4.348751e+02   2.026660e+02
      0.975000          18180  -3.783096e+02   2.215814e+02
      1.025000           7163  -3.899592e+02   2.410794e+02
      1.075000           3066  -3.936829e+02   2.607636e+02
      1.125000            952  -3.305685e+02   2.772920e+02
      1.175000           2196  -2.102702e+02   2.878055e+02
      1.225000           6685  -8.783734e+01   2.921973e+02
      1.275000           7168  -1.559411e+02   2.999944e+02
      1.325000           3540  -2.072646e+02   3.103576e+02
      1.375000           4252  -1.441310e+02   3.175642e+02
      1.425000           6382  -2.029582e+02   3.277121e+02
      1.475000           2484  -2.104124e+02   3.382327e+02
      1.525000           3390  -1.694284e+02   3.467041e+02
      1.575000           3652  -6.624928e+01   3.500166e+02
      1.625000           4508  -1.972851e+02   3.598809e+02
      1.675000           1750  -1.906198e+02   3.694118e+02
      1.725000            902   1.001635e+01   3.689110e+02
      1.775000           1544   1.284458e+01   3.682688e+02
      1.825000           2687   7.618485e+00   3.678879e+02
      1.875000           6581   7.832564e+01   3.639716e+02
      1.925000           7804   8.114553e+01   3.599143e+02
      1.975000           5659   8.388379e+00   3.594949e+02
      2.025000           5850  -1.064219e+01   3.600270e+02
      2.075000           9309   8.822437e+00   3.595859e+02
      2.125000           5768  -2.975433e+01   3.610736e+02
      2.175000           4964   1.151673e+01   3.604978e+02
      2.225000           8137   5.910110e+01   3.575427e+02
      2.275000          10162  -7.419239e+00   3.579137e+02
      2.325000           6903  -1.525936e+01   3.586766e+02
      2.375000           6013   5.750820e+01   3.558012e+02
      2.425000           4947  -1.353026e+01   3.564777e+02
      2.475000           7486  -4.629537e+01   3.587925e+02
      2.525000          11326  -8.464950e+01   3.630250e+02
      2.575000           9462  -2.416313e+02   3.751066e+02
      2.625000           1983  -3.187471e+02   3.910439e+02
