          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.798972e-01   0.000000e+00              4             53              2             10   1.215267e+01   0.000000e+00   7.208760e-01
           500   4.974318e-01   9.896931e-01              2             51              2              7   1.216598e+01   5.859775e-02   7.345926e-01
          1000   4.957590e-01   1.980790e+00              2             49              2              9   1.216076e+01   6.388315e-02   7.298638e-01
          1500   4.984473e-01   2.940884e+00              2             49              2              9   1.225651e+01   5.985373e-02   7.204673e-01
          2000   4.943424e-01   3.920526e+00              3             48              2              9   1.223057e+01   6.476388e-02   7.245549e-01
          2500   4.859195e-01   4.899945e+00              3             50              2             10   1.203400e+01   8.073442e-02   7.169132e-01
          3000   4.987671e-01   5.651644e+00              2             48              2             10   1.232454e+01   8.695515e-02   7.308412e-01
          3500   4.902884e-01   6.852803e+00              3             49              2              9   1.224908e+01   9.547208e-02   7.289442e-01
          4000   4.826392e-01   7.829234e+00              3             48              2              9   1.202308e+01   1.019824e-01   7.430572e-01
          4500   4.907315e-01   8.453955e+00              3             49              2              9   1.214201e+01   9.369680e-02   7.239799e-01
          5000   4.893782e-01   9.372086e+00              4             51              2              9   1.205146e+01   9.772510e-02   7.356331e-01
          5500   4.929442e-01   1.077770e+01              3             47              2             11   1.228480e+01   9.491704e-02   7.345017e-01
          6000   4.836778e-01   1.123897e+01              2             47              2              8   1.220585e+01   1.005599e-01   7.324949e-01
          6500   4.808894e-01   1.274328e+01              3             50              2             10   1.206922e+01   1.100937e-01   7.308984e-01
          7000   4.898218e-01   1.306168e+01              3             50              2              9   1.219004e+01   1.031825e-01   7.234805e-01
          7500   4.883936e-01   1.470608e+01              3             50              2              8   1.229555e+01   9.911466e-02   7.238373e-01
          8000   4.792212e-01   1.569493e+01              2             49              2              8   1.223428e+01   1.015137e-01   7.339481e-01
          8500   4.793199e-01   1.668264e+01              3             50              2             10   1.219061e+01   1.009230e-01   7.420389e-01
          9000   4.823323e-01   1.767667e+01              3             50              2             11   1.244739e+01   9.531177e-02   7.463685e-01
          9500   4.680694e-01   1.866567e+01              3             52              2             10   1.223038e+01   9.936351e-02   7.286692e-01
         10000   4.816036e-01   1.965859e+01              3             50              2             10   1.208539e+01   1.117041e-01   7.425958e-01
         10500   4.624942e-01   2.065147e+01              4             51              2             10   1.210176e+01   1.116346e-01   7.433395e-01
         11000   4.694319e-01   2.164630e+01              4             52              2              7   1.229686e+01   1.143008e-01   7.496781e-01
         11500   4.750744e-01   2.264119e+01              4             52              2             10   1.221927e+01   1.144064e-01   7.401718e-01
         12000   4.817561e-01   2.363361e+01              4             52              2             10   1.215944e+01   1.188425e-01   7.341594e-01
         12500   4.829910e-01   2.461557e+01              3             48              2             10   1.214195e+01   1.101165e-01   7.270345e-01
         13000   4.851662e-01   2.559340e+01              3             49              2             11   1.220894e+01   1.050775e-01   7.364176e-01
         13500   4.897928e-01   2.656880e+01              3             50              2              9   1.220047e+01   1.104839e-01   7.445133e-01
         14000   4.927332e-01   2.754664e+01              2             48              2             10   1.236909e+01   1.141537e-01   7.454019e-01
         14500   5.144292e-01   2.661777e+01              3             46              2             10   1.233724e+01   1.215849e-01   7.469677e-01
         15000   5.031164e-01   2.760801e+01              3             47              2              8   1.235448e+01   1.332148e-01   7.496492e-01
         15500   5.018341e-01   2.859222e+01              3             47              2             10   1.223797e+01   1.233497e-01   7.435365e-01
         16000   5.079961e-01   3.132585e+01              4             46              2              7   1.234485e+01   1.219674e-01   7.465671e-01
         16500   4.913971e-01   3.052492e+01              3             49              2              7   1.215153e+01   1.231241e-01   7.515661e-01
         17000   4.781586e-01   3.326980e+01              3             48              2              9   1.236939e+01   1.232846e-01   7.432431e-01
         17500   4.774777e-01   3.425586e+01              3             47              2             11   1.219392e+01   1.228904e-01   7.429727e-01
         18000   4.806940e-01   3.525142e+01              4             49              2              9   1.235254e+01   1.157909e-01   7.377313e-01
         18500   4.848631e-01   3.623022e+01              3             45              2              7   1.220813e+01   1.129416e-01   7.424166e-01
         19000   4.951955e-01   3.720954e+01              3             49              2              8   1.221425e+01   9.932814e-02   7.408966e-01
         19500   5.060241e-01   3.600898e+01              4             48              2              9   1.226302e+01   1.106576e-01   7.410869e-01
         20000   5.291453e-01   3.699316e+01              3             46              2              7   1.222970e+01   1.299922e-01   7.467307e-01
         20500   5.401802e-01   2.837313e+01              2             45              2              7   1.212735e+01   1.309018e-01   7.465054e-01
         21000   5.156530e-01   3.897610e+01              2             44              2              9   1.216392e+01   1.309443e-01   7.379270e-01
         21500   4.992184e-01   3.995090e+01              3             49              2              9   1.204452e+01   1.303272e-01   7.384531e-01
         22000   5.132253e-01   4.092200e+01              4             46              2              9   1.201727e+01   1.291366e-01   7.336201e-01
         22500   5.364996e-01   4.191888e+01              2             47              2              8   1.219972e+01   1.384623e-01   7.522125e-01
         23000   5.295153e-01   4.291004e+01              3             45              2              8   1.234163e+01   1.413345e-01   7.488320e-01
         23500   5.165301e-01   4.390181e+01              3             47              2              7   1.223553e+01   1.196471e-01   7.328563e-01
         24000   5.242424e-01   4.489593e+01              3             47              2              9   1.212011e+01   1.302129e-01   7.431839e-01
         24500   5.226285e-01   4.589429e+01              3             47              2             10   1.234401e+01   1.450441e-01   7.506122e-01
         25000   5.274628e-01   3.623553e+01              2             44              2              8   1.217562e+01   1.344698e-01   7.409147e-01
         25500   5.253222e-01   4.787043e+01              2             45              2              8   1.245526e+01   1.498068e-01   7.484590e-01
         26000   5.443641e-01   4.884792e+01              2             47              2              9   1.217937e+01   1.608128e-01   7.392185e-01
         26500   5.269217e-01   4.980440e+01              2             43              2              9   1.225241e+01   1.426441e-01   7.417701e-01
         27000   5.382516e-01   5.078508e+01              3             45              2              8   1.236353e+01   1.393495e-01   7.474092e-01
         27500   5.291392e-01   5.176742e+01              2             45              3              9   1.228125e+01   1.370668e-01   7.447175e-01
         28000   5.239287e-01   5.276352e+01              2             48              2             10   1.199968e+01   1.332949e-01   7.414229e-01
         28500   5.384312e-01   5.376004e+01              2             44              2              8   1.200905e+01   1.301926e-01   7.432910e-01
         29000   5.056784e-01   5.472992e+01              3             47              2             10   1.221924e+01   1.392902e-01   7.415314e-01
