         r_bin          count          force            pmf
      0.475000            114   6.194225e+02   1.641804e+01
      0.525000           9818   2.989123e+02   1.472425e+00
      0.575000          31723   2.944850e+01   0.000000e+00
      0.625000          12887  -3.350327e+02   1.675163e+01
      0.675000           2778  -5.590444e+02   4.470385e+01
      0.725000           5831  -5.098153e+02   7.019462e+01
      0.775000           7160  -4.254324e+02   9.146624e+01
      0.825000           8454  -2.866787e+02   1.058002e+02
      0.875000           6034  -2.828237e+02   1.199414e+02
      0.925000           7605  -2.665550e+02   1.332691e+02
      0.975000           4731  -2.778405e+02   1.471611e+02
      1.025000           8018   3.237436e+00   1.469993e+02
      1.075000          13031  -7.187631e+01   1.505931e+02
      1.125000          11225  -4.057795e+01   1.526220e+02
      1.175000          11971  -8.152498e+01   1.566982e+02
      1.225000           9736  -7.346745e+01   1.603716e+02
      1.275000          10211  -3.149881e+01   1.619465e+02
      1.325000          17041  -2.033125e+01   1.629631e+02
      1.375000          13131  -9.554463e+01   1.677403e+02
      1.425000           7525  -8.144476e+01   1.718126e+02
      1.475000          15571   4.923108e+00   1.715664e+02
      1.525000          12668  -1.002957e+02   1.765812e+02
      1.575000           3944  -8.326620e+01   1.807445e+02
      1.625000           9685  -1.094487e+02   1.862169e+02
      1.675000          12425  -1.773430e+02   1.950841e+02
      1.725000           7282  -1.948256e+02   2.048254e+02
      1.775000           6702  -1.555704e+02   2.126039e+02
      1.825000           3542  -2.037690e+02   2.227923e+02
      1.875000           1134  -2.147183e+02   2.335283e+02
      1.925000           1374  -1.961658e+02   2.433365e+02
      1.975000           6377  -5.974194e+01   2.463236e+02
      2.025000           5159  -1.154082e+02   2.520941e+02
      2.075000          11236  -1.062968e+01   2.526255e+02
      2.125000           4642  -7.922979e+01   2.565870e+02
      2.175000           4100  -7.104742e-01   2.566226e+02
      2.225000           7565   1.779982e+01   2.557326e+02
      2.275000           9165   2.154829e+01   2.546551e+02
      2.325000           7073  -4.078849e+01   2.566946e+02
      2.375000           4052   1.355873e+01   2.560166e+02
      2.425000           3933   7.750772e+01   2.521412e+02
      2.475000           3277  -3.869072e+01   2.540758e+02
      2.525000           2393  -1.694194e+01   2.549229e+02
      2.575000           3839  -2.370410e+01   2.561081e+02
      2.625000           7111  -8.358379e+01   2.602873e+02
      2.675000            942  -1.295881e+02   2.667667e+02
      2.725000             85  -3.608632e+02   2.848098e+02
