          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   5.891815e-01   0.000000e+00              0             30              5             11   1.099182e+01   0.000000e+00   5.653543e-01
           500   5.657664e-01   9.965073e-01              0             29              5             10   1.093709e+01   9.105322e-02   5.556957e-01
          1000   5.854078e-01   1.990234e+00              0             26              5             10   1.119355e+01   8.425165e-02   5.603094e-01
          1500   5.670842e-01   2.986306e+00              0             32              5              8   1.120806e+01   7.617641e-02   5.619319e-01
          2000   5.851878e-01   3.973577e+00              0             29              5              8   1.106333e+01   9.817468e-02   5.585917e-01
          2500   5.715926e-01   4.970038e+00              0             34              5              7   1.087530e+01   8.745294e-02   5.542606e-01
          3000   5.992120e-01   5.292967e+00              0             33              5              9   1.105359e+01   9.130260e-02   5.585111e-01
          3500   5.828115e-01   6.932712e+00              0             35              5              8   1.122414e+01   1.011883e-01   5.579053e-01
          4000   5.858771e-01   7.926041e+00              0             32              5             10   1.102073e+01   1.141921e-01   5.552808e-01
          4500   6.001896e-01   8.906933e+00              0             31              5              8   1.118321e+01   1.292855e-01   5.582195e-01
          5000   5.782499e-01   9.888359e+00              0             32              5              7   1.109903e+01   1.329612e-01   5.560751e-01
          5500   5.783703e-01   1.088590e+01              0             31              5              8   1.109037e+01   1.281465e-01   5.542254e-01
          6000   5.682303e-01   1.188077e+01              0             31              5              9   1.115676e+01   1.374296e-01   5.585391e-01
          6500   5.751173e-01   1.287796e+01              0             32              4              9   1.119871e+01   1.462852e-01   5.641106e-01
          7000   5.787097e-01   1.386337e+01              0             32              5              9   1.131786e+01   1.325476e-01   5.651484e-01
          7500   5.817600e-01   1.485230e+01              0             29              5              9   1.107727e+01   1.281650e-01   5.618971e-01
          8000   6.197317e-01   1.436238e+01              0             31              5              9   1.118618e+01   1.600215e-01   5.671003e-01
          8500   6.134560e-01   1.534051e+01              0             31              5             11   1.107054e+01   1.517871e-01   5.647384e-01
          9000   6.131539e-01   1.633856e+01              0             30              5              9   1.103802e+01   1.572722e-01   5.648526e-01
          9500   6.025554e-01   1.730905e+01              0             30              5              8   1.107022e+01   1.464871e-01   5.667039e-01
         10000   5.934273e-01   1.827851e+01              0             30              5              9   1.100719e+01   1.335505e-01   5.669835e-01
         10500   6.097086e-01   1.925993e+01              0             31              5              7   1.142723e+01   1.515025e-01   5.796336e-01
         11000   6.063225e-01   2.024480e+01              0             32              5              9   1.127666e+01   1.300298e-01   5.731846e-01
         11500   6.111647e-01   2.123795e+01              0             30              5              9   1.128219e+01   1.274725e-01   5.752791e-01
         12000   5.881843e-01   2.327984e+01              0             30              5              8   1.106308e+01   1.151445e-01   5.613263e-01
         12500   5.898837e-01   2.427676e+01              0             31              5              9   1.126702e+01   1.235330e-01   5.754230e-01
         13000   5.968956e-01   2.404618e+01              0             32              4              9   1.104169e+01   1.067497e-01   5.654020e-01
         13500   6.061335e-01   2.621336e+01              0             31              5             11   1.128615e+01   1.239382e-01   5.625512e-01
         14000   5.804588e-01   2.719238e+01              0             35              5              8   1.121664e+01   1.493616e-01   5.621870e-01
         14500   5.894228e-01   2.818194e+01              0             31              5             10   1.118453e+01   1.520953e-01   5.653686e-01
         15000   5.614299e-01   2.917255e+01              0             34              5              8   1.117070e+01   1.418021e-01   5.609601e-01
         15500   5.613598e-01   3.012751e+01              0             32              5              9   1.121256e+01   1.258693e-01   5.636667e-01
         16000   5.823367e-01   3.112094e+01              0             31              4              9   1.135807e+01   1.361527e-01   5.699221e-01
         16500   5.909004e-01   3.211245e+01              0             32              4              9   1.136404e+01   1.452328e-01   5.688082e-01
         17000   6.060313e-01   3.309334e+01              0             27              5              9   1.125210e+01   1.541373e-01   5.661155e-01
         17500   5.890876e-01   3.405196e+01              0             30              5              8   1.095145e+01   1.467889e-01   5.544293e-01
         18000   5.846790e-01   3.504586e+01              0             30              5              9   1.115520e+01   1.390192e-01   5.652836e-01
         18500   5.839191e-01   3.603158e+01              0             31              5             10   1.104213e+01   1.567214e-01   5.605742e-01
         19000   5.827098e-01   3.702595e+01              0             32              5              9   1.111254e+01   1.281685e-01   5.572369e-01
         19500   5.797933e-01   3.801489e+01              0             33              5              9   1.085743e+01   1.250300e-01   5.505873e-01
         20000   6.103089e-01   3.680496e+01              0             27              5              9   1.107998e+01   1.313804e-01   5.598834e-01
         20500   5.909929e-01   3.993847e+01              0             29              5             11   1.113798e+01   1.290383e-01   5.607161e-01
         21000   5.851073e-01   4.093177e+01              0             31              5              8   1.123154e+01   1.382572e-01   5.634420e-01
         21500   6.135181e-01   3.963543e+01              0             30              5              8   1.134257e+01   1.194595e-01   5.736263e-01
         22000   5.913929e-01   4.286084e+01              0             32              5             11   1.090169e+01   1.385645e-01   5.544688e-01
         22500   5.962215e-01   4.383523e+01              0             32              5              9   1.125028e+01   1.285570e-01   5.634430e-01
         23000   5.977972e-01   4.247662e+01              0             31              5             10   1.119900e+01   1.455518e-01   5.641055e-01
         23500   5.891533e-01   4.580728e+01              0             32              5              9   1.108827e+01   1.249334e-01   5.629587e-01
         24000   5.743594e-01   4.678539e+01              0             33              5             10   1.107081e+01   1.491676e-01   5.628367e-01
         24500   5.611381e-01   4.777666e+01              0             33              5              9   1.121499e+01   1.336593e-01   5.610483e-01
         25000   5.921489e-01   4.606579e+01              0             31              5             10   1.145089e+01   1.355327e-01   5.680888e-01
         25500   5.758165e-01   4.974200e+01              0             30              5              7   1.102345e+01   1.234199e-01   5.585873e-01
         26000   6.090282e-01   4.786595e+01              0             31              4              8   1.106881e+01   1.251376e-01   5.615834e-01
         26500   6.387626e-01   4.886083e+01              0             28              4              9   1.118757e+01   1.224921e-01   5.671389e-01
         27000   5.962540e-01   4.983834e+01              0             29              4              8   1.099720e+01   1.323104e-01   5.596134e-01
         27500   5.794037e-01   5.348426e+01              0             30              4              9   1.108057e+01   1.264229e-01   5.634490e-01
         28000   5.801649e-01   5.445418e+01              0             31              5              8   1.119088e+01   1.429088e-01   5.669109e-01
         28500   6.092995e-01   5.261703e+01              0             30              5              9   1.139091e+01   1.329755e-01   5.759393e-01
         29000   6.239017e-01   5.360835e+01              0             28              5              6   1.145471e+01   1.533362e-01   5.762411e-01
         29500   5.906868e-01   5.725115e+01              0             31              4              8   1.132962e+01   1.511355e-01   5.678475e-01
         30000   5.886618e-01   5.824774e+01              0             28              5              9   1.110443e+01   1.492292e-01   5.679183e-01
         30500   5.764692e-01   5.923509e+01              0             28              5              9   1.115566e+01   1.702160e-01   5.659995e-01
         31000   6.065178e-01   5.728265e+01              0             29              4             10   1.117012e+01   1.654642e-01   5.722821e-01
         31500   5.981884e-01   6.116819e+01              0             29              4              9   1.117983e+01   1.586720e-01   5.685797e-01
         32000   5.908056e-01   6.214387e+01              0             31              4              9   1.118489e+01   1.509159e-01   5.622382e-01
         32500   5.659212e-01   6.313158e+01              0             32              4              8   1.106630e+01   1.568025e-01   5.603797e-01
         33000   5.814235e-01   6.410897e+01              0             31              5              9   1.120053e+01   1.664869e-01   5.616946e-01
         33500   5.743875e-01   6.510385e+01              0             32              5             10   1.100817e+01   1.661400e-01   5.560240e-01
         34000   5.685300e-01   6.608102e+01              0             32              5              8   1.111883e+01   1.655160e-01   5.616356e-01
         34500   5.712269e-01   5.586674e+01              0             31              5             11   1.110306e+01   1.476196e-01   5.625872e-01
         35000   6.233763e-01   6.430340e+01              0             30              5              8   1.134885e+01   1.523205e-01   5.747947e-01
         35500   5.991449e-01   6.529887e+01              0             31              5              8   1.103415e+01   1.400979e-01   5.584374e-01
         36000   5.881005e-01   6.981346e+01              0             33              5              9   1.116422e+01   1.511569e-01   5.634684e-01
         36500   6.076790e-01   6.712866e+01              0             32              5              8   1.127065e+01   1.408941e-01   5.671180e-01
         37000   5.907600e-01   6.805904e+01              0             32              5              8   1.110236e+01   1.306532e-01   5.612687e-01
         37500   5.628830e-01   7.275082e+01              0             33              4              9   1.110029e+01   1.274175e-01   5.591339e-01
         38000   6.047989e-01   6.987200e+01              0             30              4              8   1.132334e+01   1.281929e-01   5.661831e-01
         38500   5.835870e-01   7.468581e+01              0             30              4              7   1.115810e+01   1.437899e-01   5.614567e-01
         39000   5.760403e-01   7.568308e+01              0             31              5              9   1.110306e+01   1.616995e-01   5.606259e-01
         39500   5.614908e-01   7.667673e+01              0             29              5              9   1.124452e+01   1.428077e-01   5.638714e-01
         40000   6.007153e-01   7.354019e+01              0             30              5             11   1.136138e+01   1.296750e-01   5.653368e-01
         40500   6.019161e-01   7.451950e+01              0             32              5              9   1.111761e+01   1.281174e-01   5.599634e-01
         41000   5.822267e-01   7.548734e+01              0             32              4              7   1.103096e+01   1.350374e-01   5.617501e-01
         41500   5.827087e-01   8.045445e+01              0             28              5              8   1.129051e+01   1.190653e-01   5.619423e-01
         42000   5.761912e-01   8.144337e+01              0             31              5              9   1.137727e+01   1.305168e-01   5.682395e-01
         42500   5.510959e-01   8.240724e+01              0             32              5              7   1.123389e+01   1.272548e-01   5.634137e-01
         43000   5.686043e-01   8.339134e+01              0             30              5              8   1.114110e+01   1.166284e-01   5.620621e-01
         43500   5.680051e-01   8.438972e+01              0             31              4             10   1.118389e+01   1.256455e-01   5.595751e-01
         44000   5.653106e-01   8.531486e+01              0             31              4              9   1.138223e+01   1.229715e-01   5.656367e-01
         44500   5.854221e-01   8.630905e+01              0             29              4             10   1.155315e+01   1.079642e-01   5.759901e-01
         45000   5.850481e-01   8.730616e+01              0             30              5              7   1.154258e+01   1.017286e-01   5.753504e-01
         45500   6.159588e-01   8.311637e+01              0             29              4              7   1.150308e+01   1.006684e-01   5.737265e-01
         46000   5.903560e-01   8.911367e+01              0             31              5              8   1.137847e+01   1.050261e-01   5.756315e-01
         46500   5.759591e-01   9.010762e+01              0             30              5              9   1.111748e+01   1.062417e-01   5.646734e-01
         47000   6.075749e-01   8.593117e+01              0             29              5              9   1.126310e+01   9.742684e-02   5.685319e-01
         47500   6.026784e-01   8.692192e+01              0             30              5              9   1.158858e+01   1.111349e-01   5.797148e-01
         48000   6.150967e-01   8.791003e+01              0             29              4              7   1.163820e+01   1.061551e-01   5.862104e-01
         48500   6.377946e-01   6.659466e+01              0             28              4              8   1.162445e+01   1.024060e-01   5.820392e-01
         49000   6.315815e-01   8.986929e+01              0             28              5              8   1.159859e+01   1.007966e-01   5.829872e-01
         49500   6.385587e-01   6.852690e+01              0             28              4              8   1.151374e+01   1.085538e-01   5.791287e-01
         50000   5.945545e-01   9.592406e+01              0             29              5              8   1.138990e+01   1.039646e-01   5.785727e-01
         50500   5.780364e-01   9.692149e+01              0             29              5             11   1.150195e+01   8.973503e-02   5.752285e-01
         51000   5.873691e-01   9.791927e+01              0             28              5              7   1.142396e+01   1.042424e-01   5.682860e-01
         51500   5.849986e-01   9.891411e+01              0             28              5              9   1.107456e+01   1.371296e-01   5.607555e-01
         52000   5.833484e-01   9.988185e+01              0             29              5             10   1.126236e+01   1.294719e-01   5.713072e-01
         52500   5.771160e-01   1.008796e+02              0             31              5             10   1.120928e+01   1.311140e-01   5.613301e-01
         53000   6.251788e-01   9.721828e+01              0             30              5              8   1.135883e+01   1.389948e-01   5.714382e-01
         53500   6.067142e-01   9.821387e+01              0             29              5              8   1.113408e+01   1.203388e-01   5.601246e-01
         54000   6.790754e-01   4.531011e+01              0             26              5              9   1.147667e+01   1.301019e-01   5.734910e-01
         54500   6.772949e-01   4.624788e+01              0             26              5             10   1.162767e+01   1.343235e-01   5.843517e-01
         55000   6.693344e-01   7.722516e+01              0             29              5              9   1.143520e+01   1.206024e-01   5.812279e-01
         55500   6.672342e-01   7.820824e+01              0             28              5              9   1.162423e+01   1.218645e-01   5.894904e-01
         56000   6.606158e-01   7.919780e+01              0             28              5              8   1.155110e+01   1.094456e-01   5.775887e-01
         56500   6.705226e-01   8.018852e+01              0             27              5              9   1.153942e+01   1.137918e-01   5.805867e-01
         57000   6.509773e-01   8.117870e+01              0             27              5              8   1.158220e+01   1.112049e-01   5.791280e-01
         57500   6.950788e-01   5.184999e+01              0             25              5              9   1.191557e+01   1.319521e-01   5.913296e-01
         58000   6.777326e-01   5.282593e+01              0             25              5             10   1.162628e+01   1.295088e-01   5.791705e-01
         58500   6.553285e-01   8.409187e+01              0             29              5              8   1.123418e+01   1.322441e-01   5.663902e-01
         59000   6.572348e-01   8.508657e+01              0             28              5              9   1.142765e+01   1.427317e-01   5.737421e-01
         59500   6.552870e-01   8.607608e+01              0             29              5              6   1.137634e+01   1.292646e-01   5.774522e-01
         60000   6.532755e-01   8.707042e+01              0             30              5              7   1.156695e+01   1.399175e-01   5.841157e-01
         60500   6.812282e-01   5.737044e+01              0             30              5              8   1.165869e+01   1.398121e-01   5.852637e-01
         61000   6.715071e-01   8.902600e+01              0             27              5              8   1.165988e+01   1.517776e-01   5.814413e-01
         61500   6.750051e-01   5.924266e+01              0             28              5              9   1.132339e+01   1.465179e-01   5.755241e-01
         62000   6.562140e-01   9.100578e+01              0             28              5              9   1.133238e+01   1.195266e-01   5.723405e-01
         62500   6.150389e-01   1.131561e+02              0             29              5              8   1.135397e+01   1.314435e-01   5.714220e-01
         63000   6.056618e-01   1.141531e+02              0             30              5              9   1.148486e+01   1.173302e-01   5.716973e-01
         63500   6.005414e-01   1.151418e+02              0             30              6              8   1.116461e+01   1.225872e-01   5.654155e-01
         64000   5.906622e-01   1.153622e+02              0             30              5             10   1.099907e+01   1.225507e-01   5.542712e-01
         64500   5.784416e-01   1.163607e+02              0             29              5              8   1.111521e+01   1.272975e-01   5.581369e-01
         65000   5.682665e-01   9.379737e+01              0             31              5             11   1.090157e+01   1.318736e-01   5.492267e-01
         65500   5.511479e-01   9.478984e+01              0             33              5             10   1.085348e+01   1.360112e-01   5.499194e-01
         66000   5.805879e-01   1.192335e+02              0             29              5              8   1.106438e+01   1.156640e-01   5.609373e-01
         66500   5.964350e-01   1.202224e+02              0             27              5              8   1.126027e+01   1.247450e-01   5.670790e-01
         67000   5.694697e-01   9.749145e+01              0             30              5              9   1.129860e+01   1.093739e-01   5.674888e-01
         67500   5.698343e-01   9.846084e+01              0             30              5              9   1.140519e+01   1.116868e-01   5.714968e-01
         68000   6.098080e-01   1.226483e+02              0             28              5              8   1.144750e+01   1.306743e-01   5.707903e-01
         68500   6.180383e-01   1.236416e+02              0             27              5              9   1.164410e+01   1.322429e-01   5.871049e-01
         69000   6.691895e-01   1.005837e+02              0             28              5             10   1.183839e+01   1.479716e-01   5.977168e-01
         69500   6.821970e-01   1.015224e+02              0             27              4              7   1.177559e+01   1.418332e-01   5.931306e-01
         70000   6.935564e-01   6.806836e+01              0             29              5              8   1.143212e+01   1.490320e-01   5.804333e-01
         70500   7.133640e-01   6.906372e+01              0             28              5              6   1.140926e+01   1.566994e-01   5.803865e-01
         71000   7.046743e-01   7.005449e+01              0             28              5              7   1.151242e+01   1.422203e-01   5.835976e-01
         71500   7.182339e-01   7.104093e+01              0             27              5              5   1.127378e+01   1.538054e-01   5.843510e-01
         72000   6.872661e-01   7.201989e+01              0             28              5              8   1.129729e+01   1.398415e-01   5.739643e-01
         72500   6.679392e-01   7.300697e+01              0             30              5              9   1.134829e+01   1.472057e-01   5.773580e-01
         73000   6.470028e-01   1.078241e+02              0             30              5              7   1.122000e+01   1.464252e-01   5.795197e-01
         73500   6.537691e-01   1.088208e+02              0             31              5              8   1.138845e+01   1.560318e-01   5.779470e-01
         74000   6.387608e-01   1.098042e+02              0             30              5              8   1.127476e+01   1.576751e-01   5.760956e-01
         74500   6.081741e-01   1.326153e+02              0             32              5              8   1.130618e+01   1.557955e-01   5.715520e-01
         75000   6.542166e-01   1.116486e+02              0             29              4              7   1.150452e+01   1.542919e-01   5.870517e-01
         75500   6.621991e-01   1.126422e+02              0             29              5              8   1.136734e+01   1.366829e-01   5.793196e-01
         76000   6.550289e-01   1.136306e+02              0             33              4              9   1.103995e+01   1.737748e-01   5.697454e-01
         76500   6.511723e-01   1.146224e+02              0             28              4              8   1.136926e+01   1.720388e-01   5.788574e-01
         77000   6.977287e-01   8.068131e+01              0             25              5              9   1.136442e+01   1.878129e-01   5.846438e-01
         77500   6.931600e-01   8.166783e+01              0             28              5              7   1.135080e+01   2.030389e-01   5.855020e-01
         78000   7.584769e-01   4.875484e+01              0             23              5              5   1.175300e+01   1.927319e-01   5.966488e-01
         78500   6.975198e-01   8.350576e+01              0             26              4              6   1.174158e+01   1.802679e-01   5.920463e-01
         79000   7.363175e-01   5.060518e+01              0             22              5              6   1.179343e+01   1.906865e-01   5.936740e-01
         79500   7.196793e-01   8.543015e+01              0             29              4              7   1.207878e+01   1.854053e-01   6.086130e-01
         80000   7.401341e-01   5.256205e+01              0             29              5              8   1.220425e+01   1.887134e-01   6.134889e-01
         80500   7.470160e-01   5.355210e+01              0             29              5              6   1.192660e+01   1.973566e-01   6.078085e-01
         81000   7.634184e-01   5.454074e+01              0             26              4              6   1.143144e+01   1.726909e-01   5.860421e-01
         81500   7.380941e-01   5.553492e+01              0             30              3              6   1.199610e+01   1.840896e-01   6.075578e-01
         82000   7.859111e-01   3.068115e+01              0             29              4              7   1.230794e+01   1.883961e-01   6.194932e-01
         82500   7.813004e-01   3.165112e+01              0             26              5              7   1.226484e+01   2.098340e-01   6.309354e-01
         83000   7.902032e-01   3.262276e+01              0             24              4              6   1.243717e+01   2.140236e-01   6.337765e-01
         83500   7.990654e-01   3.361594e+01              0             23              4              6   1.232486e+01   2.174183e-01   6.231890e-01
         84000   7.939727e-01   3.458903e+01              0             22              4              6   1.226042e+01   2.064799e-01   6.214881e-01
         84500   7.965074e-01   3.556375e+01              0             26              4              7   1.238538e+01   2.059818e-01   6.303179e-01
         85000   7.802204e-01   3.654257e+01              0             24              4              6   1.246977e+01   2.102919e-01   6.349089e-01
         85500   7.890886e-01   3.749100e+01              0             23              4              6   1.246746e+01   2.180090e-01   6.319932e-01
         86000   7.717974e-01   6.413965e+01              0             24              4              6   1.242548e+01   2.221371e-01   6.349281e-01
         86500   7.751536e-01   3.942380e+01              0             23              4              5   1.229815e+01   2.107647e-01   6.202430e-01
         87000   7.968667e-01   4.039285e+01              0             22              4              7   1.237631e+01   2.072531e-01   6.249905e-01
         87500   7.895874e-01   4.136395e+01              0             28              4              5   1.246041e+01   2.023945e-01   6.247010e-01
         88000   7.991548e-01   4.234930e+01              0             21              4              4   1.240180e+01   2.121126e-01   6.282155e-01
         88500   7.985579e-01   4.333730e+01              0             23              4              6   1.242810e+01   2.181344e-01   6.334687e-01
         89000   8.152081e-01   4.432173e+01              0             25              4              5   1.260824e+01   2.469440e-01   6.506098e-01
         89500   8.361624e-01   2.634221e+01              0             21              4              4   1.254306e+01   2.230545e-01   6.292821e-01
         90000   8.323397e-01   4.628084e+01              0             20              4              5   1.229294e+01   2.133606e-01   6.254752e-01
         90500   8.098679e-01   4.724964e+01              0             22              4              5   1.267545e+01   2.135204e-01   6.293887e-01
