         r_bin          count          force            pmf
      0.275000           5864   1.047797e+03   1.028277e+02
      0.325000          33835   8.082163e+02   6.241685e+01
      0.375000          40760   6.225389e+02   3.128990e+01
      0.425000          20312   4.860474e+02   6.987532e+00
      0.475000          18386   1.397506e+02   0.000000e+00
      0.525000          51702  -7.494323e+01   3.747162e+00
      0.575000          26097  -2.412574e+02   1.581003e+01
      0.625000          23701  -1.166764e+02   2.164385e+01
      0.675000          24496  -3.753662e+02   4.041216e+01
      0.725000          35508  -4.399007e+02   6.240719e+01
      0.775000          26196  -4.609956e+02   8.545698e+01
      0.825000          17347  -3.061608e+02   1.007650e+02
      0.875000          27375  -2.645239e+02   1.139912e+02
      0.925000          28361  -3.078185e+02   1.293821e+02
      0.975000          23702  -2.100980e+02   1.398870e+02
      1.025000          33476  -2.600926e+02   1.528917e+02
      1.075000          27930  -9.553810e+01   1.576686e+02
      1.125000          34845  -2.818759e+02   1.717624e+02
      1.175000          20896  -3.718678e+02   1.903558e+02
      1.225000          29342  -2.918049e+02   2.049460e+02
      1.275000          28795  -4.266584e+02   2.262789e+02
      1.325000          18100  -2.826560e+02   2.404117e+02
      1.375000          21570  -1.216545e+01   2.410200e+02
      1.425000          25177  -1.019017e+02   2.461151e+02
      1.475000          22422  -1.130376e+02   2.517670e+02
      1.525000          20266  -1.819303e+02   2.608635e+02
      1.575000          14433  -2.361066e+02   2.726688e+02
      1.625000          14607  -1.272438e+02   2.790310e+02
      1.675000          13119  -1.303982e+02   2.855509e+02
      1.725000          22559  -1.342460e+02   2.922632e+02
      1.775000          15959  -1.337642e+02   2.989514e+02
      1.825000          10979  -5.940966e+01   3.019219e+02
      1.875000          19631  -1.357108e+02   3.087074e+02
      1.925000          16605  -1.258123e+02   3.149981e+02
      1.975000           8418  -1.483500e+02   3.224156e+02
      2.025000          14173  -1.536243e+02   3.300968e+02
      2.075000          15898  -1.848919e+02   3.393414e+02
      2.125000          13630  -1.573195e+02   3.472073e+02
      2.175000          12269  -1.193123e+02   3.531730e+02
      2.225000          13375  -1.470809e+02   3.605270e+02
      2.275000          10765  -1.736844e+02   3.692112e+02
      2.325000          11069  -9.956611e+01   3.741895e+02
      2.375000          10189  -1.182373e+02   3.801014e+02
      2.425000           6440  -1.465617e+02   3.874295e+02
      2.475000           7652  -5.894892e+01   3.903769e+02
      2.525000          20972  -1.782466e+02   3.992893e+02
      2.575000          19543  -3.076555e+02   4.146720e+02
      2.625000           4254  -4.315937e+02   4.362517e+02
