          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   5.280130e-01   0.000000e+00              3             72              1              8   1.773648e+01   0.000000e+00   9.828418e-01
           500   5.217860e-01   9.990008e-01              3             67              2              6   1.810969e+01   6.745222e-02   1.004151e+00
          1000   5.077986e-01   1.993493e+00              4             70              1              4   1.787731e+01   7.581028e-02   1.003762e+00
          1500   5.494412e-01   2.985889e+00              3             65              1              5   1.813481e+01   7.297707e-02   1.006635e+00
          2000   5.286454e-01   3.980913e+00              3             69              2              5   1.801344e+01   8.508451e-02   1.007723e+00
          2500   5.433322e-01   4.955713e+00              3             71              1              7   1.800611e+01   8.178354e-02   1.004645e+00
          3000   5.462468e-01   5.932865e+00              3             70              1              7   1.803444e+01   8.326780e-02   1.001124e+00
          3500   5.205532e-01   5.877428e+00              4             75              2              8   1.831778e+01   8.990718e-02   1.008466e+00
          4000   5.272460e-01   7.888034e+00              4             72              1              8   1.843572e+01   9.511811e-02   1.000725e+00
          4500   5.390743e-01   8.883346e+00              5             69              2              7   1.854685e+01   1.176872e-01   9.906102e-01
          5000   5.226105e-01   9.870658e+00              4             71              2              7   1.837168e+01   9.912021e-02   1.013232e+00
          5500   5.290598e-01   1.082696e+01              3             69              1              3   1.817168e+01   1.048053e-01   9.924304e-01
          6000   5.330130e-01   1.182453e+01              3             71              1              7   1.799591e+01   1.104801e-01   1.004310e+00
          6500   5.435530e-01   1.280604e+01              3             68              1              5   1.785190e+01   1.081773e-01   1.007990e+00
          7000   5.372904e-01   1.273772e+01              3             70              2              9   1.786511e+01   1.160841e-01   1.005422e+00
          7500   5.517062e-01   1.368555e+01              3             67              1              5   1.803265e+01   1.380941e-01   1.012292e+00
          8000   5.610392e-01   1.570161e+01              3             65              1              9   1.826578e+01   1.267596e-01   1.018253e+00
          8500   5.320791e-01   1.667090e+01              3             62              1              4   1.806806e+01   1.300317e-01   1.027789e+00
          9000   5.315232e-01   1.766245e+01              3             64              1              9   1.813130e+01   1.387500e-01   1.024937e+00
          9500   5.300525e-01   1.863681e+01              3             63              1              7   1.817764e+01   1.324256e-01   1.010627e+00
         10000   5.463654e-01   1.962119e+01              3             67              1              9   1.782729e+01   1.208852e-01   1.004065e+00
         10500   5.517290e-01   1.932564e+01              4             65              1              8   1.813780e+01   1.335340e-01   1.023617e+00
         11000   5.620680e-01   2.031417e+01              3             64              1              7   1.786702e+01   1.412633e-01   1.027283e+00
         11500   5.800993e-01   2.131003e+01              3             65              1              6   1.800152e+01   1.439360e-01   1.029819e+00
         12000   5.524852e-01   2.229556e+01              4             64              1              6   1.813072e+01   1.460776e-01   1.041344e+00
         12500   5.549651e-01   2.328479e+01              3             64              2              6   1.831904e+01   1.650519e-01   1.059753e+00
         13000   5.851651e-01   2.427904e+01              3             61              2              7   1.827055e+01   1.764002e-01   1.058368e+00
         13500   5.652764e-01   2.527339e+01              3             64              3              9   1.812487e+01   1.730001e-01   1.042088e+00
         14000   5.727449e-01   2.626981e+01              3             63              3              7   1.811060e+01   1.669846e-01   1.041250e+00
         14500   5.937578e-01   2.724359e+01              3             64              1              9   1.817635e+01   1.660652e-01   1.043248e+00
         15000   5.590792e-01   2.822318e+01              3             63              1              7   1.843513e+01   1.550461e-01   1.041413e+00
         15500   5.720147e-01   2.921800e+01              3             62              1              5   1.814170e+01   1.715879e-01   1.041990e+00
         16000   5.715183e-01   3.020027e+01              2             62              1              6   1.815162e+01   1.611915e-01   1.047611e+00
         16500   5.711831e-01   3.119413e+01              3             61              1              7   1.838507e+01   1.671271e-01   1.053128e+00
         17000   5.563434e-01   3.217802e+01              3             64              1              7   1.821862e+01   1.711452e-01   1.039046e+00
         17500   5.485812e-01   3.315182e+01              3             61              1              7   1.806213e+01   1.644438e-01   1.048450e+00
         18000   5.625674e-01   3.413570e+01              3             64              2              7   1.812803e+01   1.592280e-01   1.046081e+00
         18500   5.371887e-01   3.493927e+01              3             64              1              6   1.834177e+01   1.472984e-01   1.042090e+00
         19000   5.395092e-01   3.593127e+01              3             62              1              9   1.813141e+01   1.579391e-01   1.036668e+00
         19500   5.492762e-01   3.701528e+01              3             64              1              8   1.833065e+01   1.639275e-01   1.049189e+00
         20000   5.579409e-01   3.782609e+01              3             65              2              8   1.846622e+01   1.739362e-01   1.045334e+00
         20500   5.432648e-01   3.877571e+01              3             64              1              9   1.851781e+01   1.731967e-01   1.047868e+00
         21000   5.249059e-01   3.975800e+01              3             64              2              6   1.812587e+01   1.833319e-01   1.035246e+00
         21500   5.341058e-01   4.075142e+01              3             64              1              4   1.819841e+01   1.913686e-01   1.038660e+00
         22000   5.634958e-01   4.170885e+01              3             63              1              5   1.819755e+01   1.902874e-01   1.053448e+00
         22500   5.661008e-01   4.270365e+01              3             64              1              5   1.815106e+01   1.796931e-01   1.053581e+00
         23000   5.458936e-01   4.365582e+01              4             65              2              7   1.803970e+01   1.686089e-01   1.030759e+00
         23500   5.460617e-01   4.455422e+01              3             66              2              6   1.824170e+01   1.580071e-01   1.030583e+00
         24000   5.437818e-01   4.552262e+01              3             65              2              6   1.783375e+01   1.782710e-01   1.038497e+00
         24500   5.194571e-01   4.650183e+01              4             63              1              6   1.805704e+01   1.723529e-01   1.045839e+00
         25000   5.252527e-01   4.749921e+01              3             63              1              7   1.821074e+01   1.809499e-01   1.037509e+00
         25500   5.282015e-01   4.849723e+01              3             64              1              7   1.819785e+01   1.817852e-01   1.041560e+00
         26000   5.339541e-01   4.949026e+01              3             65              2              7   1.829378e+01   1.988004e-01   1.055286e+00
         26500   5.333677e-01   5.048442e+01              3             64              2              7   1.819291e+01   1.974887e-01   1.028627e+00
         27000   5.400451e-01   5.147213e+01              4             65              1              7   1.826604e+01   2.059903e-01   1.048957e+00
         27500   5.157355e-01   5.246135e+01              3             65              1              7   1.820441e+01   1.984691e-01   1.044467e+00
         28000   5.360162e-01   5.345500e+01              3             64              1              7   1.854676e+01   2.077585e-01   1.045683e+00
         28500   5.125994e-01   5.443564e+01              4             64              1              6   1.802734e+01   1.912573e-01   1.023328e+00
         29000   5.104266e-01   4.463685e+01              3             67              2              6   1.799154e+01   2.101323e-01   1.033062e+00
         29500   5.082578e-01   4.561317e+01              3             65              1              6   1.802578e+01   1.954541e-01   1.031424e+00
         30000   5.243459e-01   5.735840e+01              4             65              2              8   1.811656e+01   2.056045e-01   1.045844e+00
         30500   5.173557e-01   4.739997e+01              3             65              1              6   1.823310e+01   1.882653e-01   1.034206e+00
         31000   5.108459e-01   5.929759e+01              3             65              2              5   1.820747e+01   1.964211e-01   1.048444e+00
         31500   5.034413e-01   4.935443e+01              3             63              1              8   1.822774e+01   1.762999e-01   1.034039e+00
         32000   5.423913e-01   6.122207e+01              3             64              1              7   1.833973e+01   1.586573e-01   1.030791e+00
         32500   5.552393e-01   5.994724e+01              3             65              1              5   1.833714e+01   1.754083e-01   1.042600e+00
         33000   5.500929e-01   6.090946e+01              3             65              1              5   1.824601e+01   1.668806e-01   1.039315e+00
         33500   5.647134e-01   6.187323e+01              3             65              1              8   1.818126e+01   1.752367e-01   1.047280e+00
         34000   6.055801e-01   4.819767e+01              4             66              2              7   1.820741e+01   1.828456e-01   1.041649e+00
         34500   5.787984e-01   6.375608e+01              3             65              1              4   1.809780e+01   1.724895e-01   1.029677e+00
         35000   5.697063e-01   6.473588e+01              3             64              1              8   1.804188e+01   1.733670e-01   1.030176e+00
         35500   5.588256e-01   6.572848e+01              4             65              1              8   1.805326e+01   1.584103e-01   1.043118e+00
         36000   5.539130e-01   6.670743e+01              4             66              1              9   1.804308e+01   1.689452e-01   1.035581e+00
         36500   5.981641e-01   5.261074e+01              4             65              1              8   1.810610e+01   1.611192e-01   1.047589e+00
         37000   5.853872e-01   6.864789e+01              3             64              1              8   1.803927e+01   1.498882e-01   1.035198e+00
         37500   5.813218e-01   6.963943e+01              3             65              1              6   1.853258e+01   1.549964e-01   1.051076e+00
         38000   5.810537e-01   7.063387e+01              3             65              1              5   1.820796e+01   1.466475e-01   1.041421e+00
         38500   5.867850e-01   7.161694e+01              4             66              1              5   1.820346e+01   1.617745e-01   1.043974e+00
         39000   5.832408e-01   7.260490e+01              3             67              1              8   1.840068e+01   1.491357e-01   1.039092e+00
         39500   5.840508e-01   7.360016e+01              3             69              2              5   1.822146e+01   1.492969e-01   1.031882e+00
         40000   5.953021e-01   5.907010e+01              4             69              2              7   1.824168e+01   1.561996e-01   1.030982e+00
         40500   5.721147e-01   7.554176e+01              3             66              1              6   1.821305e+01   1.740403e-01   1.035197e+00
         41000   5.797572e-01   7.649953e+01              3             68              2              7   1.824846e+01   1.586710e-01   1.039843e+00
         41500   5.814360e-01   7.748492e+01              3             65              2              5   1.814997e+01   1.754356e-01   1.054792e+00
         42000   6.054858e-01   6.289980e+01              4             65              2              8   1.824888e+01   1.623472e-01   1.045848e+00
         42500   5.735931e-01   7.934028e+01              3             64              2              8   1.823606e+01   1.628165e-01   1.043379e+00
         43000   5.607385e-01   8.032833e+01              4             66              1              8   1.831367e+01   1.589018e-01   1.038039e+00
         43500   5.600716e-01   8.132202e+01              4             65              1              7   1.847195e+01   1.617046e-01   1.034086e+00
         44000   5.908263e-01   6.645623e+01              3             65              1              9   1.822604e+01   1.759681e-01   1.040657e+00
         44500   5.487777e-01   8.329555e+01              4             65              2              7   1.815582e+01   1.778646e-01   1.025221e+00
         45000   5.617063e-01   8.426586e+01              4             66              2              7   1.845086e+01   1.685333e-01   1.035718e+00
         45500   5.401271e-01   8.380925e+01              4             65              1              8   1.819299e+01   1.637402e-01   1.034968e+00
         46000   5.344678e-01   8.480726e+01              3             66              1              4   1.820305e+01   1.633193e-01   1.043315e+00
         46500   5.668998e-01   8.701826e+01              3             65              1              5   1.821593e+01   1.673988e-01   1.045371e+00
         47000   5.921094e-01   8.800930e+01              4             65              1              8   1.797008e+01   1.515951e-01   1.033729e+00
         47500   5.774169e-01   7.206136e+01              4             66              1              9   1.825009e+01   1.700670e-01   1.049182e+00
         48000   5.462884e-01   8.834397e+01              4             66              1              7   1.821487e+01   1.577346e-01   1.033455e+00
         48500   5.638949e-01   9.093961e+01              4             65              2              9   1.831264e+01   1.643086e-01   1.039631e+00
         49000   5.738138e-01   9.192886e+01              4             66              1              6   1.830773e+01   1.799393e-01   1.042131e+00
         49500   5.917903e-01   7.559837e+01              4             65              1              5   1.804617e+01   1.701695e-01   1.039197e+00
         50000   6.000778e-01   7.659463e+01              4             66              1              7   1.816023e+01   1.686939e-01   1.039306e+00
         50500   5.769199e-01   9.477016e+01              4             67              1              7   1.825965e+01   1.792156e-01   1.037535e+00
         51000   5.439405e-01   9.319827e+01              3             66              1              6   1.807255e+01   1.969173e-01   1.039463e+00
         51500   5.331606e-01   9.419031e+01              3             65              1              3   1.795141e+01   1.859392e-01   1.037698e+00
         52000   5.453355e-01   9.518628e+01              3             63              1              2   1.814789e+01   2.120174e-01   1.038116e+00
         52500   5.351052e-01   9.617999e+01              3             70              2              8   1.808635e+01   1.883419e-01   1.028150e+00
         53000   5.045594e-01   7.588438e+01              3             70              1              9   1.802007e+01   1.897164e-01   1.039263e+00
         53500   5.058499e-01   7.687924e+01              3             67              1              8   1.803136e+01   1.967751e-01   1.035070e+00
         54000   4.926954e-01   7.787803e+01              4             70              2              9   1.800313e+01   1.920608e-01   1.036665e+00
         54500   5.075650e-01   7.885386e+01              3             70              3              7   1.816290e+01   1.911047e-01   1.053865e+00
         55000   5.023922e-01   7.984666e+01              2             68              2              6   1.806300e+01   1.860564e-01   1.030932e+00
         55500   5.063542e-01   8.084198e+01              3             69              2              8   1.777813e+01   1.799481e-01   1.039109e+00
         56000   5.067507e-01   8.183861e+01              3             68              1              6   1.800968e+01   1.897195e-01   1.046470e+00
         56500   4.866621e-01   8.283370e+01              3             68              2              3   1.815271e+01   1.734338e-01   1.037168e+00
         57000   5.109236e-01   8.381089e+01              4             68              2              7   1.808556e+01   1.756142e-01   1.036307e+00
         57500   5.192171e-01   8.476384e+01              3             69              2              6   1.811525e+01   1.562425e-01   1.040828e+00
         58000   4.874011e-01   8.573829e+01              2             68              2              3   1.817749e+01   1.708392e-01   1.039886e+00
         58500   4.810917e-01   8.673239e+01              3             69              2              7   1.816032e+01   1.872620e-01   1.043254e+00
         59000   4.880843e-01   8.772477e+01              3             69              2              8   1.814646e+01   1.564382e-01   1.037553e+00
         59500   4.755672e-01   8.871061e+01              4             68              1              6   1.829906e+01   1.755149e-01   1.041024e+00
         60000   4.757753e-01   8.969571e+01              3             68              2              5   1.808672e+01   1.894767e-01   1.037936e+00
         60500   4.852929e-01   9.067056e+01              3             66              2              7   1.818015e+01   1.901802e-01   1.038346e+00
         61000   4.877782e-01   9.163238e+01              4             69              2              7   1.829729e+01   1.810254e-01   1.048856e+00
         61500   5.062103e-01   9.262245e+01              3             70              2              7   1.817410e+01   1.716324e-01   1.023332e+00
         62000   5.116795e-01   9.361474e+01              3             66              2              4   1.800638e+01   1.475276e-01   1.025364e+00
         62500   4.853498e-01   9.460891e+01              3             66              2              4   1.820426e+01   1.710207e-01   1.034017e+00
         63000   5.119552e-01   9.559122e+01              4             69              2              6   1.823635e+01   1.592996e-01   1.031628e+00
         63500   5.187919e-01   1.156545e+02              4             68              2              7   1.836091e+01   1.665376e-01   1.036635e+00
         64000   5.265264e-01   1.166514e+02              3             67              2             10   1.805860e+01   1.638615e-01   1.013355e+00
         64500   5.262655e-01   1.176263e+02              5             68              2              5   1.830946e+01   1.754370e-01   1.030254e+00
         65000   4.993768e-01   9.936956e+01              4             69              2              7   1.828976e+01   1.715493e-01   1.029901e+00
         65500   4.974025e-01   1.003675e+02              4             72              2              8   1.799130e+01   1.686025e-01   1.028688e+00
         66000   4.758384e-01   6.929328e+01              5             70              2              9   1.800029e+01   1.623545e-01   9.945089e-01
