         r_bin          count          force            pmf
      0.375000           2205   1.292515e+03   1.353604e+02
      0.425000          29413   1.091370e+03   8.079194e+01
      0.475000          37399   8.375545e+02   3.891422e+01
      0.525000          26048   6.018496e+02   8.821739e+00
      0.575000          44485   1.764348e+02   0.000000e+00
      0.625000          13628  -2.737949e+02   1.368975e+01
      0.675000          21747  -3.007003e+02   2.872476e+01
      0.725000          22257  -3.366660e+00   2.889309e+01
      0.775000          32993   2.168331e+01   2.780893e+01
      0.825000          20265  -1.511490e+02   3.536638e+01
      0.875000          18435  -1.423947e+02   4.248611e+01
      0.925000           8300  -2.595958e+02   5.546590e+01
      0.975000          15241  -2.378393e+02   6.735786e+01
      1.025000          12935  -2.523198e+02   7.997385e+01
      1.075000          12492  -2.819650e+02   9.407210e+01
      1.125000           8724  -3.281289e+02   1.104785e+02
      1.175000           2006  -3.697075e+02   1.289639e+02
      1.225000           6605  -2.695020e+02   1.424390e+02
      1.275000          16949  -2.723372e+02   1.560559e+02
      1.325000           3475  -3.458121e+02   1.733465e+02
      1.375000           2799  -3.272427e+02   1.897086e+02
      1.425000           4979  -2.553126e+02   2.024742e+02
      1.475000           2861  -1.937622e+02   2.121624e+02
      1.525000          11558  -1.073856e+02   2.175316e+02
      1.575000          13349  -8.012871e+01   2.215381e+02
      1.625000           8413  -9.588641e+01   2.263324e+02
      1.675000          11508  -2.247156e+02   2.375682e+02
      1.725000          10123  -2.775473e+02   2.514455e+02
      1.775000           2635  -3.583865e+02   2.693649e+02
      1.825000            800  -3.618743e+02   2.874586e+02
      1.875000           1656  -5.752012e+01   2.903346e+02
      1.925000           5852  -1.591264e+02   2.982909e+02
      1.975000           3354  -1.355289e+02   3.050673e+02
      2.025000           1990  -1.199752e+02   3.110661e+02
      2.075000           3619  -9.311679e+01   3.157219e+02
      2.125000           6668  -1.086747e+02   3.211557e+02
      2.175000           5738  -1.468716e+02   3.284993e+02
      2.225000           4180  -1.423103e+02   3.356148e+02
      2.275000           8465  -1.365102e+02   3.424403e+02
      2.325000           9573  -1.314842e+02   3.490145e+02
      2.375000           8317  -4.975202e+01   3.515021e+02
      2.425000          10755  -4.517978e+01   3.537611e+02
      2.475000           8401  -1.458904e+02   3.610556e+02
      2.525000           9202  -1.126057e+02   3.666859e+02
      2.575000           8710  -2.092889e+02   3.771503e+02
      2.625000          11311  -2.125371e+02   3.877772e+02
      2.675000          11292  -3.276109e+02   4.041577e+02
      2.725000           6546  -4.221427e+02   4.252649e+02
      2.775000            244  -5.472950e+02   4.526296e+02
