          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   5.720657e-01   0.000000e+00              0             58              0              4   1.479024e+01   0.000000e+00   7.382249e-01
           500   5.743447e-01   9.950584e-01              0             54              0              4   1.482504e+01   6.113271e-02   7.570672e-01
          1000   5.518616e-01   1.987270e+00              0             56              0              3   1.490931e+01   7.540870e-02   7.494466e-01
          1500   5.986942e-01   2.632657e+00              0             51              0              3   1.461257e+01   7.156487e-02   7.414305e-01
          2000   5.819507e-01   3.963913e+00              0             47              0              3   1.468392e+01   6.975534e-02   7.434577e-01
          2500   5.856538e-01   4.957355e+00              0             51              0              4   1.480304e+01   8.066114e-02   7.418614e-01
          3000   5.864184e-01   5.938919e+00              0             54              0              4   1.473386e+01   8.334853e-02   7.411198e-01
          3500   5.852340e-01   6.935123e+00              0             52              0              4   1.488578e+01   9.204413e-02   7.424271e-01
          4000   5.864681e-01   7.931501e+00              0             52              0              4   1.511086e+01   1.024295e-01   7.577865e-01
          4500   5.691646e-01   8.925903e+00              0             45              0              3   1.502615e+01   1.140096e-01   7.571270e-01
          5000   5.607213e-01   9.919264e+00              0             51              0              4   1.468374e+01   1.072834e-01   7.422876e-01
          5500   5.545171e-01   1.087812e+01              0             48              0              4   1.466070e+01   1.182747e-01   7.301128e-01
          6000   5.894429e-01   1.187087e+01              0             45              0              3   1.460938e+01   1.287678e-01   7.290892e-01
          6500   5.783604e-01   1.286478e+01              0             49              0              2   1.491369e+01   1.273069e-01   7.420513e-01
          7000   5.719020e-01   1.385146e+01              0             50              0              3   1.466217e+01   1.121870e-01   7.319068e-01
          7500   5.733458e-01   1.483484e+01              0             44              0              2   1.505387e+01   1.157042e-01   7.506991e-01
          8000   5.343070e-01   1.399099e+01              0             52              0              4   1.501034e+01   1.108368e-01   7.589592e-01
          8500   5.693129e-01   1.677360e+01              0             47              0              3   1.467151e+01   1.236492e-01   7.510991e-01
          9000   5.708804e-01   1.776821e+01              0             54              0              3   1.488187e+01   9.899265e-02   7.492020e-01
          9500   5.958468e-01   1.660720e+01              0             51              0              2   1.491764e+01   9.020571e-02   7.402454e-01
         10000   6.016037e-01   1.756631e+01              0             50              0              2   1.465640e+01   1.033488e-01   7.389317e-01
         10500   5.832482e-01   2.069907e+01              0             51              0              2   1.475234e+01   9.706760e-02   7.333451e-01
         11000   5.732297e-01   2.169462e+01              0             50              0              2   1.497029e+01   9.702972e-02   7.456995e-01
         11500   5.953305e-01   2.033572e+01              0             49              0              4   1.487504e+01   1.121071e-01   7.408369e-01
         12000   6.052174e-01   2.127620e+01              0             51              0              3   1.501015e+01   1.081946e-01   7.445109e-01
         12500   5.847211e-01   2.225638e+01              0             55              0              3   1.465359e+01   1.128948e-01   7.346560e-01
         13000   6.001643e-01   2.555970e+01              0             51              0              3   1.484481e+01   1.095434e-01   7.497431e-01
         13500   6.100604e-01   2.417249e+01              0             52              0              3   1.451864e+01   1.133976e-01   7.409448e-01
         14000   6.071683e-01   2.516907e+01              0             51              0              3   1.494937e+01   1.145947e-01   7.556817e-01
         14500   6.258799e-01   2.614440e+01              1             52              0              3   1.490268e+01   1.080628e-01   7.595496e-01
         15000   6.217249e-01   2.714144e+01              0             48              0              2   1.473499e+01   1.234971e-01   7.592685e-01
         15500   6.192615e-01   2.813822e+01              0             52              0              2   1.470174e+01   1.238204e-01   7.344919e-01
         16000   6.144870e-01   2.913363e+01              0             52              0              2   1.465797e+01   1.073763e-01   7.469032e-01
         16500   6.103332e-01   3.013017e+01              0             53              0              2   1.479722e+01   1.158674e-01   7.374480e-01
         17000   5.980077e-01   3.284438e+01              0             52              0              3   1.491788e+01   1.065893e-01   7.398235e-01
         17500   6.020707e-01   3.375883e+01              0             53              0              3   1.502506e+01   1.137877e-01   7.383596e-01
         18000   6.157084e-01   3.301533e+01              0             54              0              3   1.465112e+01   1.237878e-01   7.353997e-01
         18500   6.188991e-01   3.400662e+01              0             53              0              3   1.476436e+01   1.316795e-01   7.271820e-01
         19000   6.522496e-01   2.658733e+01              0             53              0              3   1.472327e+01   1.354540e-01   7.204386e-01
         19500   6.248077e-01   3.595811e+01              0             53              0              2   1.466988e+01   1.149578e-01   7.168129e-01
         20000   6.062982e-01   3.695078e+01              0             52              0              2   1.449978e+01   1.251161e-01   7.279586e-01
         20500   6.060636e-01   3.794217e+01              1             52              0              2   1.467036e+01   1.190783e-01   7.229367e-01
         21000   6.401510e-01   3.891671e+01              0             48              0              3   1.437238e+01   1.165342e-01   7.071507e-01
         21500   6.345876e-01   3.990034e+01              0             49              0              3   1.479339e+01   1.305114e-01   7.131095e-01
