         r_bin          count          force            pmf
      0.825000           4378   5.049417e+02   9.899270e+00
      0.875000          25174   1.979854e+02   0.000000e+00
      0.925000          23941  -6.811105e+01   3.405553e+00
      0.975000           4781  -4.067040e+02   2.374075e+01
      1.025000          13654  -5.422041e+02   5.085096e+01
      1.075000           7130  -5.506011e+02   7.838102e+01
      1.125000          12877  -4.195256e+02   9.935730e+01
      1.175000          17958  -2.824091e+02   1.134777e+02
      1.225000          20423  -3.493493e+02   1.309452e+02
      1.275000          12990  -4.699535e+02   1.544429e+02
      1.325000           3660  -6.000620e+02   1.844460e+02
      1.375000           2689  -4.272602e+02   2.058090e+02
      1.425000           6330  -3.709938e+02   2.243587e+02
      1.475000           5962  -1.801108e+02   2.333642e+02
      1.525000           5403  -2.084350e+02   2.437860e+02
      1.575000           6254  -1.779579e+02   2.526839e+02
      1.625000           1841  -1.606707e+02   2.607174e+02
      1.675000           1974  -2.598512e+02   2.737100e+02
      1.725000           4450  -9.380573e+01   2.784003e+02
      1.775000           5221  -9.283134e+01   2.830418e+02
      1.825000           5804  -1.760165e+02   2.918426e+02
      1.875000           2911  -1.744385e+02   3.005646e+02
      1.925000           3858  -4.243235e+01   3.026862e+02
      1.975000          13325  -1.286852e+02   3.091205e+02
      2.025000           5050  -2.157385e+02   3.199074e+02
      2.075000           1725  -2.467218e+02   3.322435e+02
      2.125000           1821  -2.847679e+02   3.464819e+02
      2.175000           4190  -1.654170e+02   3.547527e+02
      2.225000           1032  -1.282812e+02   3.611668e+02
      2.275000           4345  -8.186900e+01   3.652602e+02
      2.325000          10264  -9.007206e+01   3.697638e+02
      2.375000           3781  -2.168381e+02   3.806057e+02
      2.425000           2585  -1.791192e+02   3.895617e+02
      2.475000           6034  -6.783653e+01   3.929535e+02
      2.525000          11240  -1.361207e+02   3.997596e+02
      2.575000           5075  -6.518931e+01   4.030190e+02
      2.625000           5196   1.111931e+01   4.024631e+02
      2.675000          10784  -7.913091e+00   4.028587e+02
      2.725000          10227  -4.456627e+01   4.050870e+02
      2.775000           8476  -1.694914e+01   4.059345e+02
      2.825000           3306   4.136942e+01   4.038660e+02
      2.875000           6832  -2.175650e+01   4.049538e+02
      2.925000          12083  -1.420202e+02   4.120548e+02
      2.975000           3521  -2.071189e+02   4.224108e+02
      3.025000            245  -2.943386e+02   4.371277e+02
