          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   8.652810e-01   0.000000e+00              2             48              0              7   1.508517e+01   0.000000e+00   8.759846e-01
           500   8.966516e-01   9.460773e-01              2             48              0              7   1.545911e+01   8.359563e-02   8.953780e-01
          1000   9.147744e-01   1.931204e+00              2             49              0              4   1.529711e+01   9.360298e-02   8.990860e-01
          1500   9.193114e-01   2.917568e+00              2             45              0              6   1.576159e+01   1.282976e-01   9.041525e-01
          2000   8.985158e-01   3.883973e+00              2             48              0              7   1.582368e+01   1.373449e-01   9.114854e-01
          2500   9.098718e-01   4.865713e+00              2             46              0              7   1.566897e+01   1.294390e-01   8.911249e-01
          3000   9.071534e-01   5.850755e+00              2             46              0              8   1.539894e+01   1.373373e-01   8.767550e-01
          3500   9.382110e-01   6.841658e+00              2             50              0              7   1.553434e+01   1.390791e-01   8.809222e-01
          4000   9.099706e-01   7.831876e+00              2             49              0              7   1.533243e+01   1.452643e-01   8.746254e-01
          4500   9.014903e-01   8.814245e+00              2             47              0              6   1.524164e+01   1.499210e-01   8.613182e-01
          5000   8.971666e-01   9.278416e+00              2             46              0              6   1.532417e+01   1.339687e-01   8.591678e-01
          5500   8.920920e-01   1.023365e+01              2             45              0              6   1.531443e+01   1.396879e-01   8.597612e-01
          6000   9.130108e-01   1.170312e+01              2             49              0              7   1.544727e+01   1.467785e-01   8.796811e-01
          6500   9.215610e-01   1.268753e+01              2             47              0              6   1.539983e+01   1.487559e-01   8.755395e-01
          7000   8.881371e-01   1.310504e+01              2             48              0              6   1.567927e+01   1.531507e-01   8.804321e-01
          7500   9.090867e-01   1.458688e+01              1             43              0              6   1.556189e+01   1.672209e-01   8.795308e-01
          8000   8.967757e-01   1.557082e+01              2             46              0              6   1.537529e+01   1.822561e-01   8.736003e-01
          8500   9.131933e-01   1.653083e+01              2             46              0              5   1.541628e+01   1.759218e-01   8.751359e-01
          9000   8.927957e-01   1.748171e+01              2             46              0              5   1.552061e+01   1.745109e-01   8.686021e-01
          9500   8.994714e-01   1.843110e+01              2             44              0              5   1.550694e+01   1.566534e-01   8.736257e-01
         10000   9.207113e-01   1.942469e+01              2             45              0              8   1.544351e+01   1.671521e-01   8.766727e-01
         10500   8.990097e-01   2.041732e+01              2             43              0              5   1.555994e+01   1.759615e-01   8.738462e-01
         11000   9.329905e-01   1.750076e+01              2             41              0              5   1.563058e+01   1.842846e-01   8.878665e-01
         11500   9.348126e-01   2.234733e+01              2             37              0              6   1.578488e+01   1.962379e-01   8.961269e-01
         12000   9.270502e-01   2.334183e+01              1             44              0              7   1.561572e+01   1.865047e-01   8.859378e-01
         12500   9.325518e-01   2.432652e+01              1             37              0              7   1.566328e+01   1.896161e-01   8.843110e-01
         13000   9.210297e-01   2.532412e+01              2             42              0              6   1.555208e+01   1.828337e-01   8.904787e-01
         13500   9.298918e-01   2.632002e+01              2             43              0              8   1.563068e+01   1.990760e-01   9.038068e-01
         14000   9.188301e-01   2.731003e+01              2             45              0              6   1.560041e+01   2.114540e-01   8.930546e-01
         14500   9.198046e-01   2.830073e+01              2             43              0              7   1.540947e+01   2.242157e-01   8.892757e-01
         15000   9.235326e-01   2.738868e+01              2             47              0              6   1.567292e+01   2.343327e-01   8.936637e-01
         15500   9.195576e-01   3.027570e+01              2             46              0              8   1.548140e+01   2.448944e-01   8.764206e-01
         16000   8.947541e-01   2.915435e+01              2             46              0              6   1.534022e+01   2.488671e-01   8.715486e-01
         16500   8.750256e-01   3.015118e+01              2             49              0              8   1.523266e+01   2.514013e-01   8.480759e-01
         17000   8.650406e-01   3.114260e+01              1             47              0              6   1.522998e+01   2.368599e-01   8.523804e-01
         17500   8.669444e-01   3.213860e+01              2             50              0              7   1.533035e+01   2.358433e-01   8.525188e-01
