         r_bin          count          force            pmf
      0.325000             20   1.401739e+03   1.562187e+02
      0.375000          12001   1.103782e+03   1.010295e+02
      0.425000          44433   8.278228e+02   5.963841e+01
      0.475000          28864   6.234044e+02   2.846818e+01
      0.525000          24472   3.625419e+02   1.034109e+01
      0.575000          19431   2.068218e+02   0.000000e+00
      0.625000          26908  -2.122476e+01   1.061238e+00
      0.675000           4293  -5.140216e+02   2.676232e+01
      0.725000          10023  -7.004442e+02   6.178452e+01
      0.775000          13303  -6.031737e+02   9.194321e+01
      0.825000          14645  -4.924853e+02   1.165675e+02
      0.875000           3993  -4.637615e+02   1.397555e+02
      0.925000           9991  -4.056260e+02   1.600369e+02
      0.975000          10328  -3.495992e+02   1.775168e+02
      1.025000          13937  -2.685176e+02   1.909427e+02
      1.075000          20317  -3.149232e+02   2.066889e+02
      1.125000          11934  -4.874089e+02   2.310593e+02
      1.175000          12958  -5.684607e+02   2.594823e+02
      1.225000           4929  -5.452723e+02   2.867460e+02
      1.275000           6467  -4.670897e+02   3.101004e+02
      1.325000          11605  -3.505618e+02   3.276285e+02
      1.375000           5600  -3.552667e+02   3.453919e+02
      1.425000           6743  -3.124807e+02   3.610159e+02
      1.475000           5707  -2.498851e+02   3.735102e+02
      1.525000           4877  -3.182600e+02   3.894232e+02
      1.575000           4093  -1.800889e+02   3.984276e+02
      1.625000           7606  -2.062470e+02   4.087399e+02
      1.675000           5434  -1.889101e+02   4.181855e+02
      1.725000          10085  -1.703742e+02   4.267042e+02
      1.775000           5189  -2.456084e+02   4.389846e+02
      1.825000           1955  -3.054972e+02   4.542594e+02
      1.875000           1550  -1.918953e+02   4.638542e+02
      1.925000           5028  -1.422423e+02   4.709663e+02
      1.975000           2967  -1.998100e+02   4.809568e+02
      2.025000            934  -9.801887e+01   4.858578e+02
      2.075000           2668  -1.305414e+02   4.923848e+02
      2.125000           1995   1.465950e+01   4.916519e+02
      2.175000           7882   4.724691e+00   4.914156e+02
      2.225000           6810   1.962093e+01   4.904346e+02
      2.275000           6054  -3.494102e+00   4.906093e+02
      2.325000           8860  -1.198011e+02   4.965993e+02
      2.375000           2968  -6.242565e+01   4.997206e+02
      2.425000           2609  -2.052273e+01   5.007468e+02
      2.475000           2325  -1.206873e+02   5.067811e+02
      2.525000           4675   5.809125e+01   5.038766e+02
      2.575000           8775  -1.648066e+01   5.047006e+02
      2.625000          11966  -1.099890e+02   5.102000e+02
      2.675000           1793  -2.968606e+02   5.250431e+02
