          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   6.432420e-01   0.000000e+00              3             81              0              5   2.303944e+01   0.000000e+00   1.124128e+00
           500   6.369931e-01   9.371665e-01              3             79              0              5   2.315402e+01   6.644280e-02   1.101411e+00
          1000   6.166423e-01   1.976950e+00              4             82              0              5   2.292056e+01   9.982326e-02   1.080850e+00
          1500   6.427708e-01   2.968425e+00              3             78              0              2   2.343480e+01   9.293512e-02   1.111091e+00
          2000   6.211156e-01   3.962292e+00              3             90              0              6   2.366627e+01   1.073664e-01   1.105226e+00
          2500   6.379068e-01   4.954116e+00              3             81              0              4   2.350677e+01   9.939503e-02   1.097774e+00
          3000   6.461399e-01   5.942484e+00              3             76              0              4   2.345904e+01   9.994015e-02   1.100176e+00
          3500   6.560816e-01   6.381588e+00              4             80              0              5   2.336664e+01   9.341525e-02   1.096788e+00
          4000   6.461303e-01   7.887344e+00              3             77              0              4   2.298673e+01   1.207448e-01   1.095198e+00
          4500   6.566071e-01   8.326238e+00              2             75              0              5   2.340630e+01   1.312576e-01   1.094552e+00
          5000   6.448024e-01   9.294146e+00              4             79              0              6   2.307110e+01   1.200872e-01   1.096477e+00
          5500   6.527428e-01   1.076097e+01              4             78              0              4   2.286240e+01   1.247510e-01   1.086602e+00
          6000   6.613814e-01   1.171813e+01              2             74              0              3   2.280982e+01   1.202123e-01   1.089738e+00
          6500   6.666733e-01   1.263861e+01              4             74              0              3   2.307836e+01   1.025333e-01   1.099957e+00
          7000   6.533079e-01   1.357296e+01              3             77              0              5   2.319902e+01   1.127904e-01   1.093524e+00
          7500   6.667226e-01   1.413415e+01              2             77              0              5   2.311769e+01   1.256484e-01   1.086895e+00
          8000   6.457163e-01   1.546027e+01              3             80              0              3   2.345440e+01   1.138969e-01   1.100244e+00
          8500   6.276508e-01   1.644462e+01              3             78              0              6   2.341072e+01   1.182373e-01   1.093499e+00
          9000   6.229431e-01   1.743262e+01              3             85              0              5   2.305244e+01   1.178740e-01   1.099868e+00
          9500   6.310392e-01   1.842332e+01              3             80              0              3   2.316366e+01   1.289627e-01   1.093035e+00
         10000   6.389306e-01   1.940298e+01              3             81              0              3   2.329262e+01   1.399221e-01   1.098675e+00
         10500   6.406483e-01   2.038023e+01              3             77              0              4   2.342820e+01   1.394553e-01   1.105707e+00
         11000   6.402111e-01   2.137234e+01              4             78              0              4   2.350586e+01   1.362962e-01   1.110566e+00
         11500   6.459954e-01   2.236280e+01              4             82              0              4   2.350028e+01   1.281264e-01   1.104215e+00
         12000   6.327342e-01   2.335542e+01              3             80              0              3   2.322358e+01   1.240848e-01   1.103196e+00
         12500   6.205945e-01   2.434808e+01              4             83              0              5   2.300101e+01   1.132455e-01   1.108972e+00
         13000   6.253550e-01   2.534569e+01              3             82              0              4   2.338293e+01   1.233457e-01   1.123668e+00
         13500   6.252942e-01   2.634357e+01              3             79              0              3   2.311358e+01   1.345119e-01   1.104960e+00
         14000   6.257473e-01   2.734127e+01              4             79              0              3   2.318362e+01   1.259975e-01   1.124623e+00
         14500   6.256568e-01   2.833736e+01              4             82              0              4   2.312956e+01   1.251811e-01   1.118965e+00
         15000   6.323124e-01   2.932943e+01              5             85              0              4   2.319835e+01   1.312523e-01   1.115913e+00
         15500   6.393279e-01   3.032111e+01              4             79              0              4   2.304910e+01   1.237126e-01   1.114039e+00
         16000   6.193767e-01   3.131856e+01              3             83              0              4   2.307189e+01   1.363640e-01   1.125178e+00
         16500   6.260154e-01   3.231072e+01              3             82              0              3   2.324507e+01   1.243854e-01   1.136431e+00
         17000   6.438280e-01   3.330767e+01              3             78              0              4   2.321439e+01   1.349546e-01   1.127437e+00
         17500   6.462528e-01   3.429516e+01              3             87              0              3   2.298428e+01   1.506606e-01   1.106250e+00
         18000   6.307390e-01   3.526338e+01              3             80              0              1   2.274928e+01   1.391350e-01   1.102743e+00
         18500   6.410638e-01   3.625462e+01              3             80              0              2   2.304633e+01   1.474389e-01   1.103292e+00
         19000   6.377670e-01   3.721245e+01              4             80              0              3   2.348079e+01   1.639603e-01   1.107114e+00
         19500   6.551960e-01   3.607167e+01              4             82              0              1   2.295762e+01   1.615554e-01   1.098583e+00
         20000   6.615435e-01   3.706717e+01              4             83              0              2   2.319449e+01   1.634936e-01   1.127334e+00
         20500   6.516295e-01   3.805021e+01              2             82              0              2   2.297894e+01   1.574931e-01   1.093494e+00
         21000   6.566194e-01   3.904085e+01              4             77              0              2   2.335204e+01   1.620926e-01   1.108296e+00
         21500   6.538457e-01   4.187639e+01              2             75              0              1   2.349634e+01   1.557409e-01   1.097799e+00
         22000   6.593735e-01   4.101880e+01              3             76              0              1   2.360307e+01   1.681111e-01   1.108139e+00
         22500   6.458681e-01   4.375522e+01              4             79              0              3   2.345955e+01   1.644039e-01   1.100820e+00
         23000   6.523880e-01   4.296359e+01              3             77              0              2   2.322485e+01   1.791889e-01   1.091045e+00
         23500   6.587925e-01   4.394024e+01              2             78              0              2   2.355899e+01   1.853222e-01   1.093506e+00
         24000   6.677024e-01   4.493095e+01              4             81              0              1   2.375107e+01   2.181075e-01   1.108009e+00
         24500   6.533116e-01   4.592073e+01              1             81              0              2   2.351971e+01   2.209840e-01   1.098496e+00
         25000   6.850801e-01   4.691237e+01              2             78              0              3   2.351705e+01   2.203375e-01   1.102080e+00
         25500   6.712269e-01   4.788144e+01              1             77              0              2   2.364406e+01   2.122917e-01   1.104755e+00
         26000   6.610294e-01   4.888002e+01              1             74              0              3   2.372750e+01   2.126644e-01   1.114088e+00
         26500   6.680924e-01   4.987302e+01              1             75              0              2   2.370607e+01   1.961323e-01   1.111548e+00
         27000   6.691639e-01   5.087158e+01              5             77              0              1   2.352267e+01   1.979463e-01   1.105579e+00
         27500   6.513342e-01   5.274983e+01              3             79              0              2   2.337185e+01   2.076596e-01   1.106521e+00
         28000   6.610832e-01   5.278375e+01              3             80              0              2   2.319307e+01   2.027388e-01   1.097366e+00
         28500   6.484472e-01   5.470916e+01              5             82              0              4   2.363473e+01   1.879181e-01   1.130902e+00
         29000   6.440681e-01   5.566744e+01              4             79              0              2   2.382999e+01   1.972442e-01   1.126256e+00
         29500   6.163571e-01   5.666104e+01              3             82              0              2   2.409903e+01   2.037109e-01   1.118255e+00
         30000   6.238363e-01   5.765315e+01              4             86              0              4   2.367252e+01   2.106875e-01   1.127365e+00
         30500   6.435897e-01   5.864810e+01              3             82              0              2   2.384746e+01   2.107478e-01   1.138919e+00
         31000   6.267182e-01   5.962169e+01              3             83              0              3   2.340773e+01   1.974539e-01   1.140055e+00
         31500   6.289636e-01   6.061456e+01              3             82              0              3   2.381896e+01   2.168808e-01   1.132746e+00
         32000   6.194817e-01   4.975192e+01              4             81              0              3   2.371954e+01   2.278588e-01   1.128591e+00
         32500   6.254900e-01   6.258551e+01              3             82              0              2   2.413688e+01   2.298570e-01   1.132313e+00
         33000   6.232751e-01   6.356930e+01              3             80              0              3   2.410525e+01   2.260016e-01   1.153499e+00
         33500   6.037979e-01   6.453555e+01              4             78              0              3   2.412970e+01   2.385416e-01   1.146526e+00
         34000   5.823969e-01   5.354729e+01              4             82              0              2   2.403183e+01   2.295843e-01   1.143672e+00
         34500   5.734193e-01   5.454243e+01              4             85              0              2   2.395839e+01   2.394577e-01   1.146886e+00
         35000   5.671774e-01   5.550196e+01              4             82              0              3   2.399510e+01   2.414743e-01   1.166702e+00
         35500   5.921133e-01   5.648838e+01              4             81              0              1   2.393548e+01   2.410675e-01   1.148485e+00
         36000   5.837020e-01   5.748212e+01              3             84              0              2   2.405514e+01   2.408603e-01   1.153821e+00
         36500   5.803445e-01   5.847681e+01              4             85              0              3   2.387859e+01   2.390528e-01   1.171293e+00
         37000   5.790196e-01   5.946510e+01              4             87              0              2   2.387685e+01   2.222629e-01   1.167023e+00
         37500   5.715541e-01   4.102599e+01              5             87              0              3   2.382426e+01   2.280683e-01   1.157246e+00
         38000   5.795494e-01   6.143566e+01              3             86              0              3   2.409613e+01   2.204167e-01   1.156352e+00
         38500   5.703250e-01   4.284511e+01              3             83              0              3   2.380593e+01   2.146133e-01   1.148319e+00
         39000   5.750400e-01   6.340977e+01              4             87              0              3   2.382154e+01   2.048573e-01   1.164694e+00
         39500   5.829666e-01   6.439917e+01              3             87              0              4   2.362595e+01   2.074646e-01   1.169524e+00
         40000   5.859047e-01   6.539615e+01              4             85              0              3   2.363112e+01   2.020757e-01   1.156976e+00
         40500   5.796661e-01   6.638947e+01              4             90              0              3   2.336520e+01   2.102800e-01   1.155580e+00
         41000   5.831250e-01   6.737978e+01              5             86              0              3   2.380680e+01   2.090245e-01   1.160885e+00
         41500   5.810403e-01   6.837529e+01              3             83              0              3   2.363266e+01   2.129327e-01   1.169091e+00
         42000   5.868007e-01   6.937087e+01              4             82              0              2   2.368912e+01   2.332061e-01   1.156092e+00
         42500   5.830238e-01   7.036445e+01              4             85              0              2   2.378715e+01   2.293914e-01   1.155686e+00
         43000   5.898527e-01   7.135246e+01              4             82              0              3   2.351533e+01   2.174589e-01   1.157823e+00
         43500   5.772587e-01   7.234265e+01              3             80              0              3   2.367652e+01   2.139087e-01   1.168549e+00
         44000   5.818517e-01   7.333558e+01              5             83              0              3   2.344483e+01   2.161130e-01   1.163174e+00
         44500   5.802676e-01   7.432953e+01              4             84              0              3   2.367742e+01   2.362203e-01   1.175370e+00
         45000   5.562678e-01   7.529696e+01              2             85              0              1   2.359587e+01   2.551194e-01   1.171955e+00
         45500   5.550900e-01   5.573990e+01              4             85              0              2   2.362364e+01   2.522917e-01   1.164486e+00
         46000   5.534027e-01   7.718601e+01              3             85              0              3   2.358420e+01   2.514748e-01   1.161447e+00
         46500   5.358397e-01   5.768725e+01              4             90              0              2   2.371043e+01   2.441011e-01   1.154571e+00
         47000   5.578964e-01   5.866335e+01              3             87              0              3   2.384901e+01   2.641968e-01   1.167366e+00
         47500   5.580200e-01   5.964994e+01              4             85              0              3   2.359738e+01   2.724986e-01   1.141286e+00
         48000   5.595910e-01   6.061779e+01              4             86              0              1   2.402762e+01   2.778992e-01   1.147596e+00
         48500   5.552118e-01   6.160880e+01              4             87              0              1   2.368226e+01   2.685904e-01   1.153302e+00
         49000   5.499863e-01   6.260481e+01              2             82              0              1   2.389945e+01   2.672814e-01   1.164216e+00
         49500   5.626243e-01   8.360144e+01              4             88              0              3   2.401052e+01   2.662761e-01   1.159365e+00
         50000   5.461366e-01   6.458413e+01              5             89              0              3   2.383459e+01   2.735339e-01   1.164342e+00
         50500   5.591489e-01   6.556964e+01              4             88              0              2   2.373307e+01   2.618998e-01   1.159661e+00
         51000   5.567714e-01   6.655193e+01              2             84              0              2   2.379619e+01   2.549331e-01   1.148883e+00
         51500   5.630909e-01   6.753187e+01              3             87              0              3   2.365513e+01   2.422405e-01   1.168596e+00
         52000   5.639950e-01   6.851898e+01              3             87              0              3   2.385912e+01   2.553870e-01   1.168373e+00
         52500   5.712181e-01   8.919257e+01              3             85              0              1   2.375810e+01   2.598077e-01   1.163404e+00
         53000   5.645142e-01   9.015856e+01              5             86              0              2   2.378198e+01   2.618896e-01   1.155010e+00
         53500   5.687819e-01   7.140109e+01              3             85              0              2   2.400954e+01   2.711557e-01   1.167996e+00
         54000   5.732918e-01   9.212138e+01              3             83              0              2   2.402156e+01   2.671871e-01   1.165838e+00
         54500   5.526727e-01   7.333999e+01              5             91              0              2   2.405111e+01   2.912763e-01   1.160132e+00
         55000   5.602827e-01   7.433141e+01              3             87              0              1   2.410432e+01   2.918302e-01   1.164362e+00
         55500   5.529710e-01   7.532845e+01              3             85              0              1   2.404222e+01   2.844236e-01   1.163432e+00
         56000   5.396289e-01   7.632512e+01              4             90              0              2   2.430649e+01   2.667550e-01   1.175069e+00
         56500   5.296396e-01   7.731726e+01              3             86              0              2   2.433154e+01   2.708503e-01   1.176409e+00
         57000   5.201497e-01   7.829231e+01              3             91              0              2   2.433890e+01   2.848808e-01   1.181776e+00
         57500   5.223316e-01   7.927501e+01              4             91              0              4   2.429400e+01   2.860920e-01   1.179626e+00
         58000   5.276647e-01   8.026332e+01              4             90              0              3   2.429334e+01   2.891704e-01   1.170031e+00
         58500   5.242018e-01   8.121190e+01              3             87              0              3   2.423443e+01   2.911532e-01   1.171328e+00
         59000   5.136830e-01   5.576829e+01              5             88              0              3   2.427877e+01   3.027640e-01   1.172988e+00
         59500   5.236819e-01   8.314760e+01              6             91              0              2   2.452745e+01   2.944961e-01   1.189099e+00
         60000   5.257156e-01   8.413496e+01              3             92              0              3   2.447779e+01   3.037908e-01   1.181376e+00
         60500   5.383361e-01   8.511712e+01              3             91              0              5   2.425881e+01   2.965758e-01   1.163672e+00
         61000   5.466389e-01   8.610091e+01              4             88              0              4   2.431068e+01   2.977595e-01   1.154331e+00
         61500   5.379414e-01   8.709183e+01              3             91              0              3   2.438751e+01   3.144761e-01   1.170006e+00
         62000   5.434929e-01   8.806413e+01              4             92              0              3   2.387921e+01   3.172378e-01   1.155238e+00
         62500   5.594846e-01   8.903205e+01              3             88              0              4   2.392840e+01   2.933264e-01   1.150518e+00
         63000   5.527973e-01   9.001070e+01              4             91              0              4   2.398426e+01   3.015822e-01   1.139518e+00
         63500   5.532250e-01   9.100298e+01              4             93              0              5   2.410628e+01   3.129299e-01   1.155152e+00
         64000   5.350065e-01   9.199591e+01              5             86              0              3   2.444883e+01   3.220214e-01   1.174445e+00
         64500   5.570371e-01   9.298992e+01              1             89              0              3   2.428245e+01   3.231477e-01   1.162128e+00
         65000   5.501339e-01   9.398168e+01              3             88              0              4   2.416867e+01   3.134149e-01   1.150939e+00
         65500   5.587926e-01   9.496709e+01              5             91              0              4   2.383404e+01   3.014040e-01   1.150485e+00
         66000   5.632906e-01   9.592973e+01              3             89              0              3   2.417719e+01   3.111123e-01   1.149063e+00
         66500   5.631727e-01   1.136324e+02              4             89              0              2   2.404238e+01   3.044393e-01   1.150393e+00
         67000   5.673773e-01   1.146138e+02              3             88              0              5   2.397346e+01   3.000725e-01   1.152280e+00
         67500   5.771262e-01   1.155946e+02              3             91              0              4   2.359991e+01   2.959054e-01   1.131250e+00
         68000   5.607656e-01   9.965456e+01              4             92              0              4   2.382408e+01   2.873808e-01   1.150508e+00
         68500   5.786699e-01   1.175576e+02              3             88              0              4   2.393597e+01   2.982704e-01   1.128492e+00
         69000   5.684023e-01   1.185385e+02              4             92              0              4   2.412678e+01   2.866510e-01   1.136226e+00
         69500   5.723047e-01   1.195312e+02              3             89              0              2   2.399649e+01   2.838707e-01   1.123196e+00
         70000   5.749873e-01   1.205213e+02              4             89              0              4   2.432615e+01   2.849855e-01   1.145588e+00
         70500   5.694985e-01   1.214849e+02              3             90              0              4   2.412876e+01   2.908426e-01   1.143282e+00
         71000   5.812181e-01   1.224575e+02              4             89              0              3   2.415572e+01   2.954476e-01   1.135649e+00
         71500   5.682462e-01   1.061479e+02              4             86              0              3   2.442938e+01   2.866300e-01   1.128894e+00
         72000   5.741332e-01   1.070489e+02              3             86              0              3   2.396043e+01   2.831196e-01   1.115165e+00
         72500   5.786104e-01   1.253808e+02              2             85              0              3   2.380769e+01   2.904854e-01   1.122288e+00
         73000   5.718615e-01   1.263676e+02              2             87              0              4   2.365027e+01   2.984784e-01   1.105617e+00
         73500   5.632675e-01   1.097935e+02              6             89              0              3   2.400670e+01   2.833976e-01   1.113156e+00
         74000   5.745134e-01   1.283361e+02              4             89              0              4   2.402338e+01   2.821757e-01   1.113600e+00
         74500   5.555042e-01   1.116584e+02              3             97              0              4   2.415732e+01   3.029468e-01   1.126970e+00
         75000   5.578444e-01   1.126226e+02              3             93              0              5   2.439081e+01   3.158182e-01   1.126947e+00
         75500   5.518163e-01   1.136193e+02              2             96              0              5   2.427257e+01   3.098297e-01   1.137366e+00
         76000   5.463609e-01   1.146178e+02              5             94              0              6   2.428490e+01   3.177129e-01   1.151407e+00
         76500   5.364760e-01   1.156093e+02              4             96              0              6   2.423046e+01   3.119521e-01   1.138941e+00
         77000   5.313266e-01   1.166032e+02              3             90              0              5   2.438910e+01   3.021283e-01   1.143933e+00
         77500   5.259508e-01   1.175701e+02              4             92              0              5   2.405883e+01   3.050166e-01   1.138999e+00
         78000   5.159691e-01   8.583351e+01              4             92              0              2   2.416630e+01   3.206130e-01   1.139558e+00
         78500   5.286549e-01   1.194403e+02              4             90              0              5   2.450477e+01   3.223160e-01   1.161835e+00
         79000   5.187988e-01   8.777334e+01              4             91              0              5   2.428451e+01   3.196959e-01   1.162442e+00
         79500   5.275272e-01   1.213490e+02              5             91              0              5   2.435384e+01   3.225423e-01   1.159984e+00
         80000   5.106682e-01   8.972845e+01              4             93              0              5   2.445786e+01   3.377724e-01   1.187955e+00
         80500   5.131318e-01   9.072586e+01              5             94              0              2   2.428690e+01   3.348187e-01   1.161188e+00
         81000   5.055555e-01   9.172199e+01              5             92              0              5   2.444617e+01   3.428638e-01   1.190619e+00
         81500   5.192375e-01   1.249477e+02              4             92              0              4   2.422314e+01   3.267153e-01   1.152524e+00
         82000   5.129040e-01   9.368387e+01              4             95              0              5   2.421349e+01   3.265227e-01   1.157906e+00
         82500   5.208441e-01   9.466813e+01              4             90              0              1   2.407155e+01   3.252959e-01   1.141879e+00
         83000   5.025245e-01   9.564290e+01              6             94              0              4   2.389518e+01   3.163160e-01   1.147943e+00
         83500   4.927378e-01   9.663485e+01              5             96              0              4   2.389328e+01   3.206159e-01   1.144449e+00
         84000   5.150363e-01   9.762122e+01              3             91              0              4   2.349168e+01   3.172626e-01   1.158572e+00
         84500   5.154412e-01   9.861930e+01              3             93              0              3   2.379000e+01   3.131164e-01   1.170468e+00
         85000   4.931323e-01   9.961473e+01              4             93              0              3   2.371136e+01   3.203132e-01   1.172573e+00
         85500   5.120234e-01   1.006085e+02              3             87              0              2   2.383892e+01   3.235402e-01   1.155870e+00
         86000   5.001122e-01   1.016075e+02              4             92              0              5   2.357834e+01   3.130917e-01   1.158020e+00
         86500   5.023587e-01   1.026046e+02              3             91              0              3   2.380449e+01   3.120261e-01   1.146936e+00
         87000   5.203795e-01   1.036007e+02              2             86              0              4   2.361360e+01   2.997861e-01   1.147993e+00
         87500   5.060086e-01   1.045643e+02              6             87              0              2   2.354914e+01   3.021460e-01   1.137024e+00
         88000   5.239405e-01   1.366703e+02              4             86              0              2   2.348578e+01   3.020970e-01   1.123680e+00
         88500   5.023732e-01   1.065130e+02              3             89              0              2   2.338142e+01   3.056769e-01   1.123955e+00
         89000   4.975428e-01   1.075061e+02              4             92              0              5   2.324716e+01   3.154516e-01   1.137444e+00
         89500   4.925007e-01   1.085010e+02              3             93              0              4   2.344975e+01   3.244266e-01   1.143235e+00
         90000   4.763847e-01   7.127020e+01              4             93              0              4   2.395094e+01   3.391754e-01   1.180686e+00
         90500   4.868516e-01   1.104220e+02              4             93              0              3   2.380097e+01   3.318829e-01   1.162716e+00
         91000   5.012529e-01   1.114113e+02              4             94              0              5   2.369318e+01   3.335984e-01   1.154364e+00
         91500   5.014764e-01   1.123935e+02              5             94              0              4   2.347823e+01   3.214138e-01   1.129269e+00
         92000   5.018063e-01   1.133770e+02              3             94              0              4   2.389047e+01   3.378987e-01   1.147960e+00
         92500   4.944818e-01   1.143706e+02              4             94              0              4   2.340618e+01   3.354995e-01   1.138359e+00
         93000   5.002849e-01   1.153580e+02              5             92              0              4   2.387171e+01   3.297885e-01   1.150216e+00
         93500   5.128397e-01   1.163492e+02              6             95              0              3   2.367150e+01   3.329432e-01   1.126736e+00
         94000   5.164553e-01   1.173464e+02              5             95              0              2   2.335720e+01   3.360249e-01   1.129047e+00
         94500   4.980933e-01   1.183430e+02              4             94              0              4   2.355931e+01   3.383735e-01   1.123000e+00
         95000   5.058680e-01   1.193393e+02              5             90              0              5   2.375129e+01   3.343927e-01   1.139261e+00
         95500   5.148697e-01   1.203365e+02              4             95              0              3   2.357134e+01   3.319843e-01   1.130381e+00
         96000   4.959077e-01   1.213331e+02              6             94              0              5   2.342629e+01   3.424687e-01   1.121248e+00
         96500   5.068097e-01   1.223290e+02              7             93              0              4   2.351785e+01   3.395970e-01   1.133893e+00
         97000   4.954003e-01   1.233242e+02              3             92              0              5   2.364860e+01   3.395109e-01   1.164742e+00
         97500   4.920668e-01   1.243168e+02              6             97              0              4   2.387511e+01   3.379606e-01   1.170397e+00
         98000   4.985062e-01   1.253078e+02              6             94              0              4   2.360247e+01   3.397696e-01   1.147555e+00
         98500   5.127871e-01   1.263054e+02              4             92              0              3   2.374252e+01   3.235674e-01   1.175311e+00
         99000   5.189390e-01   1.272958e+02              3             94              0              3   2.333333e+01   3.095112e-01   1.148355e+00
         99500   5.215018e-01   1.282517e+02              3             94              0              4   2.316357e+01   3.252656e-01   1.150681e+00
        100000   4.991082e-01   1.292448e+02              4             94              0              4   2.367615e+01   3.259852e-01   1.149715e+00
        100500   5.029122e-01   1.302424e+02              5             95              0              4   2.360843e+01   3.240122e-01   1.150333e+00
        101000   5.076947e-01   1.312400e+02              5             91              0              3   2.331188e+01   3.334737e-01   1.139539e+00
        101500   4.997595e-01   1.322375e+02              4             96              0              4   2.349574e+01   3.285331e-01   1.141458e+00
        102000   4.975600e-01   1.332327e+02              4             94              0              3   2.384292e+01   3.348252e-01   1.160416e+00
        102500   5.099489e-01   1.342305e+02              4             89              0              2   2.369833e+01   3.214156e-01   1.149908e+00
        103000   5.041430e-01   1.352259e+02              4             96              0              4   2.384848e+01   3.253534e-01   1.142485e+00
        103500   4.976696e-01   1.362143e+02              5             95              0              4   2.391948e+01   3.280147e-01   1.136743e+00
        104000   4.818277e-01   1.371848e+02              2             94              0              4   2.377172e+01   3.330963e-01   1.159614e+00
        104500   4.842532e-01   9.700083e+01              5             95              0              4   2.379670e+01   3.257685e-01   1.154134e+00
        105000   4.958579e-01   1.391282e+02              3             91              0              4   2.340307e+01   3.246745e-01   1.141186e+00
        105500   4.818451e-01   1.401171e+02              4             97              0              3   2.362490e+01   3.328185e-01   1.152839e+00
        106000   4.895661e-01   1.410959e+02              4             94              0              4   2.368586e+01   3.230475e-01   1.155334e+00
        106500   5.024459e-01   1.420876e+02              3             92              0              3   2.338537e+01   3.185382e-01   1.136432e+00
        107000   4.857856e-01   1.430805e+02              5             94              0              4   2.353654e+01   3.292992e-01   1.119507e+00
        107500   5.067730e-01   1.440725e+02              4             95              0              5   2.346724e+01   3.341541e-01   1.122620e+00
        108000   4.833065e-01   1.450626e+02              5             96              0              3   2.376068e+01   3.261869e-01   1.145328e+00
        108500   4.856892e-01   1.460424e+02              5             96              0              4   2.349065e+01   3.434533e-01   1.124994e+00
        109000   5.056826e-01   1.470389e+02              3             94              0              3   2.365071e+01   3.249471e-01   1.131128e+00
        109500   4.953863e-01   1.480361e+02              3             93              0              5   2.380607e+01   3.168535e-01   1.144718e+00
        110000   4.798356e-01   1.490001e+02              4             90              0              4   2.411414e+01   3.182749e-01   1.167829e+00
        110500   4.716705e-01   1.081445e+02              5             94              0              5   2.385562e+01   3.251430e-01   1.165372e+00
        111000   4.821927e-01   1.508771e+02              4             89              0              4   2.373927e+01   3.129266e-01   1.161346e+00
        111500   4.804945e-01   1.100747e+02              5             93              0              3   2.397952e+01   3.335807e-01   1.158412e+00
        112000   4.800171e-01   1.110543e+02              5             93              0              3   2.359116e+01   3.376098e-01   1.150199e+00
        112500   4.663752e-01   1.120484e+02              4             98              0              4   2.401096e+01   3.476562e-01   1.157085e+00
        113000   4.712037e-01   1.130193e+02              5             96              0              3   2.387515e+01   3.434829e-01   1.167322e+00
        113500   4.747484e-01   1.140044e+02              5             94              0              4   2.389743e+01   3.502920e-01   1.150459e+00
        114000   4.711535e-01   1.149898e+02              5             95              0              4   2.392797e+01   3.588068e-01   1.153541e+00
        114500   4.659963e-01   1.159741e+02              5             93              0              4   2.367391e+01   3.471838e-01   1.158687e+00
        115000   4.578215e-01   1.169681e+02              6             98              0              2   2.396365e+01   3.551099e-01   1.160575e+00
        115500   4.755887e-01   1.179560e+02              6             90              0              4   2.376627e+01   3.524085e-01   1.156600e+00
        116000   4.926318e-01   1.601769e+02              4             94              0              4   2.361489e+01   3.490513e-01   1.133747e+00
        116500   4.722030e-01   1.198898e+02              6             97              0              5   2.395898e+01   3.532727e-01   1.153344e+00
        117000   4.565281e-01   1.208858e+02              6             95              0              2   2.394382e+01   3.597611e-01   1.154879e+00
        117500   4.519718e-01   1.218807e+02              4             97              0              3   2.386120e+01   3.608327e-01   1.156854e+00
        118000   4.461623e-01   7.697157e+01              5             96              0              2   2.389578e+01   3.629040e-01   1.183079e+00
        118500   4.540607e-01   1.238543e+02              5             96              0              2   2.416685e+01   3.617184e-01   1.173532e+00
        119000   4.539846e-01   1.248432e+02              6             99              0              4   2.416075e+01   3.686830e-01   1.192315e+00
        119500   4.649525e-01   1.258399e+02              4             98              0              4   2.397174e+01   3.601147e-01   1.176833e+00
