         r_bin          count          force            pmf
      0.525000            631   7.845870e+02   2.735181e+01
      0.575000          13984   4.012299e+02   7.290314e+00
      0.625000          22533   1.458063e+02   0.000000e+00
      0.675000          17008  -2.652528e+01   1.326264e+00
      0.725000           6612  -3.641347e+02   1.953300e+01
      0.775000           9302  -4.422354e+02   4.164477e+01
      0.825000          14115  -5.108230e+02   6.718592e+01
      0.875000           3718  -4.023720e+02   8.730452e+01
      0.925000          16291  -3.487428e+02   1.047417e+02
      0.975000           7952  -4.022840e+02   1.248559e+02
      1.025000           2622  -4.724477e+02   1.484782e+02
      1.075000           1083  -2.027807e+02   1.586173e+02
      1.125000           4484  -2.026001e+02   1.687473e+02
      1.175000           5790  -1.315995e+02   1.753273e+02
      1.225000          12541  -3.113801e+01   1.768842e+02
      1.275000          12952  -1.765129e+02   1.857098e+02
      1.325000           5147  -3.028774e+02   2.008537e+02
      1.375000           3307  -2.426137e+02   2.129844e+02
      1.425000           6769  -3.098050e+01   2.145334e+02
      1.475000          10970  -9.792587e+01   2.194297e+02
      1.525000           6824  -9.978122e+01   2.244187e+02
      1.575000           7075  -1.342886e+02   2.311332e+02
      1.625000           4083  -8.592600e+01   2.354295e+02
      1.675000          11453  -1.371165e+01   2.361151e+02
      1.725000           8179  -4.389794e+01   2.383100e+02
      1.775000           5339  -6.831968e+00   2.386516e+02
      1.825000           4112   1.043600e+02   2.334336e+02
      1.875000           9671   7.933245e+00   2.330369e+02
      1.925000           8978   2.493732e+01   2.317900e+02
      1.975000           8151  -3.072935e+01   2.333265e+02
      2.025000          11186   4.170099e+01   2.312414e+02
      2.075000          10355   1.318033e+01   2.305824e+02
      2.125000           7510   3.687071e+01   2.287389e+02
      2.175000          10278   3.036054e+01   2.272209e+02
      2.225000           7868  -1.507744e+01   2.279747e+02
      2.275000           7645   4.698886e+01   2.256253e+02
      2.325000           6275   3.477013e+00   2.254514e+02
      2.375000          10132  -2.517971e+01   2.267104e+02
      2.425000          10684  -2.961812e+01   2.281913e+02
      2.475000           5366  -1.800281e+00   2.282813e+02
      2.525000           4394   2.307558e+00   2.281660e+02
      2.575000           4271   3.342149e+01   2.264949e+02
      2.625000          13231  -5.745769e+01   2.293678e+02
      2.675000           6770  -1.832349e+02   2.385295e+02
      2.725000            259  -4.141416e+02   2.592366e+02
