          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   6.420666e-01   0.000000e+00              1             50              1              8   1.306298e+01   0.000000e+00   8.332359e-01
           500   6.725776e-01   9.923366e-01              1             47              0             10   1.319606e+01   7.337265e-02   8.574408e-01
          1000   6.767301e-01   1.982932e+00              2             51              1              8   1.319447e+01   7.792631e-02   8.423901e-01
          1500   6.979171e-01   2.968650e+00              1             49              1              6   1.340409e+01   9.697638e-02   8.641842e-01
          2000   6.756033e-01   3.943926e+00              1             45              1             10   1.334911e+01   7.676870e-02   8.648652e-01
          2500   7.009537e-01   4.924606e+00              1             48              1             10   1.323103e+01   8.518205e-02   8.586285e-01
          3000   6.899515e-01   5.914030e+00              1             47              2              9   1.314837e+01   9.444598e-02   8.452123e-01
          3500   6.651275e-01   6.903837e+00              1             48              2              6   1.313465e+01   7.636534e-02   8.460740e-01
          4000   6.920482e-01   7.890180e+00              1             51              1             10   1.317565e+01   9.689138e-02   8.530506e-01
          4500   6.761299e-01   8.880070e+00              1             51              1              6   1.330222e+01   9.645195e-02   8.520155e-01
          5000   6.752250e-01   9.871906e+00              1             46              1              9   1.298501e+01   8.892053e-02   8.502099e-01
          5500   6.508825e-01   9.432906e+00              2             50              3              9   1.332040e+01   1.224605e-01   8.830712e-01
          6000   6.374032e-01   1.042213e+01              1             52              2              8   1.307051e+01   1.276090e-01   8.703878e-01
          6500   6.128713e-01   1.141757e+01              2             49              2              6   1.299820e+01   1.177212e-01   8.437558e-01
          7000   6.556438e-01   1.362126e+01              2             50              0              9   1.314187e+01   1.221536e-01   8.709102e-01
          7500   6.739922e-01   1.460738e+01              1             52              0              9   1.316806e+01   9.164299e-02   8.480211e-01
          8000   6.857914e-01   1.559527e+01              2             50              0              8   1.328026e+01   9.878411e-02   8.661746e-01
          8500   6.767864e-01   1.659281e+01              1             52              1              6   1.320483e+01   1.127715e-01   8.711484e-01
          9000   6.764472e-01   1.758350e+01              1             52              1              8   1.308443e+01   1.156255e-01   8.693302e-01
          9500   6.725018e-01   1.857883e+01              1             52              1              9   1.298591e+01   1.276076e-01   8.735416e-01
         10000   6.695689e-01   1.957189e+01              2             52              1              8   1.309975e+01   1.240506e-01   8.719620e-01
         10500   6.552248e-01   2.055663e+01              1             52              1              8   1.319838e+01   1.160044e-01   8.690102e-01
         11000   6.835046e-01   1.885670e+01              1             52              1             10   1.301227e+01   1.203723e-01   8.681954e-01
         11500   6.610850e-01   2.250991e+01              2             53              0              9   1.318721e+01   1.203196e-01   8.726843e-01
         12000   6.645698e-01   2.349626e+01              2             52              0              8   1.331725e+01   1.229887e-01   8.767131e-01
         12500   6.605124e-01   2.448354e+01              1             52              1              8   1.336330e+01   1.212992e-01   8.859286e-01
         13000   6.700366e-01   2.546842e+01              1             50              0             10   1.316222e+01   1.198469e-01   8.578088e-01
         13500   6.743483e-01   2.644562e+01              1             50              1              7   1.309017e+01   1.235601e-01   8.724465e-01
         14000   6.947156e-01   2.405891e+01              2             50              1              9   1.322201e+01   1.115963e-01   8.733016e-01
         14500   6.776871e-01   2.842425e+01              1             51              1              7   1.315009e+01   1.250586e-01   8.712904e-01
         15000   6.895600e-01   2.941856e+01              1             52              1              8   1.314538e+01   1.264351e-01   8.729381e-01
         15500   6.503821e-01   2.722590e+01              1             52              1              9   1.334614e+01   1.265176e-01   8.562436e-01
         16000   6.634688e-01   3.139540e+01              2             50              1              9   1.334034e+01   1.400561e-01   8.709743e-01
         16500   7.066582e-01   2.844050e+01              1             51              0              8   1.310209e+01   1.215490e-01   8.756577e-01
         17000   6.973792e-01   2.942621e+01              2             50              0              8   1.318622e+01   1.156968e-01   8.812055e-01
         17500   6.773748e-01   3.424239e+01              1             50              0              7   1.301409e+01   1.222106e-01   8.532415e-01
         18000   6.716421e-01   3.522159e+01              1             50              0              7   1.300923e+01   1.147640e-01   8.524464e-01
         18500   6.748648e-01   3.620840e+01              1             50              0              6   1.306257e+01   9.600542e-02   8.514008e-01
         19000   6.770702e-01   3.718262e+01              1             53              0              8   1.294252e+01   1.191825e-01   8.542754e-01
         19500   6.834110e-01   3.817932e+01              2             51              0              8   1.332396e+01   1.267403e-01   8.692414e-01
         20000   6.879923e-01   3.480204e+01              1             52              0              8   1.309326e+01   1.205304e-01   8.551748e-01
         20500   7.123794e-01   3.574071e+01              2             50              1              6   1.322296e+01   1.184567e-01   8.800606e-01
         21000   7.091851e-01   3.673616e+01              2             50              1              6   1.318942e+01   1.228969e-01   8.670709e-01
         21500   6.925666e-01   4.200159e+01              2             52              1             10   1.311446e+01   1.069805e-01   8.539300e-01
         22000   7.029024e-01   4.295712e+01              1             49              1              9   1.342802e+01   1.110623e-01   8.789226e-01
         22500   6.614282e-01   4.393110e+01              1             51              0              5   1.340439e+01   9.493972e-02   8.506184e-01
         23000   6.766974e-01   4.492766e+01              2             52              1              6   1.352195e+01   1.099649e-01   8.638651e-01
         23500   6.664263e-01   4.592117e+01              2             53              1              9   1.331710e+01   1.128429e-01   8.558328e-01
         24000   6.788500e-01   4.691748e+01              1             52              0              8   1.334772e+01   1.045148e-01   8.778165e-01
         24500   6.796023e-01   4.791129e+01              1             52              1              9   1.325429e+01   1.029348e-01   8.621629e-01
         25000   6.771493e-01   4.890879e+01              1             52              1              8   1.327343e+01   9.790281e-02   8.542295e-01
         25500   6.923484e-01   4.989018e+01              1             49              1              7   1.323179e+01   1.126507e-01   8.844701e-01
         26000   6.773754e-01   5.087648e+01              2             50              0              6   1.296607e+01   1.124180e-01   8.524779e-01
         26500   6.831969e-01   5.187197e+01              1             49              0              8   1.299803e+01   1.037928e-01   8.531853e-01
         27000   6.793520e-01   5.286201e+01              1             51              1              8   1.336738e+01   1.180334e-01   8.818189e-01
         27500   7.075510e-01   4.859879e+01              1             49              0              8   1.294784e+01   1.135003e-01   8.672808e-01
         28000   6.786977e-01   5.479827e+01              2             49              1             10   1.336818e+01   1.347922e-01   8.700502e-01
         28500   6.953479e-01   5.574972e+01              2             52              0             10   1.312461e+01   1.110953e-01   8.669523e-01
         29000   7.063079e-01   5.144974e+01              2             46              0              8   1.342798e+01   1.063275e-01   8.769526e-01
         29500   7.273040e-01   5.240266e+01              2             52              0              8   1.309798e+01   1.121484e-01   8.733916e-01
         30000   6.927362e-01   5.855705e+01              2             52              1              8   1.308681e+01   1.032717e-01   8.603407e-01
         30500   6.567229e-01   5.954976e+01              1             52              1              9   1.289248e+01   1.029141e-01   8.565840e-01
         31000   6.647437e-01   6.054312e+01              1             51              1              9   1.340764e+01   1.161548e-01   8.714961e-01
