         r_bin          count          force            pmf
      0.575000             36   9.488540e+02   4.583161e+01
      0.625000           3572   6.770555e+02   1.197884e+01
      0.675000          28982   2.395768e+02   0.000000e+00
      0.725000          33137  -1.396283e+02   6.981417e+00
      0.775000           8017  -6.364226e+02   3.880255e+01
      0.825000           3811  -8.369278e+02   8.064894e+01
      0.875000           1947  -5.860920e+02   1.099535e+02
      0.925000           7109  -2.728200e+02   1.235945e+02
      0.975000          19536  -2.087107e+02   1.340301e+02
      1.025000          16441  -2.863359e+02   1.483469e+02
      1.075000          13724  -4.590239e+02   1.712981e+02
      1.125000           4456  -5.065973e+02   1.966279e+02
      1.175000           4243  -1.969957e+02   2.064777e+02
      1.225000           7655  -1.452849e+02   2.137420e+02
      1.275000          16509  -1.511609e+02   2.213000e+02
      1.325000           6373  -2.022865e+02   2.314143e+02
      1.375000           7060  -1.653048e+02   2.396796e+02
      1.425000           6824  -1.821837e+02   2.487887e+02
      1.475000           7164  -2.103970e+02   2.593086e+02
      1.525000           2628  -2.937768e+02   2.739974e+02
      1.575000           2305  -1.409969e+02   2.810473e+02
      1.625000           8756   3.598777e+00   2.808673e+02
      1.675000          12017  -5.940304e+01   2.838375e+02
      1.725000           6934  -6.176462e+01   2.869257e+02
      1.775000           4845  -9.184199e+01   2.915178e+02
      1.825000           5705  -4.837391e+00   2.917597e+02
      1.875000           7213  -7.305538e+01   2.954125e+02
      1.925000           4742  -2.417326e+01   2.966211e+02
      1.975000           4273  -4.839708e+01   2.990410e+02
      2.025000           3721  -6.018300e+00   2.993419e+02
      2.075000           5804   3.093328e+00   2.991872e+02
      2.125000           4459  -1.040868e+02   3.043916e+02
      2.175000           1906  -6.774513e+01   3.077788e+02
      2.225000            645  -2.005767e+01   3.087817e+02
      2.275000           3778   4.838526e+01   3.063624e+02
      2.325000           7085  -2.169170e+01   3.074470e+02
      2.375000           3578  -2.749442e+01   3.088218e+02
      2.425000           6508   1.062986e+01   3.082903e+02
      2.475000           4690  -5.986543e+01   3.112835e+02
      2.525000           3605  -1.076147e-01   3.112889e+02
      2.575000           2896  -1.487213e+00   3.113633e+02
      2.625000           2797   1.809115e+01   3.104587e+02
      2.675000           3898  -3.041326e+01   3.119794e+02
      2.725000           1116  -1.329786e+02   3.186283e+02
