          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   6.956273e-01   0.000000e+00              3             36              0              7   1.125581e+01   0.000000e+00   6.170138e-01
           500   7.096180e-01   9.751668e-01              3             36              0              7   1.138596e+01   5.448125e-02   6.228472e-01
          1000   7.058316e-01   1.865496e+00              3             37              0              7   1.115589e+01   6.670866e-02   6.132141e-01
          1500   7.060600e-01   2.811620e+00              3             39              0              8   1.129754e+01   8.018321e-02   6.107246e-01
          2000   6.975746e-01   3.918343e+00              3             38              0              8   1.131078e+01   8.490092e-02   6.118702e-01
          2500   7.104799e-01   4.906806e+00              3             35              0              8   1.098402e+01   1.085504e-01   6.007849e-01
          3000   7.057596e-01   5.882308e+00              2             37              0              7   1.113345e+01   1.027040e-01   6.103352e-01
          3500   7.022029e-01   6.866076e+00              3             36              0              6   1.112205e+01   1.163130e-01   5.965134e-01
          4000   6.889916e-01   7.579094e+00              3             36              0              6   1.104624e+01   1.252248e-01   5.998215e-01
          4500   6.877384e-01   8.566873e+00              2             35              0              6   1.065550e+01   1.364383e-01   5.877454e-01
          5000   7.007988e-01   9.557993e+00              2             35              0              5   1.077566e+01   1.247822e-01   5.860841e-01
          5500   6.838777e-01   1.054728e+01              2             35              0              6   1.054654e+01   1.398982e-01   5.807895e-01
          6000   7.154138e-01   1.157159e+01              2             34              0              4   1.045760e+01   1.227189e-01   5.852798e-01
          6500   6.908073e-01   1.245969e+01              2             35              0              5   1.055085e+01   1.266164e-01   5.815044e-01
          7000   6.920624e-01   1.344655e+01              2             35              0              6   1.066087e+01   1.230120e-01   5.856758e-01
          7500   6.933934e-01   1.442166e+01              2             34              0              7   1.060212e+01   1.262367e-01   5.914525e-01
          8000   7.127065e-01   1.539103e+01              2             34              0              6   1.063063e+01   1.364956e-01   5.870959e-01
          8500   6.902663e-01   1.635420e+01              2             34              0              7   1.051526e+01   1.318478e-01   5.873974e-01
          9000   6.991315e-01   1.732151e+01              2             34              0              7   1.036530e+01   1.443156e-01   5.807628e-01
          9500   6.864681e-01   1.828986e+01              3             35              0              6   1.019567e+01   1.516255e-01   5.717317e-01
         10000   7.058688e-01   1.918768e+01              2             33              0              6   1.051911e+01   1.511522e-01   5.843629e-01
         10500   6.899770e-01   2.022305e+01              2             34              0              6   1.030005e+01   1.607635e-01   5.699658e-01
         11000   6.909013e-01   2.121713e+01              2             34              0              6   1.025387e+01   1.628883e-01   5.681981e-01
         11500   6.869306e-01   2.220303e+01              3             34              0              7   1.031777e+01   1.627384e-01   5.743234e-01
         12000   6.982287e-01   2.291506e+01              3             34              0              6   1.045561e+01   1.490091e-01   5.812138e-01
         12500   7.051543e-01   2.416705e+01              2             33              0              6   1.023836e+01   1.659810e-01   5.687684e-01
         13000   7.016993e-01   2.512691e+01              2             31              0              6   1.039817e+01   1.602023e-01   5.716734e-01
         13500   7.175171e-01   2.581125e+01              2             34              0              4   1.057326e+01   1.441144e-01   5.861467e-01
         14000   7.010225e-01   2.679255e+01              2             34              0              6   1.045737e+01   1.503194e-01   5.837244e-01
         14500   6.805005e-01   2.796314e+01              2             34              0              6   1.043539e+01   1.657630e-01   5.769219e-01
         15000   7.212242e-01   2.870400e+01              1             34              0              5   1.061462e+01   1.475727e-01   5.849352e-01
         15500   6.879447e-01   2.986727e+01              2             35              0              5   1.050411e+01   1.490965e-01   5.774837e-01
         16000   6.882451e-01   3.083904e+01              2             35              0              4   1.056354e+01   1.365851e-01   5.848365e-01
         16500   6.958390e-01   3.158916e+01              2             34              0              6   1.055346e+01   1.435451e-01   5.867756e-01
         17000   6.983355e-01   3.277389e+01              2             33              0              6   1.066775e+01   1.302464e-01   5.977545e-01
         17500   7.040493e-01   3.346311e+01              2             34              0              5   1.077274e+01   1.501957e-01   5.959276e-01
         18000   6.999393e-01   3.440342e+01              3             35              0              7   1.043567e+01   1.589228e-01   5.774999e-01
         18500   6.855750e-01   3.569410e+01              2             35              0              7   1.047924e+01   1.447797e-01   5.804122e-01
         19000   6.959841e-01   3.628058e+01              2             34              0              6   1.051670e+01   1.418894e-01   5.867325e-01
         19500   6.922176e-01   3.762510e+01              2             35              0              6   1.056690e+01   1.372232e-01   5.821195e-01
