         r_bin          count          force            pmf
      0.575000            500   1.740596e+03   1.458425e+02
      0.625000          25492   1.399593e+03   7.586290e+01
      0.675000          59677   9.234881e+02   2.968849e+01
      0.725000          25933   5.496773e+02   2.204628e+00
      0.775000          50338   4.409256e+01   0.000000e+00
      0.825000          18952  -3.553445e+02   1.776723e+01
      0.875000          17429  -4.613124e+02   4.083285e+01
      0.925000          28844  -3.460101e+02   5.813335e+01
      0.975000          25635  -4.448458e+02   8.037564e+01
      1.025000          15112  -4.434434e+02   1.025478e+02
      1.075000           4900  -5.229679e+02   1.286962e+02
      1.125000           2287  -6.279126e+02   1.600918e+02
      1.175000           2697  -4.212706e+02   1.811554e+02
      1.225000           5806  -2.451319e+02   1.934120e+02
      1.275000           4161  -1.980617e+02   2.033151e+02
      1.325000           7803  -1.535145e+02   2.109908e+02
      1.375000           4314  -1.715345e+02   2.195675e+02
      1.425000           2440  -2.639627e+02   2.327656e+02
      1.475000           4714  -9.831429e+01   2.376814e+02
      1.525000           8885  -1.468173e+02   2.450222e+02
      1.575000           3025  -2.855967e+02   2.593020e+02
      1.625000           4778  -1.617764e+02   2.673909e+02
      1.675000           6667  -1.778618e+02   2.762840e+02
      1.725000           8440  -3.300175e+01   2.779340e+02
      1.775000          11948  -4.257063e-01   2.779553e+02
      1.825000           9656  -2.852379e+01   2.793815e+02
      1.875000          11844  -8.711331e+01   2.837372e+02
      1.925000           8233  -5.881284e+01   2.866778e+02
      1.975000           6792  -4.090027e+01   2.887228e+02
      2.025000           6734  -7.433170e+01   2.924394e+02
      2.075000           4882  -5.536023e+01   2.952074e+02
      2.125000           4364  -1.731434e+01   2.960732e+02
      2.175000           4372  -2.617763e+01   2.973820e+02
      2.225000           6470  -8.078935e+01   3.014215e+02
      2.275000           3614  -1.097394e+02   3.069085e+02
      2.325000           1715  -1.395262e+02   3.138848e+02
      2.375000           6829  -3.416791e+00   3.140556e+02
      2.425000           5812  -5.914632e+01   3.170129e+02
      2.475000           6769   5.272810e-01   3.169866e+02
      2.525000           7053  -3.441281e+01   3.187072e+02
      2.575000           4655   8.052924e+00   3.183046e+02
      2.625000           7995  -1.216521e+01   3.189128e+02
      2.675000           7934  -4.473798e+01   3.211497e+02
      2.725000           3393  -3.611482e+01   3.229555e+02
      2.775000           7166  -5.289242e+01   3.256001e+02
      2.825000          13685  -1.332824e+02   3.322642e+02
      2.875000          11667  -2.846085e+02   3.464946e+02
      2.925000           1089  -4.487057e+02   3.689299e+02
