          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   7.538603e-01   0.000000e+00              2             57              0              6   1.481728e+01   0.000000e+00   7.145941e-01
           500   7.841504e-01   9.910589e-01              1             56              0              4   1.492644e+01   5.775227e-02   7.234928e-01
          1000   7.773615e-01   1.987814e+00              2             54              0              5   1.467625e+01   7.624695e-02   7.202708e-01
          1500   7.900913e-01   2.984461e+00              2             54              0              5   1.450013e+01   7.514115e-02   7.122921e-01
          2000   7.795744e-01   3.970782e+00              2             56              0              6   1.499486e+01   7.686564e-02   7.224819e-01
          2500   7.773050e-01   4.960925e+00              1             55              0              3   1.503224e+01   6.888747e-02   7.279521e-01
          3000   7.744314e-01   5.953780e+00              1             56              0              6   1.536757e+01   8.302411e-02   7.247693e-01
          3500   7.671495e-01   6.945929e+00              2             58              0              4   1.544870e+01   8.790705e-02   7.234618e-01
          4000   7.686198e-01   7.943060e+00              1             55              0              4   1.509341e+01   7.577236e-02   7.222285e-01
          4500   7.689171e-01   8.941945e+00              3             57              0              4   1.509792e+01   9.409652e-02   7.241845e-01
          5000   8.006934e-01   8.923584e+00              1             53              0              4   1.511826e+01   1.131016e-01   7.378041e-01
          5500   7.739605e-01   1.092155e+01              1             57              0              6   1.516749e+01   1.260844e-01   7.237387e-01
          6000   7.690084e-01   1.191834e+01              2             57              0              5   1.515832e+01   1.462246e-01   7.089698e-01
          6500   7.839101e-01   1.291117e+01              1             57              0              5   1.528014e+01   1.333758e-01   7.290554e-01
          7000   7.927663e-01   1.389253e+01              1             55              0              5   1.513079e+01   1.368390e-01   7.147617e-01
          7500   7.882466e-01   1.487938e+01              1             57              0              6   1.510792e+01   1.213811e-01   7.161622e-01
          8000   7.848283e-01   1.585484e+01              1             56              0              6   1.494912e+01   1.215340e-01   7.089634e-01
          8500   7.832277e-01   1.684385e+01              1             58              0              6   1.491671e+01   1.266278e-01   7.035501e-01
          9000   7.741929e-01   1.783700e+01              2             56              0              7   1.521258e+01   1.262120e-01   7.123799e-01
          9500   7.917390e-01   1.882615e+01              1             55              0              3   1.489899e+01   1.181279e-01   7.161347e-01
         10000   7.842960e-01   1.981136e+01              1             58              0              5   1.520105e+01   1.285352e-01   7.055682e-01
         10500   7.891988e-01   2.080695e+01              1             56              0              4   1.512474e+01   1.269753e-01   7.110723e-01
         11000   7.910891e-01   2.180010e+01              2             57              0              6   1.529385e+01   1.340858e-01   7.072722e-01
         11500   8.104197e-01   2.276002e+01              1             54              0              6   1.538386e+01   1.489894e-01   7.198441e-01
         12000   8.077868e-01   2.150960e+01              2             54              0              5   1.531751e+01   1.305580e-01   7.342454e-01
         12500   7.958650e-01   2.470862e+01              1             55              0              4   1.500249e+01   1.455777e-01   7.016905e-01
         13000   8.082383e-01   2.343707e+01              1             54              0              4   1.516682e+01   1.260081e-01   7.095424e-01
         13500   7.860154e-01   2.664397e+01              1             55              0              5   1.530726e+01   1.261494e-01   7.122214e-01
         14000   7.967284e-01   2.530943e+01              1             51              0              4   1.523384e+01   1.345337e-01   7.257787e-01
         14500   7.775667e-01   2.861087e+01              1             56              0              5   1.521875e+01   1.391813e-01   7.076577e-01
         15000   8.012564e-01   2.710907e+01              1             54              0              6   1.513480e+01   1.290273e-01   7.176187e-01
         15500   7.773728e-01   3.056831e+01              2             55              0              5   1.530998e+01   1.269423e-01   7.137625e-01
         16000   7.713226e-01   3.155298e+01              1             57              0              3   1.524895e+01   1.334003e-01   7.217823e-01
         16500   8.093462e-01   2.986769e+01              2             53              0              4   1.553640e+01   1.353526e-01   7.284703e-01
         17000   7.951395e-01   3.349150e+01              1             53              0              6   1.523767e+01   1.224144e-01   7.182883e-01
         17500   7.958377e-01   3.448364e+01              2             54              0              5   1.527785e+01   1.398467e-01   7.188375e-01
         18000   7.900212e-01   3.546800e+01              1             54              0              5   1.537069e+01   1.254568e-01   7.181119e-01
         18500   7.853684e-01   3.646146e+01              1             53              0              5   1.528954e+01   1.296972e-01   7.278545e-01
         19000   7.746823e-01   3.743889e+01              1             56              0              2   1.506514e+01   1.308505e-01   7.148093e-01
         19500   7.751146e-01   3.843272e+01              1             54              0              4   1.504918e+01   1.302696e-01   7.094971e-01
         20000   7.819655e-01   3.942121e+01              1             57              0              4   1.531314e+01   1.366581e-01   7.216928e-01
         20500   8.033104e-01   3.729598e+01              1             52              0              3   1.522273e+01   1.441310e-01   7.242785e-01
         21000   8.163241e-01   3.824960e+01              2             50              0              3   1.492044e+01   1.454368e-01   7.059460e-01
         21500   7.855538e-01   4.226362e+01              3             53              0              4   1.497901e+01   1.468812e-01   7.192400e-01
         22000   7.894689e-01   4.324075e+01              2             52              0              5   1.492187e+01   1.393219e-01   7.231582e-01
         22500   8.047471e-01   4.422444e+01              1             53              0              5   1.514326e+01   1.365625e-01   7.192636e-01
         23000   7.844765e-01   4.203042e+01              1             52              0              3   1.519655e+01   1.307528e-01   7.223067e-01
         23500   7.906213e-01   4.615778e+01              3             55              0              6   1.513667e+01   1.268265e-01   7.146402e-01
         24000   7.746829e-01   4.714275e+01              2             54              0              6   1.485922e+01   1.228484e-01   7.078959e-01
         24500   8.248522e-01   4.484777e+01              2             54              0              4   1.528647e+01   1.401456e-01   7.213570e-01
         25000   8.210598e-01   4.583025e+01              2             52              0              5   1.498377e+01   1.435561e-01   7.079625e-01
         25500   7.971023e-01   4.982815e+01              1             52              0              5   1.489704e+01   1.376033e-01   7.029506e-01
         26000   8.019918e-01   5.079962e+01              1             52              0              4   1.513406e+01   1.314216e-01   7.141892e-01
         26500   7.901053e-01   5.175194e+01              2             55              0              5   1.522993e+01   1.296785e-01   7.188217e-01
         27000   7.830741e-01   5.274517e+01              2             60              0              5   1.503005e+01   1.322931e-01   7.125506e-01
         27500   7.788628e-01   5.373532e+01              1             57              0              4   1.517867e+01   1.205173e-01   7.234128e-01
         28000   7.834041e-01   5.472625e+01              2             57              0              5   1.508571e+01   1.300456e-01   7.199048e-01
         28500   7.806071e-01   5.571769e+01              2             58              0              5   1.500546e+01   1.441178e-01   7.129781e-01
         29000   8.043223e-01   5.328566e+01              1             55              0              5   1.513842e+01   1.397240e-01   7.295166e-01
         29500   7.722319e-01   5.765606e+01              2             56              0              5   1.507269e+01   1.359301e-01   7.205429e-01
         30000   7.861089e-01   5.864531e+01              2             56              0              5   1.533402e+01   1.328185e-01   7.258020e-01
         30500   7.738997e-01   5.963891e+01              2             57              0              6   1.487974e+01   1.302655e-01   7.182838e-01
         31000   7.788224e-01   6.063637e+01              1             58              0              7   1.508242e+01   1.384267e-01   7.069997e-01
         31500   8.057911e-01   5.781461e+01              2             54              0              6   1.522594e+01   1.351968e-01   7.196905e-01
         32000   7.888378e-01   6.254215e+01              2             51              0              5   1.524401e+01   1.361191e-01   7.231528e-01
         32500   7.672016e-01   6.353211e+01              1             57              0              6   1.521320e+01   1.315108e-01   7.145478e-01
         33000   7.821805e-01   6.452443e+01              1             54              0              6   1.522302e+01   1.325326e-01   7.190233e-01
         33500   7.844676e-01   6.552189e+01              2             54              0              5   1.510098e+01   1.238484e-01   7.250631e-01
         34000   8.008581e-01   6.235030e+01              1             54              0              5   1.508775e+01   1.253854e-01   7.167903e-01
         34500   7.679151e-01   6.748325e+01              1             57              0              4   1.508715e+01   1.089605e-01   7.178680e-01
         35000   7.761215e-01   6.847521e+01              2             57              0              6   1.533970e+01   1.047273e-01   7.258384e-01
         35500   7.965274e-01   6.493460e+01              3             55              0              6   1.519149e+01   1.090200e-01   7.325484e-01
         36000   7.859210e-01   7.045127e+01              1             53              0              4   1.526566e+01   1.140181e-01   7.362666e-01
         36500   7.776554e-01   7.144532e+01              1             56              0              5   1.519787e+01   1.008868e-01   7.256185e-01
         37000   7.750071e-01   7.244187e+01              1             55              0              4   1.489672e+01   1.010253e-01   7.299080e-01
         37500   7.678840e-01   7.343873e+01              1             57              0              6   1.520034e+01   8.647975e-02   7.318560e-01
         38000   7.671591e-01   7.443284e+01              3             56              0              5   1.506749e+01   9.897903e-02   7.162150e-01
         38500   7.772715e-01   7.542925e+01              2             57              0              4   1.516463e+01   9.819846e-02   7.271446e-01
         39000   7.763869e-01   7.642388e+01              1             59              0              4   1.520736e+01   1.053583e-01   7.171665e-01
         39500   7.720803e-01   7.741862e+01              1             58              0              6   1.503788e+01   9.874930e-02   7.237658e-01
         40000   7.641360e-01   7.839920e+01              3             54              0              6   1.503809e+01   1.242654e-01   7.345468e-01
         40500   7.599126e-01   7.935783e+01              2             57              0              5   1.487436e+01   1.028912e-01   7.127865e-01
         41000   7.690444e-01   8.027404e+01              1             53              0              3   1.488575e+01   9.378245e-02   7.263898e-01
         41500   8.012192e-01   7.521737e+01              1             53              0              6   1.489558e+01   9.903827e-02   7.257435e-01
         42000   7.891828e-01   8.223769e+01              1             55              0              6   1.503674e+01   9.448752e-02   7.232281e-01
         42500   7.786894e-01   8.323221e+01              1             60              0              5   1.534340e+01   1.134419e-01   7.248302e-01
         43000   7.764072e-01   8.422804e+01              1             59              1              5   1.508499e+01   1.199811e-01   7.194307e-01
         43500   7.560940e-01   7.250252e+01              1             59              0              6   1.507014e+01   9.669323e-02   7.171232e-01
         44000   7.624096e-01   8.616798e+01              1             58              1              4   1.514769e+01   9.740756e-02   7.171746e-01
         44500   7.705534e-01   8.712023e+01              1             55              0              5   1.517606e+01   9.304930e-02   7.239699e-01
         45000   7.675948e-01   7.531242e+01              3             57              0              5   1.486637e+01   9.031912e-02   7.193249e-01
         45500   7.747412e-01   8.906699e+01              2             53              0              5   1.485885e+01   1.049805e-01   7.337797e-01
         46000   7.756988e-01   9.005590e+01              2             55              0              4   1.477526e+01   9.048595e-02   7.235951e-01
         46500   7.757127e-01   9.103989e+01              1             56              0              4   1.515109e+01   9.161209e-02   7.223140e-01
         47000   7.706704e-01   9.203362e+01              2             54              0              3   1.492121e+01   1.030047e-01   7.133109e-01
         47500   7.927774e-01   9.302086e+01              2             51              0              4   1.504502e+01   1.030659e-01   7.234281e-01
         48000   7.921979e-01   9.398788e+01              2             52              0              7   1.496698e+01   1.110921e-01   7.177176e-01
         48500   7.849285e-01   9.493959e+01              1             56              0              5   1.506881e+01   1.116907e-01   7.165134e-01
         49000   7.626249e-01   8.211636e+01              2             57              0              5   1.520169e+01   1.036032e-01   7.158261e-01
         49500   7.635112e-01   9.685768e+01              1             55              0              5   1.526285e+01   1.087474e-01   7.220843e-01
         50000   7.729434e-01   9.781009e+01              2             56              0              4   1.503356e+01   1.187906e-01   7.094284e-01
         50500   7.396255e-01   8.500609e+01              1             58              0              5   1.490391e+01   1.008492e-01   7.049078e-01
         51000   7.633191e-01   8.599871e+01              1             57              0              5   1.491276e+01   1.110567e-01   7.116509e-01
         51500   8.070797e-01   9.172950e+01              1             52              0              7   1.501680e+01   1.378885e-01   7.236796e-01
         52000   7.845543e-01   1.015275e+02              1             56              0              4   1.509431e+01   1.291684e-01   7.266856e-01
         52500   8.096362e-01   9.365270e+01              1             56              0              5   1.518283e+01   1.374002e-01   7.349603e-01
         53000   8.019272e-01   9.464341e+01              1             57              0              4   1.529121e+01   1.306995e-01   7.266379e-01
         53500   8.291196e-01   6.921740e+01              1             54              0              4   1.521384e+01   1.187490e-01   7.259642e-01
         54000   8.196914e-01   9.660892e+01              1             55              0              5   1.549534e+01   1.570237e-01   7.432129e-01
         54500   7.903383e-01   1.058252e+02              1             51              0              5   1.524394e+01   1.324141e-01   7.238576e-01
         55000   8.228516e-01   9.855455e+01              1             54              0              4   1.573163e+01   1.396434e-01   7.351504e-01
         55500   8.226850e-01   9.953698e+01              1             55              0              4   1.551132e+01   1.358545e-01   7.322370e-01
         56000   8.181940e-01   1.005243e+02              1             54              0              4   1.550772e+01   1.451873e-01   7.177050e-01
         56500   8.453201e-01   7.465646e+01              1             47              0              5   1.565539e+01   1.903499e-01   7.408532e-01
         57000   8.632485e-01   7.564864e+01              1             43              0              5   1.554679e+01   1.792361e-01   7.561907e-01
         57500   8.727590e-01   7.662105e+01              2             44              0              5   1.554328e+01   1.901343e-01   7.505674e-01
         58000   8.662190e-01   7.754593e+01              2             48              0              7   1.592491e+01   1.836708e-01   7.635949e-01
         58500   8.694142e-01   7.852512e+01              2             47              0              4   1.548017e+01   1.990301e-01   7.523120e-01
         59000   8.691050e-01   7.951596e+01              2             46              0              7   1.571093e+01   1.812174e-01   7.528615e-01
