         r_bin          count          force            pmf
      0.775000            217   3.072535e+02   4.579629e+00
      0.825000           5461   9.159258e+01   0.000000e+00
      0.875000          12491  -6.220857e+00   3.110428e-01
      0.925000           5719  -1.168855e+02   6.155317e+00
      0.975000           2122  -2.324931e+02   1.777997e+01
      1.025000           3211  -2.473734e+02   3.014864e+01
      1.075000            916  -8.363286e+01   3.433029e+01
      1.125000           5887  -1.026479e+02   3.946268e+01
      1.175000           7816  -7.573228e+01   4.324929e+01
      1.225000           4892  -1.621155e+02   5.135507e+01
      1.275000           3627  -1.813994e+02   6.042504e+01
      1.325000           3491  -2.107769e+02   7.096389e+01
      1.375000           2005  -2.006287e+02   8.099532e+01
      1.425000           4989  -1.011531e+02   8.605298e+01
      1.475000           5607  -8.834987e+01   9.047047e+01
      1.525000           5890  -1.088617e+02   9.591355e+01
      1.575000           6758  -1.521524e+02   1.035212e+02
      1.625000           2755  -2.029371e+02   1.136680e+02
      1.675000           1448  -2.050092e+02   1.239185e+02
      1.725000           2746  -1.163772e+02   1.297373e+02
      1.775000           4109  -1.159473e+02   1.355347e+02
      1.825000           1226  -2.002279e+02   1.455461e+02
      1.875000           3463  -6.319701e+01   1.487060e+02
      1.925000           2286  -1.522419e+02   1.563181e+02
      1.975000            506  -1.209691e+02   1.623665e+02
      2.025000           2523   3.739768e+00   1.621795e+02
      2.075000           4790  -9.056676e+01   1.667079e+02
      2.125000           1311  -1.058554e+02   1.720006e+02
      2.175000           1222  -6.307375e+01   1.751543e+02
      2.225000           3209  -8.988620e+01   1.796486e+02
      2.275000           3694  -4.432741e+01   1.818650e+02
      2.325000           4461  -9.404600e+01   1.865673e+02
      2.375000           4670  -1.069230e+02   1.919134e+02
      2.425000           2168  -6.210837e+01   1.950189e+02
      2.475000           1181  -2.722076e+02   2.086292e+02
      2.525000            910  -1.558577e+02   2.164221e+02
      2.575000           2129   7.834477e+00   2.160304e+02
      2.625000           4604  -3.655783e+01   2.178583e+02
      2.675000           3027  -9.761029e+01   2.227388e+02
      2.725000            680  -9.388647e+01   2.274331e+02
      2.775000           2468  -5.949428e+01   2.304078e+02
      2.825000           2544  -9.517618e+01   2.351667e+02
      2.875000           6850  -3.454702e+01   2.368940e+02
      2.925000          11461  -9.794115e+01   2.417911e+02
      2.975000           3634  -2.304392e+02   2.533130e+02
      3.025000             26  -2.500243e+02   2.658142e+02
