          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   9.347975e-01   0.000000e+00              0             33              0              2   1.478202e+01   0.000000e+00   7.886082e-01
           500   9.177715e-01   9.944166e-01              0             30              0              3   1.453127e+01   8.994304e-02   7.703157e-01
          1000   8.844811e-01   1.846025e+00              0             31              0              2   1.461509e+01   1.172857e-01   7.782115e-01
          1500   9.043494e-01   2.835433e+00              0             29              0              1   1.486216e+01   1.311821e-01   7.819587e-01
          2000   9.166615e-01   3.805770e+00              0             27              0              2   1.519136e+01   1.584917e-01   8.080809e-01
          2500   8.933166e-01   4.727499e+00              0             21              0              2   1.515563e+01   1.549604e-01   7.915030e-01
          3000   9.037053e-01   5.745861e+00              0             25              0              1   1.510710e+01   1.424583e-01   7.968542e-01
          3500   8.935458e-01   6.729840e+00              0             24              0              2   1.522641e+01   1.559426e-01   7.893916e-01
          4000   8.758250e-01   7.610148e+00              0             28              0              1   1.532715e+01   1.743067e-01   7.907906e-01
          4500   8.604471e-01   8.605941e+00              0             30              0              1   1.552859e+01   1.687090e-01   8.013290e-01
          5000   8.722769e-01   9.579043e+00              0             27              0              1   1.485764e+01   1.835611e-01   7.957214e-01
          5500   8.653719e-01   1.057518e+01              0             25              0              1   1.521539e+01   2.253274e-01   8.029364e-01
          6000   8.705063e-01   1.152917e+01              0             25              0              1   1.493907e+01   2.135022e-01   8.005953e-01
          6500   9.126008e-01   1.183724e+01              0             23              0              1   1.527809e+01   2.188989e-01   8.272679e-01
          7000   8.868446e-01   1.342613e+01              0             22              0              1   1.491519e+01   2.072932e-01   8.045137e-01
          7500   8.726773e-01   1.441816e+01              0             28              0              1   1.496492e+01   2.363335e-01   7.977096e-01
          8000   8.414333e-01   1.294332e+01              0             30              0              1   1.483695e+01   2.175451e-01   8.000238e-01
          8500   9.015223e-01   1.529242e+01              0             24              0              1   1.469983e+01   2.472335e-01   7.914935e-01
          9000   8.790767e-01   1.731815e+01              0             24              0              2   1.512358e+01   2.621957e-01   8.004727e-01
          9500   8.647623e-01   1.830909e+01              0             26              0              1   1.501680e+01   2.465194e-01   7.930171e-01
         10000   8.757573e-01   1.930165e+01              0             23              0              2   1.532130e+01   2.449011e-01   8.121622e-01
         10500   9.204969e-01   1.884366e+01              0             22              0              1   1.502712e+01   2.523798e-01   7.967270e-01
         11000   8.986940e-01   1.983314e+01              0             27              0              2   1.553565e+01   2.534888e-01   8.246205e-01
         11500   8.752756e-01   2.207707e+01              0             26              0              1   1.502701e+01   2.550280e-01   7.987650e-01
         12000   8.818040e-01   2.307405e+01              0             23              0              1   1.520921e+01   2.361563e-01   8.110312e-01
         12500   8.705477e-01   2.406985e+01              0             26              0              1   1.514718e+01   2.562835e-01   8.033289e-01
         13000   8.721794e-01   2.506387e+01              0             25              0              1   1.545122e+01   2.701907e-01   8.131660e-01
         13500   8.843373e-01   2.605705e+01              0             26              0              1   1.513834e+01   2.611669e-01   8.023561e-01
         14000   9.059158e-01   2.704506e+01              0             23              0              1   1.512873e+01   2.547982e-01   8.093271e-01
         14500   8.910885e-01   2.803131e+01              0             25              0              2   1.502707e+01   2.575194e-01   7.998997e-01
         15000   8.752692e-01   2.902398e+01              0             24              0              1   1.520828e+01   2.583673e-01   8.129020e-01
         15500   8.747230e-01   3.001466e+01              0             26              0              1   1.502684e+01   2.454059e-01   8.046648e-01
         16000   8.657890e-01   3.099758e+01              0             26              0              1   1.494900e+01   2.154199e-01   7.922829e-01
         16500   8.630174e-01   3.198907e+01              0             25              0              2   1.487986e+01   2.202609e-01   7.981585e-01
         17000   8.756393e-01   3.298530e+01              0             29              0              1   1.506053e+01   1.994722e-01   8.004072e-01
         17500   8.171541e-01   2.929387e+01              0             30              0              1   1.503432e+01   2.307523e-01   8.074007e-01
         18000   8.238954e-01   3.028816e+01              0             28              0              1   1.489615e+01   2.254221e-01   8.018653e-01
         18500   8.263905e-01   3.128553e+01              0             28              0              2   1.504368e+01   2.285209e-01   8.299622e-01
         19000   8.814379e-01   3.656613e+01              0             27              0              1   1.517407e+01   2.197547e-01   8.333617e-01
         19500   8.888586e-01   3.384057e+01              0             26              0              2   1.488706e+01   2.425156e-01   8.253833e-01
         20000   8.665916e-01   3.855013e+01              0             26              0              2   1.496274e+01   2.598499e-01   8.428194e-01
         20500   8.641886e-01   3.954303e+01              0             26              0              2   1.478295e+01   2.399800e-01   8.098107e-01
         21000   8.760091e-01   4.053181e+01              0             24              0              1   1.503991e+01   2.378368e-01   8.237230e-01
         21500   9.023633e-01   4.151066e+01              0             30              0              1   1.475490e+01   2.390125e-01   7.986262e-01
         22000   8.678271e-01   4.250136e+01              0             24              0              1   1.479931e+01   2.457945e-01   7.965753e-01
         22500   9.088832e-01   3.918540e+01              0             30              0              1   1.509780e+01   2.666590e-01   8.170707e-01
         23000   8.871466e-01   4.440333e+01              0             29              0              2   1.504782e+01   2.469274e-01   8.111669e-01
         23500   8.674787e-01   4.539813e+01              0             31              0              2   1.501134e+01   2.573099e-01   8.074932e-01
         24000   8.696653e-01   4.638340e+01              0             26              0              2   1.491745e+01   2.420234e-01   8.095852e-01
         24500   8.413991e-01   4.165897e+01              0             29              0              1   1.488053e+01   2.317744e-01   8.022636e-01
         25000   8.659958e-01   4.826465e+01              0             29              0              3   1.499707e+01   2.407239e-01   8.123718e-01
         25500   8.649606e-01   4.924209e+01              0             28              0              2   1.503457e+01   2.333164e-01   8.152072e-01
         26000   9.103020e-01   4.499227e+01              0             22              0              1   1.504184e+01   2.664500e-01   8.075137e-01
         26500   9.313766e-01   4.598967e+01              0             27              0              1   1.506184e+01   2.443605e-01   8.023091e-01
         27000   9.414881e-01   3.377617e+01              0             18              0              2   1.489549e+01   2.653684e-01   8.110009e-01
         27500   9.419661e-01   3.476212e+01              0             21              0              2   1.497736e+01   2.678406e-01   8.247787e-01
         28000   9.481109e-01   3.571244e+01              0             20              0              1   1.495702e+01   2.714097e-01   8.182659e-01
         28500   9.981571e-01   2.177191e+01              0             18              0              2   1.456954e+01   2.594124e-01   7.997601e-01
         29000   1.032568e+00   2.275994e+01              0             19              0              2   1.486424e+01   2.835856e-01   8.246471e-01
         29500   1.044099e+00   2.367345e+01              0             18              0              1   1.480562e+01   2.869486e-01   8.325487e-01
         30000   1.044511e+00   1.325270e+01              0             19              0              2   1.499836e+01   2.937833e-01   8.161196e-01
         30500   1.079613e+00   1.423842e+01              0             16              0              1   1.487381e+01   2.837768e-01   8.207305e-01
         31000   1.090045e+00   1.518935e+01              0             15              0              1   1.497058e+01   2.848618e-01   8.137757e-01
         31500   1.072418e+00   1.618018e+01              0             13              0              1   1.472914e+01   3.065662e-01   7.947431e-01
         32000   1.058664e+00   1.716636e+01              0             14              0              2   1.494436e+01   3.358516e-01   7.914471e-01
         32500   1.110553e+00   1.073138e+01              0             15              0              1   1.475772e+01   3.445684e-01   8.051155e-01
         33000   1.161536e+00   6.813584e+00              0             14              0              1   1.487412e+01   3.346373e-01   8.042993e-01
         33500   1.165468e+00   7.803573e+00              0             14              0              2   1.484027e+01   3.393906e-01   7.967690e-01
         34000   1.185063e+00   8.792590e+00              0             13              0              2   1.469773e+01   3.780894e-01   8.027907e-01
         34500   1.182830e+00   9.786809e+00              0             15              0              2   1.457657e+01   3.753534e-01   7.932376e-01
         35000   1.177925e+00   1.077528e+01              0             13              0              2   1.488695e+01   3.714082e-01   8.061462e-01
         35500   1.189097e+00   1.174604e+01              0             13              0              2   1.491435e+01   3.761793e-01   8.202254e-01
         36000   1.204596e+00   9.072643e+00              0             13              0              2   1.491371e+01   3.740989e-01   8.088228e-01
         36500   1.208197e+00   1.364023e+01              0             12              0              2   1.478338e+01   3.540313e-01   8.080796e-01
         37000   1.243371e+00   1.103461e+01              0             13              0              1   1.499635e+01   3.275359e-01   8.167903e-01
         37500   1.272593e+00   8.361773e+00              0             12              0              1   1.512577e+01   3.330432e-01   8.306573e-01
         38000   1.280986e+00   9.339626e+00              0             10              0              2   1.468883e+01   3.317424e-01   8.003284e-01
         38500   1.283877e+00   1.033566e+01              0              9              0              1   1.469154e+01   3.331406e-01   7.900778e-01
         39000   1.265148e+00   1.132730e+01              0             11              0              1   1.483549e+01   3.498930e-01   7.991395e-01
         39500   1.220570e+00   1.546739e+01              0             12              0              1   1.470163e+01   3.389182e-01   7.925410e-01
         40000   1.231441e+00   1.646162e+01              0             14              0              1   1.488078e+01   3.385838e-01   8.004037e-01
         40500   1.178387e+00   1.935513e+01              0             15              0              1   1.471479e+01   3.251668e-01   7.861616e-01
         41000   1.172745e+00   2.035148e+01              0             16              0              2   1.460553e+01   3.405711e-01   7.876873e-01
         41500   1.179731e+00   2.133672e+01              0             16              0              1   1.451627e+01   3.576254e-01   7.797498e-01
         42000   1.181817e+00   2.233015e+01              0             15              0              2   1.446242e+01   3.450018e-01   7.803796e-01
         42500   1.195061e+00   2.332220e+01              0             17              0              2   1.488496e+01   3.784817e-01   8.151742e-01
         43000   1.213867e+00   2.420655e+01              0             16              0              2   1.499365e+01   3.715216e-01   8.113439e-01
         43500   1.196143e+00   2.514393e+01              0             15              0              1   1.508713e+01   3.584525e-01   8.224831e-01
         44000   1.190644e+00   2.606951e+01              0             16              0              2   1.498415e+01   3.443432e-01   8.325229e-01
         44500   1.209721e+00   2.488719e+01              0             17              0              2   1.523447e+01   3.567126e-01   8.379872e-01
         45000   1.225068e+00   2.588080e+01              0             17              0              1   1.515429e+01   3.572487e-01   8.448410e-01
         45500   1.229623e+00   2.687803e+01              0             15              0              1   1.496081e+01   3.619961e-01   8.471300e-01
         46000   1.202310e+00   2.783741e+01              0             16              0              1   1.511221e+01   3.522402e-01   8.398991e-01
         46500   1.218612e+00   2.883344e+01              0             15              0              2   1.519183e+01   3.644937e-01   8.355322e-01
         47000   1.241765e+00   2.401183e+01              0             16              0              1   1.486605e+01   3.542187e-01   8.071401e-01
         47500   1.177686e+00   3.233710e+01              0             18              0              1   1.506870e+01   3.711493e-01   8.088783e-01
         48000   1.198922e+00   3.162746e+01              0             16              0              2   1.482907e+01   3.735296e-01   7.974915e-01
         48500   1.215308e+00   3.255035e+01              0             16              0              1   1.536044e+01   3.779143e-01   8.437297e-01
         49000   1.202127e+00   3.354512e+01              0             20              0              2   1.519795e+01   3.989786e-01   8.278202e-01
         49500   1.214321e+00   3.450428e+01              0             17              0              2   1.484257e+01   3.707781e-01   8.121669e-01
         50000   1.222883e+00   3.549704e+01              0             18              0              1   1.483024e+01   3.692246e-01   8.207549e-01
         50500   1.219468e+00   3.645665e+01              0             18              0              1   1.486747e+01   3.619670e-01   8.139558e-01
         51000   1.181398e+00   3.878323e+01              0             16              0              1   1.523869e+01   3.590914e-01   8.196140e-01
         51500   1.177548e+00   3.978167e+01              0             19              0              1   1.502904e+01   3.361159e-01   8.358507e-01
         52000   1.169948e+00   4.077411e+01              0             16              0              2   1.472111e+01   3.045536e-01   8.333148e-01
         52500   1.114961e+00   3.855169e+01              0             16              0              2   1.457533e+01   3.143584e-01   8.193432e-01
