         r_bin          count          force            pmf
      0.425000           2130   3.854424e+02   1.564076e-01
      0.475000          37033   3.128152e+00   0.000000e+00
      0.525000           6080  -3.299215e+02   1.649607e+01
      0.575000           4244  -4.460672e+02   3.879943e+01
      0.625000          10496  -4.643052e+02   6.201469e+01
      0.675000          11958  -4.093923e+02   8.248431e+01
      0.725000          13952  -3.875347e+02   1.018610e+02
      0.775000          11248  -4.244576e+02   1.230839e+02
      0.825000           5943  -4.764067e+02   1.469043e+02
      0.875000           5703  -3.842482e+02   1.661167e+02
      0.925000           2709  -4.511868e+02   1.886760e+02
      0.975000            992  -2.162122e+02   1.994866e+02
      1.025000           6923  -9.464144e+01   2.042187e+02
      1.075000           6535  -1.518871e+02   2.118130e+02
      1.125000           4440  -1.918826e+02   2.214072e+02
      1.175000           2568  -1.892926e+02   2.308718e+02
      1.225000           1510  -2.060303e+02   2.411733e+02
      1.275000           1717  -7.287548e+00   2.415377e+02
      1.325000           6535  -1.031599e+02   2.466957e+02
      1.375000           4687   7.127979e+00   2.463393e+02
      1.425000           4977  -7.255650e+00   2.467021e+02
      1.475000           5866  -4.390595e+01   2.488974e+02
      1.525000           4259  -1.333711e+01   2.495642e+02
      1.575000           5971   1.336413e+01   2.488960e+02
      1.625000           5980   6.557693e+01   2.456172e+02
      1.675000           7628  -1.111248e+02   2.511734e+02
      1.725000           4115  -7.719092e+01   2.550330e+02
      1.775000           6440   3.208778e+01   2.534286e+02
      1.825000           6944  -5.813504e+01   2.563353e+02
      1.875000           7695  -3.468874e+01   2.580698e+02
      1.925000           5158  -1.746010e+01   2.589428e+02
      1.975000           6137   9.250504e+00   2.584802e+02
      2.025000           8049  -8.190975e+00   2.588898e+02
      2.075000           4604   1.490330e+01   2.581446e+02
      2.125000           6165   4.027217e+01   2.561310e+02
      2.175000           3393   5.093272e+00   2.558764e+02
      2.225000           2100   4.302192e+00   2.556612e+02
      2.275000           2408   2.389837e+01   2.544663e+02
      2.325000           5889   3.389734e+01   2.527715e+02
      2.375000           3935  -2.478641e+01   2.540108e+02
      2.425000           1276   2.452265e+01   2.527846e+02
      2.475000           5599  -8.555928e+00   2.532124e+02
      2.525000          11455  -8.476639e+01   2.574508e+02
      2.575000           1754  -2.347964e+02   2.691906e+02
