          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   4.629278e-01   0.000000e+00              4             55              4              7   1.172751e+01   0.000000e+00   6.459176e-01
           500   4.736926e-01   9.910751e-01              5             55              4              8   1.171840e+01   4.613160e-02   6.428122e-01
          1000   4.617352e-01   1.979527e+00              5             54              4              7   1.155146e+01   6.115418e-02   6.313248e-01
          1500   4.725605e-01   2.975632e+00              4             55              4              7   1.168111e+01   6.177537e-02   6.361665e-01
          2000   4.712985e-01   3.969708e+00              4             54              3              8   1.168699e+01   6.318076e-02   6.401549e-01
          2500   4.521223e-01   4.956234e+00              5             54              3              6   1.169621e+01   6.556126e-02   6.342151e-01
          3000   4.518985e-01   5.352066e+00              3             55              2              6   1.156448e+01   7.608195e-02   6.398214e-01
          3500   4.519745e-01   6.320111e+00              4             54              2              7   1.160421e+01   6.824318e-02   6.387968e-01
          4000   4.619747e-01   7.870150e+00              5             54              3              6   1.144515e+01   7.044559e-02   6.300179e-01
          4500   4.695598e-01   8.849595e+00              4             54              3              6   1.152911e+01   7.402208e-02   6.184725e-01
          5000   4.671553e-01   9.840640e+00              5             54              4              8   1.171100e+01   6.060366e-02   6.410698e-01
          5500   4.647508e-01   1.083180e+01              4             54              4              8   1.153199e+01   7.187905e-02   6.253013e-01
          6000   4.644269e-01   1.180164e+01              5             55              4              6   1.161282e+01   8.797120e-02   6.339046e-01
          6500   4.858247e-01   1.279607e+01              4             52              4              6   1.162654e+01   7.295610e-02   6.371743e-01
          7000   4.782303e-01   1.379121e+01              5             56              4              8   1.150569e+01   5.750002e-02   6.250638e-01
          7500   4.741295e-01   1.478783e+01              5             54              4              7   1.148907e+01   7.645217e-02   6.247375e-01
          8000   4.805739e-01   1.578378e+01              4             56              3              8   1.159128e+01   6.007192e-02   6.331969e-01
          8500   4.782364e-01   1.678087e+01              4             54              4              6   1.129878e+01   6.311442e-02   6.186474e-01
          9000   4.662773e-01   1.777628e+01              5             54              4              7   1.136601e+01   6.947874e-02   6.162027e-01
          9500   4.667625e-01   1.876787e+01              4             53              2              6   1.156504e+01   7.253941e-02   6.271203e-01
         10000   4.786779e-01   1.975870e+01              4             50              2              6   1.149689e+01   9.821062e-02   6.211564e-01
         10500   4.562905e-01   1.903233e+01              4             53              4              7   1.162269e+01   7.696589e-02   6.366603e-01
         11000   4.754753e-01   2.174490e+01              5             52              3              6   1.142943e+01   1.061637e-01   6.178179e-01
         11500   4.902169e-01   2.273699e+01              5             52              3              7   1.139772e+01   8.056704e-02   6.178043e-01
         12000   4.662423e-01   2.373039e+01              4             52              3              7   1.147560e+01   7.564556e-02   6.215606e-01
         12500   4.693158e-01   2.472325e+01              5             55              4              6   1.169009e+01   6.828609e-02   6.379904e-01
         13000   4.557462e-01   2.570920e+01              4             55              4              7   1.134687e+01   9.135241e-02   6.124138e-01
         13500   4.786019e-01   2.669314e+01              3             52              4              6   1.156638e+01   7.883717e-02   6.190707e-01
         14000   4.767838e-01   2.768809e+01              4             53              3              8   1.153510e+01   1.001730e-01   6.216127e-01
         14500   4.754374e-01   2.868180e+01              3             52              4              7   1.154343e+01   1.063771e-01   6.148964e-01
         15000   4.850958e-01   2.965031e+01              4             51              4              8   1.155346e+01   1.065039e-01   6.220934e-01
         15500   4.884492e-01   3.063814e+01              3             53              4              8   1.164712e+01   1.047328e-01   6.289573e-01
         16000   4.873097e-01   3.161551e+01              4             51              4              7   1.155942e+01   9.862591e-02   6.296750e-01
         16500   4.940688e-01   3.259048e+01              3             54              3              8   1.146758e+01   8.892619e-02   6.296521e-01
         17000   4.912222e-01   3.353814e+01              2             51              4              8   1.156076e+01   8.738578e-02   6.270975e-01
         17500   4.641448e-01   3.092054e+01              3             54              3              8   1.150138e+01   7.228871e-02   6.289379e-01
         18000   4.881317e-01   3.550956e+01              4             54              3              7   1.175555e+01   7.185536e-02   6.338598e-01
         18500   4.929622e-01   3.648499e+01              3             53              3              7   1.170004e+01   6.235487e-02   6.346753e-01
         19000   4.800625e-01   3.748059e+01              4             52              4              8   1.173275e+01   6.827163e-02   6.350816e-01
         19500   4.829913e-01   3.847500e+01              4             53              3              7   1.150660e+01   8.329658e-02   6.307671e-01
         20000   4.850907e-01   3.946509e+01              5             51              2              5   1.138713e+01   8.762205e-02   6.244333e-01
         20500   4.794770e-01   4.046123e+01              2             51              4              7   1.159377e+01   8.917862e-02   6.356493e-01
         21000   4.958282e-01   3.660452e+01              3             53              3              6   1.156948e+01   9.186364e-02   6.388697e-01
         21500   5.013855e-01   3.757073e+01              3             51              4              7   1.141784e+01   9.402136e-02   6.325391e-01
         22000   4.891068e-01   4.331832e+01              4             52              3              6   1.146265e+01   8.958407e-02   6.328731e-01
         22500   4.919197e-01   3.947432e+01              4             55              4              7   1.144828e+01   9.746423e-02   6.244496e-01
         23000   4.783827e-01   4.529473e+01              5             54              4              7   1.149917e+01   9.398005e-02   6.307734e-01
         23500   4.898999e-01   4.628798e+01              3             52              4              7   1.153654e+01   9.294693e-02   6.302455e-01
         24000   4.922191e-01   4.727916e+01              4             53              3              7   1.135587e+01   9.356780e-02   6.155029e-01
         24500   5.044163e-01   4.315224e+01              3             55              3              6   1.151205e+01   1.067750e-01   6.233141e-01
         25000   4.710395e-01   4.925033e+01              5             55              2              7   1.139858e+01   9.535193e-02   6.209773e-01
         25500   4.904895e-01   5.024716e+01              3             53              2              6   1.129057e+01   1.274381e-01   6.219317e-01
         26000   4.988179e-01   4.593078e+01              4             52              2              7   1.111688e+01   1.317049e-01   6.112554e-01
         26500   4.735418e-01   5.220388e+01              5             52              4              8   1.111027e+01   1.457947e-01   6.092355e-01
         27000   5.010591e-01   4.773860e+01              3             52              4              7   1.142096e+01   1.318687e-01   6.293355e-01
         27500   4.833686e-01   5.417436e+01              5             55              4              8   1.123987e+01   1.225579e-01   6.141351e-01
         28000   4.977700e-01   4.962316e+01              4             51              3              7   1.134998e+01   1.230563e-01   6.187503e-01
         28500   4.804450e-01   5.611347e+01              4             53              4              8   1.141694e+01   1.156748e-01   6.257788e-01
         29000   4.974584e-01   5.709325e+01              5             53              3              6   1.119497e+01   1.310812e-01   6.129300e-01
         29500   4.950557e-01   5.240960e+01              4             53              4              7   1.134297e+01   1.236830e-01   6.225796e-01
         30000   4.982013e-01   5.337022e+01              3             53              4              8   1.137387e+01   1.103534e-01   6.236511e-01
         30500   5.198645e-01   5.433345e+01              3             52              4              6   1.155118e+01   1.000148e-01   6.341972e-01
         31000   4.752831e-01   6.095920e+01              3             53              3              8   1.149045e+01   9.784266e-02   6.280533e-01
         31500   5.008306e-01   5.622766e+01              5             54              4              7   1.139115e+01   1.210828e-01   6.247908e-01
         32000   4.823034e-01   6.290864e+01              3             52              4              7   1.137988e+01   1.087795e-01   6.299868e-01
         32500   4.952848e-01   6.389517e+01              5             55              4              8   1.132275e+01   8.510153e-02   6.276613e-01
         33000   4.686359e-01   6.485691e+01              3             54              4              8   1.150771e+01   9.615228e-02   6.340365e-01
         33500   4.898121e-01   6.583127e+01              2             53              4              7   1.179269e+01   8.922520e-02   6.399730e-01
         34000   4.909812e-01   6.080518e+01              3             55              4              8   1.150691e+01   9.090578e-02   6.312592e-01
         34500   4.849887e-01   6.780930e+01              4             55              4              8   1.165101e+01   8.809036e-02   6.398211e-01
         35000   4.863605e-01   6.879936e+01              4             54              4              8   1.181365e+01   8.734485e-02   6.563218e-01
         35500   4.787043e-01   6.979319e+01              5             55              3              7   1.174136e+01   7.809666e-02   6.512491e-01
         36000   4.949293e-01   7.077785e+01              5             54              4              9   1.162478e+01   9.585248e-02   6.213916e-01
         36500   4.781157e-01   7.175953e+01              5             54              4              7   1.146415e+01   8.950267e-02   6.325466e-01
         37000   4.945635e-01   6.627159e+01              4             54              4              6   1.161496e+01   7.777807e-02   6.341562e-01
         37500   4.752633e-01   7.374556e+01              4             55              4              8   1.157107e+01   8.999299e-02   6.304389e-01
         38000   4.942429e-01   6.811046e+01              4             53              4              7   1.158175e+01   9.252971e-02   6.316381e-01
         38500   4.958873e-01   7.571330e+01              5             53              4              7   1.162042e+01   8.910602e-02   6.411285e-01
         39000   5.006365e-01   6.999568e+01              3             53              5              7   1.169018e+01   1.002546e-01   6.342369e-01
         39500   4.885671e-01   7.762326e+01              4             54              4              8   1.148817e+01   9.790287e-02   6.212838e-01
         40000   4.868430e-01   7.861080e+01              5             55              3              7   1.152104e+01   9.499405e-02   6.344520e-01
         40500   4.767380e-01   7.960520e+01              2             54              3              8   1.169002e+01   8.196895e-02   6.403965e-01
         41000   4.826212e-01   8.058415e+01              5             54              5              8   1.147810e+01   9.589262e-02   6.231688e-01
         41500   5.024140e-01   7.463213e+01              3             54              5              8   1.147696e+01   9.112096e-02   6.319216e-01
         42000   4.800601e-01   8.248694e+01              3             55              3              7   1.170537e+01   8.661808e-02   6.347215e-01
         42500   4.901685e-01   8.347718e+01              4             54              5              7   1.154544e+01   9.030733e-02   6.330775e-01
         43000   4.796147e-01   8.447407e+01              5             54              3              8   1.170883e+01   8.768500e-02   6.475791e-01
         43500   4.810406e-01   8.547059e+01              4             55              5              7   1.151836e+01   7.692251e-02   6.236210e-01
         44000   4.878609e-01   8.642161e+01              5             54              3              7   1.144608e+01   9.610444e-02   6.241977e-01
         44500   5.132130e-01   8.008391e+01              4             52              3              7   1.155110e+01   9.386909e-02   6.285354e-01
