         r_bin          count          force            pmf
      0.525000            612   3.365865e+02   4.755773e+00
      0.575000          15358   9.511545e+01   0.000000e+00
      0.625000          18025  -1.488401e+02   7.442007e+00
      0.675000           9135  -3.570714e+02   2.529558e+01
      0.725000           3272  -3.483226e+02   4.271171e+01
      0.775000          21788  -3.086515e+02   5.814428e+01
      0.825000          26555  -4.049051e+02   7.838954e+01
      0.875000           8461  -5.880008e+02   1.077896e+02
      0.925000          10330  -6.374990e+02   1.396645e+02
      0.975000          16343  -5.560003e+02   1.674645e+02
      1.025000           8719  -6.249458e+02   1.987118e+02
      1.075000           6513  -4.130746e+02   2.193656e+02
      1.125000          11767  -3.017589e+02   2.344535e+02
      1.175000          11586  -2.695176e+02   2.479294e+02
      1.225000          13653  -2.503684e+02   2.604478e+02
      1.275000           9175  -3.138139e+02   2.761385e+02
      1.325000           1392  -4.175909e+02   2.970180e+02
      1.375000           3530  -2.920855e+02   3.116223e+02
      1.425000           6446  -2.228065e+02   3.227626e+02
      1.475000           4175  -2.158268e+02   3.335540e+02
      1.525000           3787  -2.038879e+02   3.437484e+02
      1.575000           3581  -1.597256e+02   3.517347e+02
      1.625000           5302  -1.626922e+02   3.598693e+02
      1.675000           6290  -1.650098e+02   3.681198e+02
      1.725000           3732  -2.035551e+02   3.782975e+02
      1.775000           2287  -1.757046e+02   3.870827e+02
      1.825000           3829  -1.494177e+02   3.945536e+02
      1.875000           9364   4.303243e+01   3.924020e+02
      1.925000          14250   4.308073e+01   3.902480e+02
      1.975000          13618  -4.097909e+01   3.922969e+02
      2.025000           5498  -1.759236e+01   3.931765e+02
      2.075000           5833  -9.260102e+01   3.978066e+02
      2.125000           9941  -9.561493e+01   4.025873e+02
      2.175000           8647  -1.511161e+02   4.101431e+02
      2.225000           3482  -3.810905e+02   4.291977e+02
      2.275000           2816  -2.521059e+02   4.418030e+02
      2.325000           1818  -2.677725e+02   4.551916e+02
      2.375000           3431  -7.798869e+01   4.590910e+02
      2.425000           5366  -1.481200e+02   4.664970e+02
      2.475000           7915  -4.700022e+01   4.688470e+02
      2.525000           3784  -9.813284e+01   4.737537e+02
      2.575000           8137  -1.318156e+01   4.744128e+02
      2.625000          19497  -1.419029e+02   4.815079e+02
      2.675000          11334  -3.068807e+02   4.968519e+02
      2.725000            726  -5.660410e+02   5.251540e+02
