          step              r      E_metad_r      n_cont_CA   n_cont_heavy       n_saltbr        n_hbond           SASA           RMSD             Rg 
             0   6.043059e-01   0.000000e+00              4             84              1              3   2.141189e+01   0.000000e+00   1.019783e+00
           500   5.805460e-01   9.753467e-01              3             81              2              4   2.116381e+01   7.764672e-02   9.938421e-01
          1000   5.867468e-01   1.961162e+00              3             73              0              4   2.133949e+01   9.541164e-02   9.826464e-01
          1500   5.970672e-01   2.940592e+00              2             74              0              3   2.180632e+01   1.025142e-01   9.849885e-01
          2000   5.771626e-01   3.924253e+00              4             76              1              6   2.141640e+01   1.206703e-01   9.775540e-01
          2500   5.876241e-01   4.914805e+00              4             74              1              6   2.136010e+01   1.359359e-01   9.637522e-01
          3000   5.940021e-01   5.900095e+00              3             71              0              5   2.190268e+01   1.381748e-01   9.835985e-01
          3500   6.010541e-01   6.566650e+00              4             74              1              8   2.197471e+01   1.619626e-01   9.815309e-01
          4000   6.191017e-01   7.557993e+00              4             84              2              7   2.230702e+01   1.781469e-01   9.823938e-01
          4500   6.023705e-01   8.528668e+00              4             81              1              8   2.191890e+01   1.728263e-01   9.936506e-01
          5000   6.394752e-01   9.502535e+00              3             74              1              6   2.168541e+01   1.844774e-01   9.859136e-01
          5500   6.363953e-01   1.049625e+01              2             79              0              5   2.231029e+01   1.922122e-01   9.877105e-01
          6000   6.235905e-01   1.148866e+01              3             79              1              7   2.200857e+01   1.872613e-01   1.007303e+00
          6500   6.353099e-01   1.248659e+01              2             78              2              6   2.193174e+01   1.780765e-01   9.985655e-01
          7000   6.232482e-01   1.347321e+01              2             79              2              8   2.191707e+01   1.762643e-01   1.004153e+00
          7500   6.048105e-01   1.445486e+01              3             80              1              7   2.187919e+01   1.830051e-01   1.007775e+00
          8000   5.990046e-01   1.503440e+01              4             81              2             10   2.184688e+01   1.752817e-01   9.941883e-01
          8500   5.936927e-01   1.600958e+01              4             80              2              7   2.230131e+01   1.778904e-01   9.953587e-01
          9000   6.116503e-01   1.737937e+01              4             81              1              6   2.223311e+01   1.849196e-01   9.978479e-01
          9500   6.032839e-01   1.836886e+01              4             82              2              6   2.195942e+01   1.788788e-01   9.846187e-01
         10000   6.039648e-01   1.881639e+01              4             82              0              5   2.159194e+01   1.771680e-01   9.876421e-01
         10500   6.256204e-01   2.033194e+01              4             80              1              6   2.250744e+01   1.883780e-01   1.001480e+00
         11000   5.929200e-01   2.061336e+01              3             82              0              7   2.213289e+01   1.799163e-01   1.007825e+00
         11500   6.265101e-01   2.226892e+01              3             76              1              5   2.234554e+01   1.796542e-01   1.001650e+00
         12000   6.280797e-01   2.325379e+01              4             79              0              7   2.189947e+01   1.856667e-01   1.000200e+00
         12500   6.050416e-01   2.424288e+01              4             81              0              8   2.216788e+01   1.931385e-01   9.925272e-01
         13000   6.188671e-01   2.521931e+01              5             80              1              7   2.206266e+01   2.057239e-01   9.917739e-01
         13500   6.069981e-01   2.618092e+01              5             85              0              6   2.172032e+01   1.955072e-01   9.742426e-01
         14000   5.938961e-01   2.606645e+01              4             85              0              7   2.220489e+01   1.841738e-01   9.968991e-01
         14500   6.191736e-01   2.812331e+01              4             83              0              5   2.190692e+01   2.047155e-01   9.841085e-01
         15000   6.033625e-01   2.795653e+01              4             85              0              7   2.209739e+01   1.934460e-01   9.871325e-01
         15500   5.975325e-01   3.005678e+01              4             82              0              6   2.215266e+01   2.059529e-01   9.796214e-01
         16000   6.034712e-01   3.104236e+01              4             83              0              8   2.210550e+01   2.019749e-01   9.825709e-01
         16500   6.320622e-01   3.202849e+01              3             82              0              7   2.267337e+01   2.091824e-01   9.940317e-01
         17000   6.311486e-01   3.302522e+01              4             82              1              5   2.238798e+01   2.194951e-01   9.857765e-01
         17500   6.348375e-01   3.401529e+01              3             75              0              5   2.213233e+01   2.141922e-01   9.925437e-01
         18000   6.300529e-01   3.501198e+01              4             81              0              6   2.205232e+01   2.204404e-01   9.942706e-01
         18500   6.470049e-01   2.982756e+01              4             80              0              6   2.188861e+01   2.120431e-01   9.890634e-01
         19000   6.314732e-01   3.692539e+01              4             78              0              6   2.192510e+01   2.185907e-01   9.937915e-01
         19500   6.448902e-01   3.791175e+01              4             73              0              4   2.203675e+01   2.176047e-01   9.934862e-01
         20000   6.283720e-01   3.890254e+01              4             81              0              4   2.230091e+01   2.115417e-01   9.959047e-01
         20500   6.171026e-01   3.990064e+01              3             80              0              7   2.199928e+01   2.116503e-01   1.001223e+00
         21000   6.547298e-01   3.439449e+01              3             77              0              6   2.240931e+01   2.259588e-01   9.981908e-01
         21500   6.525880e-01   4.178092e+01              4             74              0              6   2.183010e+01   1.986898e-01   9.850724e-01
         22000   6.642405e-01   3.637755e+01              3             75              0              5   2.225836e+01   1.957810e-01   1.005955e+00
         22500   6.595564e-01   3.736844e+01              3             77              0              5   2.240915e+01   1.894232e-01   1.005381e+00
         23000   6.530003e-01   3.835147e+01              3             74              0              5   2.221702e+01   1.811499e-01   1.007362e+00
         23500   6.889821e-01   3.934151e+01              3             72              0              7   2.183850e+01   1.880668e-01   1.012284e+00
         24000   7.131321e-01   2.798441e+01              3             69              0              6   2.217447e+01   2.029963e-01   9.920265e-01
         24500   6.800192e-01   4.123641e+01              3             70              0              5   2.254249e+01   2.045099e-01   1.004986e+00
         25000   6.979157e-01   4.217757e+01              2             72              0              5   2.260532e+01   1.992369e-01   9.903777e-01
         25500   7.115999e-01   3.091348e+01              1             67              0              6   2.252478e+01   1.989266e-01   1.000491e+00
         26000   6.860403e-01   4.403803e+01              2             72              1              5   2.254764e+01   2.011019e-01   1.018674e+00
         26500   7.052162e-01   3.285085e+01              3             70              1              7   2.223660e+01   2.058614e-01   1.029314e+00
         27000   7.317573e-01   3.384139e+01              2             67              0              6   2.273392e+01   2.150083e-01   1.040472e+00
         27500   7.367229e-01   3.481956e+01              2             63              1              5   2.237752e+01   2.277170e-01   1.024887e+00
         28000   7.565364e-01   2.227909e+01              2             61              1              5   2.221024e+01   2.341960e-01   1.032710e+00
         28500   7.880052e-01   2.327172e+01              1             61              1              4   2.242870e+01   2.602962e-01   1.046545e+00
         29000   7.530889e-01   2.426100e+01              2             60              0              7   2.277606e+01   2.499886e-01   1.039734e+00
         29500   7.856629e-01   2.525440e+01              1             54              0              4   2.250539e+01   2.490233e-01   1.020570e+00
         30000   7.853441e-01   1.516084e+01              1             60              0              6   2.247324e+01   2.472751e-01   1.015683e+00
         30500   7.474023e-01   2.721728e+01              2             62              0              5   2.223697e+01   2.535706e-01   1.015884e+00
         31000   7.622602e-01   2.819931e+01              2             64              0              6   2.275033e+01   2.498824e-01   1.008484e+00
         31500   7.576486e-01   2.919114e+01              1             63              0              4   2.247178e+01   2.621646e-01   1.019978e+00
         32000   7.670610e-01   3.018916e+01              2             60              0              5   2.218940e+01   2.528846e-01   1.013771e+00
         32500   7.971680e-01   1.945617e+01              2             61              0              4   2.224871e+01   2.609253e-01   1.013522e+00
         33000   7.905449e-01   2.043446e+01              1             64              0              6   2.305187e+01   2.430402e-01   1.017394e+00
         33500   8.054633e-01   2.139439e+01              1             59              0              6   2.286301e+01   2.440014e-01   1.016476e+00
         34000   8.031088e-01   2.239278e+01              1             60              0              5   2.263687e+01   2.397013e-01   1.027090e+00
         34500   7.965836e-01   2.337815e+01              1             61              0              3   2.240698e+01   2.453255e-01   1.022563e+00
         35000   7.942489e-01   3.589724e+01              1             62              0              3   2.282552e+01   2.447540e-01   1.039868e+00
         35500   8.285479e-01   2.534163e+01              1             58              0              3   2.246159e+01   2.473728e-01   1.050805e+00
